year,iso,eq_tr,bond_tr,bill_rate,cpi,xrusd,gdp,pop,crisisJST
1870,AUS,-0.004903895314782858,,0.04879999905824661,2.708333,0.36694614706545575,208.78,1775,0
1871,AUS,0.11019296944141388,,0.04600000008940697,2.666667,0.3691464495849117,211.56,1675,0
1872,AUS,0.1767493039369583,,0.04600000008940697,2.541667,0.36923880927016545,227.4,1722,0
1873,AUS,0.15168581902980804,,0.04399999976158142,2.541667,0.3624047757834013,266.54,1769,0
1874,AUS,0.19148139655590057,,0.04500000178813934,2.666667,0.37222345512135085,287.58,1822,0
1875,AUS,0.12440787255764008,,0.04600000008940697,2.75,0.3609256158331147,300.74,1874,0
1876,AUS,0.11881456524133682,,0.04600000008940697,2.791667,0.3720217079912038,311.26,1929,0
1877,AUS,0.136591374874115,,0.04500000178813934,2.875,0.39991067984815576,313.66,1995,0
1878,AUS,-0.0789373591542244,,0.04800000041723251,2.833333,0.41257288115076557,324.3,2062,0
1879,AUS,0.12413585931062698,,0.04899999871850014,2.75,0.4150882566293221,334.44,2127,0
1880,AUS,0.11423738300800323,,0.04699999839067459,2.666667,0.41252253898543567,344.32,2197,0
1881,AUS,0.07269452512264252,,0.04699999839067459,2.625,0.415874878239073,362.82,2269,0
1882,AUS,0.09030421078205109,,0.04500000178813934,2.666667,0.4124365263221646,382.32,2348,0
1883,AUS,0.28716498613357544,,0.04699999839067459,2.958333,0.4131763213548113,412.1,2447,0
1884,AUS,0.04399999976158142,,0.04899999871850014,3,0.4137967507243865,430.46,2556,0
1885,AUS,0.11300000548362732,,0.04800000041723251,3,0.41309466050859567,441.62,2650,0
1886,AUS,0.029000001028180122,,0.04699999839067459,3,0.4121250083411612,452.9,2741,0
1887,AUS,0.28200000524520874,,0.04600000008940697,2.916667,0.41447168205588253,472.52,2835,0
1888,AUS,0.2619999945163727,,0.04600000008940697,2.791667,0.4129029645341571,503.06,2932,0
1889,AUS,-0.010999999940395355,,0.04500000178813934,2.791667,0.4117739386444417,535.74,3022,0
1890,AUS,0.0139999995008111,,0.0430000014603138,2.791667,0.4127704266670076,552.72,3107,0
1891,AUS,-0.10399999469518661,,0.0430000014603138,2.75,0.41335053898449514,540.3,3196,0
1892,AUS,0.06300000101327896,,0.0430000014603138,2.708333,0.4123145091878488,495.7,3274,0
1893,AUS,-0.049000002443790436,,0.041999999433755875,2.625,0.4131714963323109,431.1,3334,1
1894,AUS,0.10600000619888306,,0.039000000804662704,2.458333,0.4124115766942889,401.2,3395,0
1895,AUS,0.20100000500679016,,0.035999998450279236,2.291667,0.41104284708261263,385.62,3460,0
1896,AUS,0.017000000923871994,,0.032999999821186066,2.291667,0.4130498688942322,400.82,3523,0
1897,AUS,0.08500000089406967,,0.03099999949336052,2.291667,0.4129649029197701,417.8,3586,0
1898,AUS,0.1550000011920929,,0.029999999329447746,2.25,0.4162815219700577,441.24,3642,0
1899,AUS,0.1210000067949295,,0.03099999949336052,2.375,0.4155174733995985,477.6,3691,0
1900,AUS,0.12200000137090683,0.01996787264943123,0.03099999949336052,2.416667,0.4155043641520236,492.42,3741,0
1901,AUS,-0.03200000151991844,0.0019368263892829418,0.02879999950528145,2.458333,0.4150841148947982,504.56,3795,0
1902,AUS,0.15600000321865082,0.004963635001331568,0.02879999950528145,2.625,0.4152713811266021,534.66,3850,0
1903,AUS,0.21899999678134918,-0.014857573434710503,0.031300000846385956,2.666667,0.4155164907043526,515.4,3896,0
1904,AUS,0.07500000298023224,0.01384330727159977,0.032499998807907104,2.541667,0.4146392388698032,539.48,3946,0
1905,AUS,0.1459999978542328,0.08857621252536774,0.032499998807907104,2.541667,0.41488145716796226,534.66,4004,0
1906,AUS,0.10199999809265137,0.07954419404268265,0.032499998807907104,2.583333,0.4149464723511342,576.82,4062,0
1907,AUS,0.08799999952316284,-0.03257241100072861,0.03189999982714653,2.583333,0.41196953439646916,647.86,4127,0
1908,AUS,0.17299999296665192,0.051706720143556595,0.03189999982714653,2.666667,0.41480299208149884,645.46,4197,0
1909,AUS,0.13500000536441803,0.025407500565052032,0.031300000846385956,2.708333,0.41355515351010147,690,4278,0
1910,AUS,0.06700000166893005,0.03399746119976044,0.031300000846385956,2.75,0.41395996734233387,750.22,4375,0
1911,AUS,0.10700000077486038,0.02622406557202339,0.032499998807907104,2.958333,0.4146558862439013,823.68,4500,0
1912,AUS,0.0860000029206276,0.004786519333720207,0.033799998462200165,3.208333,0.41416473580788926,883.88,4661,0
1913,AUS,0.08899999409914017,0.046712275594472885,0.032999999821186066,3.166667,0.41384943971647487,965.78,4821,0
1914,AUS,0.11399999260902405,0.034674618393182755,0.032999999821186066,3.333333,0.40966984169970594,1040.44,4933,0
1915,AUS,-0.03500000014901161,0.015299476683139801,0.034730080515146255,3.708333,0.4272693557290839,1009.12,4971,0
1916,AUS,-0.03400000184774399,0.03868512809276581,0.03524843975901604,3.791667,0.42591712884425026,1166.88,4955,0
1917,AUS,0.1550000011920929,0.052007488906383514,0.03680352121591568,4.041667,0.42450906625965557,1230.7,4950,0
1918,AUS,0.07500000298023224,0.012830662541091442,0.03732188045978546,4.333333,0.424438120878588,1278.86,5032,0
1919,AUS,0.18700000643730164,0.04032709449529648,0.03732188045978546,4.875,0.4573750556384178,1378.82,5193,0
1920,AUS,0.08100000023841858,0.022570228204131126,0.03939530998468399,4.958333,0.5594117322889597,1508.86,5358,0
1921,AUS,0.19900000095367432,0.09520445019006729,0.04084672033786774,4.5,0.5297549951485833,1664.2,5461,0
1922,AUS,0.21299999952316284,0.06473860144615173,0.04084672033786774,4.416667,0.45266236183674174,1659.4,5574,0
1923,AUS,0.16200000047683716,0.04092918708920479,0.041468750685453415,4.416667,0.435687530180402,1818.34,5697,0
1924,AUS,0.13699999451637268,0.03612132370471954,0.041468750685453415,4.458333,0.44232046227806776,1889.4,5819,0
1925,AUS,0.1770000010728836,0.08992226421833038,0.04209078103303909,4.5,0.41447141948415456,2073.6,5943,0
1926,AUS,0.14100000262260437,0.041868820786476135,0.04209078103303909,4.5,0.41257451845657517,1997.8,6064,0
1927,AUS,0.12399999797344208,0.0581154003739357,0.04209078103303909,4.583333,0.41433834413409815,2082,6188,0
1928,AUS,0.1770000010728836,0.04486045241355896,0.04209078103303909,4.625,0.4151414263418,2094.2,6304,0
1929,AUS,-0.05300000309944153,-0.01681390590965748,0.04343852028250694,4.625,0.4365832221661474,2061.6,6396,0
1930,AUS,-0.29600000381469727,-0.044330671429634094,0.04343852028250694,4.25,0.5307128194828947,1885.8,6469,0
1931,AUS,0.1770000010728836,0.03795658424496651,0.042816489934921265,4.083333,0.5523449889357013,1549.8,6527,0
1932,AUS,0.24799999594688416,0.33444881439208984,0.03286398947238922,3.916667,0.7169864074720653,1457,6579,0
1933,AUS,0.25600001215934753,0.05805879086256027,0.02768038958311081,3.916667,0.5933163830278935,1522.2,6631,0
1934,AUS,0.23200000822544098,0.0723716989159584,0.02591796964406967,3.916667,0.5002905825283235,1632.8,6682,0
1935,AUS,0.10100000351667404,0.021961230784654617,0.023326169699430466,3.958333,0.5122578566716348,1724.4,6732,0
1936,AUS,0.1979999989271164,0.03695134073495865,0.023326169699430466,4.083333,0.504946822636257,1895.4,6783,0
1937,AUS,0.024000000208616257,-0.012195300310850143,0.023326169699430466,4.166667,0.5077324401141773,2067.6,6841,0
1938,AUS,-0.004999999888241291,-0.016877157613635063,0.023326169699430466,4.25,0.5134151834605164,2236.2,6904,0
1939,AUS,0.05300000309944153,0.020138269290328026,0.024155549705028534,4.375,0.5659629860207143,2190.4,6971,0
1940,AUS,0.03500000014901161,0.11944659054279327,0.023326169699430466,4.625,0.655393891728929,2384.4,7042,0
1941,AUS,-0.054999999701976776,-0.0033347487915307283,0.022496800869703293,4.875,0.6225099601593626,2583,7111,0
1942,AUS,0.18400000035762787,0.0647120252251625,0.021563749760389328,5.166667,0.6220839813374806,3006.8,7173,0
