year,iso,rgdpmad,pop,rgdp
1870,AUS,3273.2394366197186,1775,5810000.000000001
1871,AUS,3298.507462686567,1675,5525000.0
1872,AUS,3553.4262485482,1722,6119000.0
1873,AUS,3823.6291690220464,1769,6764000.0
1874,AUS,3834.7969264544454,1822,6986999.999999999
1875,AUS,4138.20704375667,1874,7754999.999999999
1876,AUS,4007.257646448937,1929,7730000.0
1877,AUS,4036.0902255639094,1995,8051999.999999999
1878,AUS,4277.400581959263,2062,8820000.0
1879,AUS,4204.983544898918,2127,8943999.999999998
1880,AUS,4285.3891670459725,2197,9415000.000000002
1881,AUS,4454.825914499779,2269,10107999.999999998
1882,AUS,4062.6064735945483,2348,9539000.0
1883,AUS,4475.2758479771155,2447,10951000.000000002
1884,AUS,4303.599374021909,2556,11000000.0
1885,AUS,4422.264150943397,2650,11719000.000000002
1886,AUS,4329.441809558555,2741,11867000.0
1887,AUS,4631.746031746032,2835,13131000.0
1888,AUS,4503.7517053206,2932,13205000.0
1889,AUS,4746.856386499007,3022,14345000.0
1890,AUS,4457.676214998391,3107,13850000.0
1891,AUS,4666.458072590738,3196,14913999.999999998
1892,AUS,3995.418448381185,3274,13081000.0
1893,AUS,3707.8584283143373,3334,12362000.0
1894,AUS,3765.5375552282767,3395,12784000.0
1895,AUS,3487.2832369942194,3460,12065999.999999998
1896,AUS,3684.9276185069543,3523,12982000.0
1897,AUS,3419.9665365309534,3586,12263999.999999998
1898,AUS,3891.2685337726525,3642,14172000.0
1899,AUS,3839.609861826063,3691,14171999.999999998
1900,AUS,4013.365410318097,3741,15014000.000000002
1901,AUS,3838.7351778656125,3795,14568000.0
1902,AUS,3822.5974025974024,3850,14717000.0
1903,AUS,4076.232032854209,3896,15880999.999999998
1904,AUS,4294.728839330968,3946,16947000.0
1905,AUS,4281.968031968032,4004,17145000.0
1906,AUS,4507.38552437223,4062,18309000.0
1907,AUS,4616.428398352314,4127,19052000.0
1908,AUS,4693.114129139862,4197,19697000.0
1909,AUS,4980.598410472183,4278,21307000.0
1910,AUS,5209.828571428571,4375,22793000.0
1911,AUS,5103.777777777778,4500,22967000.000000004
1912,AUS,5098.476721733533,4661,23763999.999999996
1913,AUS,5156.813939016802,4821,24861000.0
1914,AUS,5026.75856476789,4933,24797000.0
1915,AUS,4896.600281633474,4971,24341000.0
1916,AUS,4878.304742684158,4955,24172000.0
1917,AUS,4791.111111111111,4950,23716000.0
1918,AUS,4601.550079491256,5032,23155000.0
1919,AUS,4715.578663585596,5193,24488000.0
1920,AUS,4765.584173198955,5358,25534000.0
1921,AUS,4910.822193737411,5461,26818000.0
1922,AUS,5063.688554000717,5574,28224999.999999996
1923,AUS,5192.030893452694,5697,29578999.999999996
1924,AUS,5417.425674514521,5819,31524000.0
1925,AUS,5553.087666161871,5943,33002000.0
1926,AUS,5572.559366754618,6064,33792000.00000001
1927,AUS,5543.794440853264,6188,34305000.0
1928,AUS,5451.776649746193,6304,34368000.0
1929,AUS,5262.976860537836,6396,33662000.0
1930,AUS,4708.301128458803,6469,30457999.999999996
1931,AUS,4353.60808947449,6527,28415999.999999996
1932,AUS,4563.7634898920805,6579,30024999.999999996
1933,AUS,4842.40687679083,6631,32109999.999999996
1934,AUS,5059.862316671655,6682,33810000.0
1935,AUS,5317.587641117053,6732,35798000.0
1936,AUS,5515.848444641014,6783,37414000.0
1937,AUS,5745.651220581786,6841,39306000.0
1938,AUS,5886.326767091541,6904,40639200.0
1939,AUS,5845.561325491322,6971,40749408.00000001
1940,AUS,6166.139165009941,7042,43421952.00000001
1941,AUS,6788.230066094781,7111,48271103.99999999
1942,AUS,7505.452112086993,7173,53836608.0
1943,AUS,7702.8325041459375,7236,55737696.0
1944,AUS,7362.027089889179,7309,53809056.00000001
1945,AUS,6916.898091758018,7389,51108960.0
1946,AUS,6594.932833823923,7474,49290528.0
1947,AUS,6664.399049881235,7578,50502816.0
1948,AUS,6967.459753726508,7715,53753952.00000001
1949,AUS,7236.792524308626,7919,57308160.00000001
1950,AUS,7411.576424185927,8267.337,61274000.00000001
1951,AUS,7507.343783047023,8510.6,63891999.99999999
1952,AUS,7417.837696284477,8691.212,64470000.0
1953,AUS,7505.257439553556,8857.924,66481000.0
1954,AUS,7790.585564877029,9064.017,70614000.0
1955,AUS,8027.412052942912,9277.087,74471000.0
1956,AUS,8108.324879486634,9500.606,77033999.99999999
1957,AUS,8090.238535242324,9712.569,78577000.0
1958,AUS,8305.474779448703,9915.267,82351000.0
1959,AUS,8628.438443231162,10131.73,87421008.62843846
1960,AUS,8790.908221412563,10361.27,91084973.62727535
1961,AUS,8653.137983174343,10598.81,91712965.38744806
1962,AUS,9026.798412000851,10794.97,97444018.05359682
1963,AUS,9399.914538794452,11001.48,103412971.80025639
1964,AUS,9848.90407676597,11218.3,110487960.60438368
1965,AUS,10151.857827309583,11439.38,116130959.3925687
1966,AUS,10241.282709012024,11655.08,119362969.27615187
1967,AUS,10732.746509006201,11872.26,127421957.06901397
1968,AUS,11148.305273821938,12101.66,134913000.0
1969,AUS,11560.995280540616,12379.38,143117953.75601888
1970,AUS,12023.544726133005,12660.16,152220000.00000003
1971,AUS,12289.521689391831,12937.2,158992000.0
1972,AUS,12404.416786825528,13177,163452999.99999997
1973,AUS,12878.090341095933,13380.4,172314000.0
1974,AUS,12985.124015559853,13599.1,176586000.0
1975,AUS,13169.830227863544,13771.4,181367000.0
1976,AUS,13558.837267794905,13915.5,188678000.0
1977,AUS,13546.37241457713,14074.1,190653000.0
1978,AUS,13768.650955181562,14248.6,196184000.0
1979,AUS,14319.541807944863,14421.9,206515000.0
1980,AUS,14411.839161461148,14615.9,210642000.0
1981,AUS,14660.33561031571,14923.26,218780000.00000003
1982,AUS,14411.819021237303,15162,218512000.0
1983,AUS,14238.923638259055,15348,218538999.99999997
1984,AUS,15062.411347517731,15510,233618000.0
1985,AUS,15638.35616438356,15695,245443999.99999997
1986,AUS,15757.169811320753,15900,250538999.99999997
1987,AUS,16293.301109252032,16137,262925000.00000003
1988,AUS,16752.256097560978,16400,274737000.00000006
1989,AUS,17194.41280498771,16681,286820000.0
1990,AUS,17172.682236376502,16956,291180000.0
1991,AUS,16743.32398551786,17202,288018659.1988782
1992,AUS,16988.874013415483,17419,295929196.43968433
1993,AUS,17478.185210321713,17608,307755885.1833447
1994,AUS,18145.568488327885,17781,322646353.2909581
1995,AUS,18529.55820683624,17976,333087338.3260882
1996,AUS,19075.08247877645,18195,347071125.7013375
1997,AUS,19612.09177301113,18415,361156669.99999994
1998,AUS,20377.949762010507,18621,379457802.5183976
1999,AUS,20970.89428666414,18830,394881939.4178858
2000,AUS,21377.823125181403,19053,407311664.00408125
2001,AUS,21662.025668109953,19294,417947123.24051344
2002,AUS,22236.935272996816,19345,430173512.8561234
2003,AUS,22666.277788514366,19767,448044313.04556346
2004,AUS,23322.00788305354,19995,466323547.6216555
2005,AUS,23764.613687385267,20232,480805664.1231787
2006,AUS,24097.573450962896,20489,493735182.4367788
