age,qx_all,qx_m,qx_f
0,0.004430,0.004800,0.004040
1,0.000330,0.000370,0.000280
2,0.000200,0.000210,0.000190
3,0.000130,0.000130,0.000130
4,0.000100,0.000100,0.000110
5,0.000100,0.000100,0.000100
6,0.000110,0.000110,0.000100
7,0.000110,0.000120,0.000110
8,0.000110,0.000100,0.000110
9,0.000090,0.000080,0.000100
10,0.000080,0.000070,0.000100
11,0.000080,0.000070,0.000100
12,0.000100,0.000080,0.000110
13,0.000130,0.000130,0.000120
14,0.000170,0.000200,0.000140
15,0.000230,0.000280,0.000170
16,0.000290,0.000370,0.000200
17,0.000340,0.000440,0.000230
18,0.000380,0.000500,0.000250
19,0.000410,0.000540,0.000280
20,0.000440,0.000570,0.000300
21,0.000470,0.000600,0.000320
22,0.000480,0.000620,0.000340
23,0.000490,0.000630,0.000350
24,0.000490,0.000630,0.000350
25,0.000490,0.000630,0.000350
26,0.000500,0.000630,0.000350
27,0.000510,0.000650,0.000360
28,0.000530,0.000670,0.000370
29,0.000560,0.000710,0.000390
30,0.000600,0.000760,0.000420
31,0.000640,0.000820,0.000450
32,0.000690,0.000880,0.000480
33,0.000740,0.000950,0.000520
34,0.000800,0.001020,0.000560
35,0.000870,0.001110,0.000610
36,0.000940,0.001210,0.000660
37,0.001030,0.001330,0.000720
38,0.001130,0.001480,0.000770
39,0.001240,0.001650,0.000830
40,0.001360,0.001840,0.000890
41,0.001510,0.002060,0.000960
42,0.001670,0.002320,0.001040
43,0.001860,0.002610,0.001130
44,0.002070,0.002940,0.001230
45,0.002300,0.003290,0.001340
46,0.002540,0.003660,0.001460
47,0.002790,0.004050,0.001590
48,0.003060,0.004460,0.001720
49,0.003330,0.004870,0.001870
50,0.003620,0.005310,0.002020
51,0.003920,0.005760,0.002190
52,0.004240,0.006230,0.002370
53,0.004580,0.006720,0.002560
54,0.004930,0.007220,0.002760
55,0.005300,0.007750,0.002980
56,0.005690,0.008310,0.003210
57,0.006110,0.008910,0.003460
58,0.006570,0.009560,0.003740
59,0.007060,0.010270,0.004040
60,0.007580,0.011020,0.004360
61,0.008080,0.011740,0.004660
62,0.008590,0.012470,0.004980
63,0.009120,0.013210,0.005340
64,0.009700,0.014000,0.005740
65,0.010370,0.014900,0.006220
66,0.011150,0.015940,0.006800
67,0.012060,0.017140,0.007480
68,0.013120,0.018510,0.008280
69,0.014310,0.020040,0.009200
70,0.015630,0.021710,0.010240
71,0.017080,0.023500,0.011410
72,0.018650,0.025430,0.012720
73,0.020350,0.027490,0.014160
74,0.022180,0.029680,0.015740
75,0.024140,0.032010,0.017460
76,0.026220,0.034490,0.019330
77,0.028470,0.037150,0.021370
78,0.030910,0.040020,0.023620
79,0.033550,0.043100,0.026110
80,0.036420,0.046410,0.028860
81,0.039530,0.049970,0.031890
82,0.042890,0.053800,0.035240
83,0.046540,0.057910,0.038930
84,0.050480,0.062320,0.042990
85,0.058737,0.073238,0.049749
86,0.068345,0.086068,0.057571
87,0.079524,0.101146,0.066622
88,0.092532,0.118865,0.077096
89,0.107668,0.139688,0.089218
90,0.125280,0.164160,0.103244
91,0.145772,0.192918,0.119477
92,0.169617,0.226714,0.138261
93,0.197361,0.266432,0.159999
94,0.229644,0.313107,0.185154
95,0.267208,0.367958,0.214264
96,0.310916,0.432419,0.247951
97,0.361773,0.508173,0.286934
98,0.420949,0.597198,0.332047
99,0.489805,0.701818,0.384252
100,0.569924,0.824767,0.444664
101,0.663148,0.969254,0.514575
102,0.771621,1.000000,0.595478
103,0.897838,1.000000,0.689100
104,1.000000,1.000000,0.797441
105,1.000000,1.000000,0.922816
106,1.000000,1.000000,1.000000
107,1.000000,1.000000,1.000000
108,1.000000,1.000000,1.000000
109,1.000000,1.000000,1.000000
110,1.000000,1.000000,1.000000
