date,stock_twd_nom,bond_twd_nom,usdbill_twd_nom,tw_cpi,usdtwd
1983-11,-0.02744966,-0.01521949,-0.00941823,56.7100,38.7800
1983-12,0.02019453,0.02330205,0.02866110,55.9300,39.6133
1984-01,0.03095475,0.03425088,0.02225951,55.9700,40.2053
1984-02,-0.05037749,0.00082498,0.00790432,56.5400,40.2362
1984-03,0.00050274,-0.02075591,0.00332872,56.6900,40.0785
1984-04,-0.00229559,-0.01410942,0.00019787,56.8000,39.7838
1984-05,-0.00421029,-0.03277363,0.00601212,57.4900,39.7157
1984-06,-0.01530893,0.00643523,0.01107973,57.4400,39.8432
1984-07,-0.01818440,0.01259978,-0.00139365,57.2800,39.4768
1984-08,0.08143067,0.03605241,-0.00176294,57.4900,39.0919
1984-09,0.01581696,0.02341234,0.01005795,57.6900,39.1588
1984-10,-0.00238225,0.03241817,0.00999423,57.4600,39.2263
1984-11,0.01787303,0.04920702,0.01273895,57.1300,39.4195
1984-12,-0.00479607,0.01598061,0.00919265,56.8500,39.5090
1985-01,0.04200499,0.01169180,0.00168118,56.8800,39.3206
1985-02,0.05540869,-0.00036625,0.00388287,57.3300,39.2282
1985-03,0.00324876,-0.00233053,0.01474728,57.3600,39.5440
1985-04,0.01497307,0.03958469,0.01153455,57.0800,39.7285
1985-05,0.03195875,0.04856241,0.01089159,56.9000,39.9060
1985-06,0.02386039,0.04985600,0.00479151,56.8100,39.8569
1985-07,0.02965462,0.00637696,0.01266442,56.8700,40.1363
1985-08,-0.00952946,0.01652354,0.01484524,56.6200,40.5006
1985-09,-0.01970490,0.00529720,0.00487221,57.5600,40.4647
1985-10,0.00820741,0.00978008,-0.00096339,57.5000,40.1953
1985-11,0.05854822,0.03154611,0.00042460,56.7000,39.9813
1985-12,0.05097047,0.03918241,0.00394754,56.1100,39.9060
1986-01,-0.00038178,0.00422012,-0.00216856,56.6400,39.5925
1986-02,0.04754586,0.03023780,-0.00327556,56.8000,39.2388
1986-03,0.05612220,0.06383755,0.00028289,56.7900,39.0274
1986-04,0.01852837,0.03073189,-0.00339511,56.9300,38.6895
1986-05,-0.00102045,-0.02758146,-0.00103307,57.0100,38.4605
1986-06,0.02335335,-0.00741711,-0.00279826,57.1500,38.1626
1986-07,-0.01914630,0.03994656,0.00388507,57.0100,38.1190
1986-08,0.00413482,-0.00340574,-0.01362506,57.3200,37.4225
1986-09,-0.03856588,-0.02746845,-0.00994014,58.7800,36.8847
1986-10,-0.00731801,0.00110592,-0.00221681,58.6500,36.6475
1986-11,0.02942237,0.01287139,-0.00151780,57.8400,36.4382
1986-12,0.00490272,0.00364776,-0.00768699,57.5800,36.0014
1987-01,0.04607608,-0.01150261,-0.01496305,57.4300,35.3040
1987-02,0.05713434,-0.01289781,-0.00265096,57.3100,35.0556
1987-03,0.03261940,-0.00470591,-0.00618848,56.8600,34.6811
1987-04,-0.03300093,-0.06911991,-0.02023371,57.0600,33.8257
1987-05,-0.04183869,-0.07396265,-0.03912501,57.0700,32.3540
1987-06,0.00858138,-0.01456894,-0.03041366,57.1100,31.2264
1987-07,0.02752523,0.00010234,0.00099360,57.7700,31.1141
1987-08,0.03637361,-0.03918945,-0.02197034,58.2400,30.2905
1987-09,-0.03475835,-0.03873213,0.00027118,58.4500,30.1510
1987-10,-0.12188492,-0.00224017,0.00135243,57.9300,30.0361
1987-11,-0.12952449,0.04275942,-0.00248442,58.0900,29.8133
1987-12,-0.04161620,-0.02960409,-0.02417860,58.6900,28.9586
1988-01,0.03057308,0.01658305,-0.00679106,57.7400,28.6278
1988-02,0.03464388,0.03914969,0.00602290,57.5100,28.6650
1988-03,0.03313156,-0.00294946,0.00537308,57.1900,28.6871
1988-04,-0.00854074,-0.01547811,0.00492442,57.2600,28.6955
1988-05,-0.02285180,-0.01738923,0.00377046,57.9100,28.6662
1988-06,0.06212010,0.02054878,0.00707121,58.2600,28.7232
