year,usdtwd_change,real_fx_overlay
1985,0.00636,0.04373
1986,-0.05030,-0.03900
1987,-0.15807,-0.13165
1988,-0.10231,-0.07759
1989,-0.07730,-0.07367
1990,0.01781,0.03022
1991,-0.00286,0.00303
1992,-0.06167,-0.07454
1993,0.04856,0.04864
1994,0.00287,-0.01149
1995,0.00144,-0.00687
1996,0.03663,0.03517
1997,0.04806,0.06294
1998,0.16488,0.16337
1999,-0.03635,-0.01699
2000,-0.03247,-0.01213
2001,0.08175,0.11236
2002,0.02125,0.03949
2003,-0.00403,0.02145
2004,-0.02978,-0.01957
2005,-0.03695,-0.02674
2006,0.01117,0.03757
2007,0.01061,0.02110
2008,-0.03998,-0.03712
2009,0.04709,0.05257
2010,-0.04636,-0.03998
2011,-0.06676,-0.05079
2012,0.00559,0.00692
2013,0.00417,0.01087
2014,0.02118,0.02550
2015,0.04767,0.05213
2016,0.01534,0.01402
2017,-0.05663,-0.04249
2018,-0.00911,0.00157
2019,0.02537,0.03814
2020,-0.04698,-0.03292
2021,-0.05140,-0.02603
2022,0.06668,0.11907
2023,0.04536,0.06192
2024,0.03065,0.03841
2025,-0.02888,-0.01875
