engine,sampler,seed,horizon,alloc,rule,bucket_ccy,n,ruin_pct,ruin_se,spendfail_pct,spendfail_se,spend_p5,spend_med,yrs_below80_med,yrs_below80_p90,final_wealth_med,ce_g4
US1934,hist,,30,60/40,FIX4,,715,2.38,0.57,0.28,0.2,1.171,1.179,0.0,0.0,1.539,0.0045
US1934,hist,,30,80/19,FIX4,,715,0.7,0.31,0.0,0.0,1.171,1.179,0.0,0.0,2.859,0.0108
US1934,hist,,30,100/0,FIX4,,715,0.7,0.31,0.28,0.2,1.171,1.179,0.0,0.0,4.123,0.0057
US1934,hist,,30,60/40,GK4,,715,0.0,0.0,32.31,1.75,0.84,1.484,0.0,17.0,1.6,0.0358
US1934,hist,,30,60/40,GK5,,715,0.0,0.0,39.02,1.82,0.913,1.644,3.0,21.0,1.155,0.0394
US1934,hist,,30,80/19,GK5,,715,0.0,0.0,33.01,1.76,0.938,1.994,0.0,19.600000000000023,1.591,0.0418
US1934,hist,,30,60/40,VG4,,715,0.0,0.0,39.86,1.83,0.688,1.186,3.0,24.0,1.865,0.0299
US1934,hist,,30,BYSQ-3y,FIX4,USD,715,3.22,0.66,0.84,0.34,1.171,1.179,0.0,0.0,3.422,0.0035
US1934,hist,,30,BYSQ-5y,FIX4,USD,715,7.41,0.98,4.2,0.75,1.096,1.179,0.0,0.0,2.822,0.0023
US1934,hist,,30,BYSQ-3y,FIX5,USD,715,21.26,1.53,20.0,1.5,0.963,1.473,0.0,9.0,2.323,0.0013
US1934,hist,,30,BYSQ-3y,GK5,USD,715,0.0,0.0,31.89,1.74,0.951,1.993,0.0,20.0,1.675,0.0428
US1934,boot36,0,30,60/40,FIX4,,10000,6.23,0.24,4.27,0.2,1.121,1.181,0.0,0.0,1.63,0.0019
US1934,boot36,0,30,80/19,FIX4,,10000,5.63,0.23,4.46,0.21,1.127,1.181,0.0,0.0,2.58,0.0018
US1934,boot36,0,30,100/0,FIX4,,10000,6.45,0.25,5.28,0.22,1.065,1.181,0.0,0.0,3.599,0.0016
US1934,boot36,0,30,60/40,GK4,,10000,0.0,0.0,18.7,0.39,0.806,1.35,0.0,19.0,1.476,0.0357
US1934,boot36,0,30,60/40,GK5,,10000,0.04,0.02,29.07,0.45,0.909,1.499,0.0,23.0,1.044,0.0277
US1934,boot36,0,30,80/19,GK5,,10000,0.15,0.04,24.69,0.43,0.922,1.739,0.0,22.0,1.497,0.0123
US1934,boot36,0,30,60/40,VG4,,10000,0.0,0.0,24.97,0.43,0.762,1.2,0.0,22.0,1.67,0.0323
US1934,boot36,0,30,BYSQ-3y,FIX4,USD,10000,7.28,0.26,5.81,0.23,1.044,1.181,0.0,0.0,2.986,0.0016
US1934,boot36,0,30,BYSQ-5y,FIX4,USD,10000,8.73,0.28,6.8,0.25,1.015,1.181,0.0,0.0,2.448,0.0016
US1934,boot36,0,30,BYSQ-3y,FIX5,USD,10000,19.24,0.39,16.73,0.37,0.958,1.476,0.0,7.0,1.826,0.0014
US1934,boot36,0,30,BYSQ-3y,GK5,USD,10000,0.42,0.06,25.29,0.43,0.911,1.786,0.0,22.0,1.577,0.0076
US1934,boot36,1,30,60/40,FIX4,,10000,6.36,0.24,4.6,0.21,1.111,1.181,0.0,0.0,1.664,0.0019
US1934,boot36,1,30,80/19,FIX4,,10000,6.22,0.24,4.74,0.21,1.103,1.181,0.0,0.0,2.581,0.0018
US1934,boot36,1,30,100/0,FIX4,,10000,7.04,0.26,5.92,0.24,1.035,1.181,0.0,0.0,3.637,0.0016
US1934,boot36,1,30,60/40,GK4,,10000,0.0,0.0,18.55,0.39,0.807,1.352,0.0,19.0,1.494,0.0358
US1934,boot36,1,30,60/40,GK5,,10000,0.01,0.01,28.61,0.45,0.909,1.495,0.0,23.0,1.054,0.0395
US1934,boot36,1,30,80/19,GK5,,10000,0.19,0.04,24.36,0.43,0.913,1.736,0.0,22.0,1.502,0.0125
US1934,boot36,1,30,60/40,VG4,,10000,0.0,0.0,24.84,0.43,0.757,1.205,0.0,22.0,1.686,0.0324
US1934,boot36,1,30,BYSQ-3y,FIX4,USD,10000,7.79,0.27,6.28,0.24,1.024,1.181,0.0,0.0,3.006,0.0016
US1934,boot36,1,30,BYSQ-5y,FIX4,USD,10000,9.25,0.29,7.36,0.26,0.991,1.181,0.0,0.0,2.481,0.0016
US1934,boot36,1,30,BYSQ-3y,FIX5,USD,10000,19.26,0.39,16.76,0.37,0.936,1.476,0.0,8.0,1.824,0.0014
US1934,boot36,1,30,BYSQ-3y,GK5,USD,10000,0.63,0.08,25.17,0.43,0.905,1.781,0.0,22.0,1.592,0.0071
US1934,boot36,2,30,60/40,FIX4,,10000,6.47,0.25,4.9,0.22,1.092,1.181,0.0,0.0,1.625,0.0018
US1934,boot36,2,30,80/19,FIX4,,10000,6.04,0.24,4.72,0.21,1.114,1.181,0.0,0.0,2.561,0.0018
US1934,boot36,2,30,100/0,FIX4,,10000,6.76,0.25,5.68,0.23,1.036,1.181,0.0,0.0,3.586,0.0016
US1934,boot36,2,30,60/40,GK4,,10000,0.0,0.0,18.62,0.39,0.799,1.339,0.0,19.0,1.485,0.0354
US1934,boot36,2,30,60/40,GK5,,10000,0.03,0.02,29.05,0.45,0.902,1.484,0.0,23.0,1.055,0.0238
US1934,boot36,2,30,80/19,GK5,,10000,0.16,0.04,24.58,0.43,0.909,1.729,0.0,22.0,1.492,0.0142
US1934,boot36,2,30,60/40,VG4,,10000,0.0,0.0,25.08,0.43,0.75,1.197,0.0,22.0,1.668,0.0319
US1934,boot36,2,30,BYSQ-3y,FIX4,USD,10000,7.56,0.26,5.99,0.24,1.025,1.181,0.0,0.0,2.971,0.0016
US1934,boot36,2,30,BYSQ-5y,FIX4,USD,10000,8.99,0.29,7.03,0.26,1.0,1.181,0.0,0.0,2.45,0.0016
US1934,boot36,2,30,BYSQ-3y,FIX5,USD,10000,19.15,0.39,16.68,0.37,0.939,1.476,0.0,7.100000000000364,1.827,0.0014
