engine,alloc,rule,rate,ruin_pct,spendfail_pct,spend_p5,spend_med
US1934,60/40,FIX2.5,0.025,1.89,1.62,1.223,1.23
US1934,60/40,FIX2.75,0.0275,3.36,2.96,1.344,1.354
US1934,60/40,FIX3,0.03,5.66,5.08,1.395,1.476
US1934,60/40,FIX3.25,0.0325,8.22,7.49,1.27,1.599
US1934,60/40,FIX3.5,0.035,11.48,10.69,1.187,1.722
US1934,60/40,FIX3.75,0.0375,15.66,14.49,1.136,1.845
US1934,60/40,FIX4,0.04,20.02,18.92,1.096,1.968
US1934,60/40,FIX4.25,0.0425,25.47,23.93,1.062,2.09
US1934,60/40,FIX4.5,0.045,31.3,29.9,1.034,2.212
US1934,60/40,FIX4.75,0.0475,36.89,35.56,1.015,2.334
US1934,60/40,FIX5,0.05,42.64,41.25,0.998,2.455
US1934,60/40,FIX5.25,0.0525,48.15,46.7,0.984,2.572
US1934,60/40,FIX5.5,0.055,53.9,52.3,0.973,2.419
US1934,100/0,FIX2.5,0.025,2.38,2.19,1.223,1.23
US1934,100/0,FIX2.75,0.0275,3.52,3.3,1.344,1.353
US1934,100/0,FIX3,0.03,5.0,4.68,1.461,1.476
US1934,100/0,FIX3.25,0.0325,6.74,6.4,1.244,1.599
US1934,100/0,FIX3.5,0.035,9.08,8.74,1.13,1.722
US1934,100/0,FIX3.75,0.0375,11.38,11.04,1.058,1.845
US1934,100/0,FIX4,0.04,13.77,13.35,1.014,1.968
US1934,100/0,FIX4.25,0.0425,16.58,16.0,0.984,2.091
US1934,100/0,FIX4.5,0.045,19.38,18.77,0.948,2.213
US1934,100/0,FIX4.75,0.0475,22.3,21.73,0.928,2.336
US1934,100/0,FIX5,0.05,25.9,25.23,0.912,2.458
US1934,100/0,FIX5.25,0.0525,28.95,28.35,0.898,2.581
US1934,100/0,FIX5.5,0.055,32.35,31.74,0.887,2.703
US1934,60/40,GK2.5,0.025,0.0,11.46,1.052,2.343
US1934,60/40,GK2.75,0.0275,0.0,13.48,1.094,2.419
US1934,60/40,GK3,0.03,0.0,15.67,1.131,2.48
US1934,60/40,GK3.25,0.0325,0.0,18.18,1.162,2.521
US1934,60/40,GK3.5,0.035,0.0,20.96,1.187,2.554
US1934,60/40,GK3.75,0.0375,0.0,24.39,1.202,2.571
US1934,60/40,GK4,0.04,0.0,27.96,1.212,2.582
US1934,60/40,GK4.25,0.0425,0.0,31.59,1.22,2.581
US1934,60/40,GK4.5,0.045,0.01,35.72,1.234,2.573
US1934,60/40,GK4.75,0.0475,0.02,39.97,1.235,2.555
US1934,60/40,GK5,0.05,0.07,44.33,1.236,2.528
US1934,60/40,GK5.25,0.0525,0.15,49.14,1.235,2.502
US1934,60/40,GK5.5,0.055,0.37,54.01,1.232,2.47
US1934,BYSQ-3y,FIX2.5,0.025,2.59,2.39,1.222,1.23
US1934,BYSQ-3y,FIX2.75,0.0275,3.85,3.66,1.343,1.353
US1934,BYSQ-3y,FIX3,0.03,5.52,5.26,1.347,1.476
US1934,BYSQ-3y,FIX3.25,0.0325,8.02,7.5,1.197,1.599
US1934,BYSQ-3y,FIX3.5,0.035,10.68,10.19,1.112,1.722
US1934,BYSQ-3y,FIX3.75,0.0375,13.41,12.94,1.058,1.845
US1934,BYSQ-3y,FIX4,0.04,16.71,16.14,1.018,1.968
US1934,BYSQ-3y,FIX4.25,0.0425,20.22,19.64,0.985,2.09
US1934,BYSQ-3y,FIX4.5,0.045,24.34,23.62,0.96,2.213
US1934,BYSQ-3y,FIX4.75,0.0475,28.7,27.81,0.945,2.335
US1934,BYSQ-3y,FIX5,0.05,32.88,32.23,0.933,2.457
US1934,BYSQ-3y,FIX5.25,0.0525,37.66,36.75,0.922,2.579
US1934,BYSQ-3y,FIX5.5,0.055,42.44,41.53,0.912,2.699
TW1983,60/40,FIX2.5,0.025,0.0,0.0,1.237,1.241
TW1983,60/40,FIX2.75,0.0275,0.01,0.01,1.36,1.365
TW1983,60/40,FIX3,0.03,0.02,0.01,1.484,1.489
TW1983,60/40,FIX3.25,0.0325,0.15,0.15,1.608,1.614
TW1983,60/40,FIX3.5,0.035,0.4,0.35,1.731,1.738
TW1983,60/40,FIX3.75,0.0375,0.79,0.64,1.855,1.862
TW1983,60/40,FIX4,0.04,1.65,1.46,1.978,1.986
TW1983,60/40,FIX4.25,0.0425,2.83,2.61,2.101,2.11
TW1983,60/40,FIX4.5,0.045,4.45,4.19,2.222,2.234
TW1983,60/40,FIX4.75,0.0475,6.56,6.05,1.968,2.358
TW1983,60/40,FIX5,0.05,9.35,8.87,1.743,2.482
TW1983,60/40,FIX5.25,0.0525,12.84,12.23,1.597,2.605
TW1983,60/40,FIX5.5,0.055,16.84,16.28,1.493,2.729
TW1983,100/0,FIX2.5,0.025,0.42,0.41,1.237,1.241
TW1983,100/0,FIX2.75,0.0275,0.65,0.62,1.36,1.365
TW1983,100/0,FIX3,0.03,1.05,1.01,1.484,1.489
TW1983,100/0,FIX3.25,0.0325,1.81,1.73,1.607,1.614
TW1983,100/0,FIX3.5,0.035,2.51,2.47,1.73,1.738
TW1983,100/0,FIX3.75,0.0375,3.49,3.32,1.853,1.862
TW1983,100/0,FIX4,0.04,4.59,4.44,1.974,1.986
TW1983,100/0,FIX4.25,0.0425,5.92,5.75,1.74,2.11
TW1983,100/0,FIX4.5,0.045,7.58,7.37,1.481,2.234
TW1983,100/0,FIX4.75,0.0475,9.48,9.25,1.349,2.358
TW1983,100/0,FIX5,0.05,11.56,11.29,1.263,2.481
TW1983,100/0,FIX5.25,0.0525,13.69,13.41,1.195,2.605
TW1983,100/0,FIX5.5,0.055,15.9,15.63,1.147,2.729
TW1983,60/40,GK2.5,0.025,0.0,0.2,2.022,4.45
TW1983,60/40,GK2.75,0.0275,0.0,0.31,2.089,4.575
TW1983,60/40,GK3,0.03,0.0,0.46,2.136,4.66
TW1983,60/40,GK3.25,0.0325,0.0,0.82,2.164,4.716
TW1983,60/40,GK3.5,0.035,0.0,1.25,2.183,4.745
TW1983,60/40,GK3.75,0.0375,0.0,1.85,2.193,4.749
TW1983,60/40,GK4,0.04,0.0,2.6,2.192,4.728
TW1983,60/40,GK4.25,0.0425,0.0,3.61,2.188,4.695
TW1983,60/40,GK4.5,0.045,0.0,4.78,2.166,4.634
TW1983,60/40,GK4.75,0.0475,0.0,6.41,2.152,4.571
TW1983,60/40,GK5,0.05,0.01,8.28,2.121,4.482
TW1983,60/40,GK5.25,0.0525,0.01,10.77,2.098,4.398
TW1983,60/40,GK5.5,0.055,0.03,13.96,2.061,4.299
TW1983,BYSQ-3y,FIX2.5,0.025,0.42,0.41,1.237,1.241
TW1983,BYSQ-3y,FIX2.75,0.0275,0.64,0.59,1.36,1.365
TW1983,BYSQ-3y,FIX3,0.03,1.11,1.07,1.484,1.489
TW1983,BYSQ-3y,FIX3.25,0.0325,1.83,1.79,1.607,1.614
TW1983,BYSQ-3y,FIX3.5,0.035,2.59,2.49,1.73,1.738
TW1983,BYSQ-3y,FIX3.75,0.0375,3.84,3.54,1.853,1.862
TW1983,BYSQ-3y,FIX4,0.04,5.22,4.99,1.9,1.986
TW1983,BYSQ-3y,FIX4.25,0.0425,7.05,6.79,1.578,2.11
TW1983,BYSQ-3y,FIX4.5,0.045,9.36,9.02,1.408,2.234
TW1983,BYSQ-3y,FIX4.75,0.0475,11.92,11.5,1.315,2.357
TW1983,BYSQ-3y,FIX5,0.05,14.51,14.17,1.245,2.481
TW1983,BYSQ-3y,FIX5.25,0.0525,18.0,17.59,1.197,2.605
TW1983,BYSQ-3y,FIX5.5,0.055,21.66,21.12,1.165,2.728
