strategy,seed,horizon,wiped_pct,forced_liq_pct,line_forced_pct,any_forced_pct,peak_ltv_med,peak_ltv_p95,peak_ltv_p99,first_hit_med,nw_med,nw_p5,interest_over_spend,nw_mdd_med,spend_fail_pct,beats_sell_pct,beats_sell_crash_pct,crash_frac_pct
P8-sell-2.5,0,30,0.11,0,0,0.11,0,0,0,-1,8.91,1.55,0.0,,0.11,,,
P6c-N0,0,30,0.56,1.05,4.87,4.87,17.6,52.7,77.3,18.0,11.48,2.03,0.512,-47.8,0.46,97.58,95.55,52.38
P6c-N3-F3,0,30,0.01,0.1,2.01,2.01,18.6,43.8,60.1,19.0,11.63,2.4,0.634,-47.4,27.2,99.61,99.31,52.38
P6c-N3-F1,0,30,0.62,1.13,5.23,5.24,21.2,55.6,77.7,18.0,11.44,2.0,0.603,-48.0,0.51,97.29,95.02,52.38
P6c-N3-F2,0,30,0.36,0.48,2.97,2.98,20.4,48.2,65.2,21.0,11.21,1.82,0.574,-47.9,0.28,97.35,95.11,52.38
P6c-N5-F3,0,30,0.03,0.32,3.34,3.35,22.1,51.8,67.5,19.0,11.55,2.28,0.686,-47.7,10.64,99.2,98.55,52.38
P6c-N0-r2.5,0,30,0.47,0.87,4.25,4.26,17.0,50.2,74.7,18.0,11.55,2.13,0.406,-47.6,0.37,98.11,96.49,52.38
P6c-N0-r3.5,0,30,0.68,1.3,5.68,5.69,18.3,55.4,79.1,19.0,11.4,1.94,0.627,-48.1,0.6,96.73,93.97,52.38
P6c-N0-noline,0,30,0.57,1.44,0.0,1.44,17.6,53.0,79.8,20.0,11.48,2.08,0.513,-47.8,0.54,97.7,95.76,52.38
P6c-N3-noline,0,30,0.01,0.33,0.0,0.33,18.6,43.8,61.8,22.0,11.63,2.42,0.634,-47.4,27.16,99.65,99.39,52.38
P6b-N0,0,30,0.81,2.78,0.0,2.78,19.9,60.7,81.2,20.0,11.29,1.89,0.782,-49.1,0.7,95.72,92.23,52.38
P6b-N3-F3,0,30,0.03,1.02,0.0,1.02,21.1,52.1,75.1,19.5,11.4,2.28,1.01,-48.8,27.64,98.52,97.46,52.38
P6c-N0-4pc,0,30,3.49,5.11,16.51,16.56,28.2,77.2,190.8,15.0,10.88,0.57,0.507,-51.1,3.2,86.53,76.0,52.38
P8-sell-2.5,1,30,0.16,0,0,0.16,0,0,0,-1,9.05,1.59,0.0,,0.13,,,
P6c-N0,1,30,0.39,1.04,4.63,4.64,17.6,51.2,77.1,18.0,11.7,2.13,0.511,-47.1,0.32,97.65,95.46,51.34
P6c-N3-F3,1,30,0.01,0.16,1.92,1.93,18.6,42.5,60.3,20.0,11.85,2.47,0.633,-46.4,25.87,99.71,99.44,51.34
P6c-N3-F1,1,30,0.41,1.08,5.02,5.03,21.2,54.0,77.5,18.0,11.67,2.09,0.603,-47.4,0.33,97.37,94.94,51.34
P6c-N3-F2,1,30,0.26,0.46,2.66,2.69,20.4,46.4,64.4,20.0,11.41,1.88,0.575,-47.2,0.22,97.46,95.11,51.34
P6c-N5-F3,1,30,0.03,0.44,3.09,3.13,22.1,50.6,66.9,19.0,11.76,2.35,0.685,-46.9,9.65,99.15,98.36,51.34
P6c-N0-r2.5,1,30,0.34,0.83,4.01,4.02,17.0,48.6,74.2,19.0,11.77,2.22,0.406,-46.9,0.31,98.27,96.67,51.34
P6c-N0-r3.5,1,30,0.47,1.22,5.38,5.39,18.3,53.6,78.2,18.0,11.62,2.02,0.627,-47.4,0.38,96.89,94.02,51.34
P6c-N0-noline,1,30,0.47,1.38,0.0,1.38,17.6,51.5,79.5,20.0,11.7,2.18,0.512,-47.1,0.43,97.71,95.58,51.34
P6c-N3-noline,1,30,0.01,0.25,0.0,0.25,18.6,42.5,61.6,18.0,11.85,2.48,0.633,-46.4,25.88,99.73,99.47,51.34
P6b-N0,1,30,0.72,2.47,0.0,2.47,19.7,59.9,81.0,19.0,11.48,2.01,0.783,-48.5,0.57,95.86,92.19,51.34
P6b-N3-F3,1,30,0.04,1.05,0.0,1.05,20.9,50.5,75.2,20.0,11.62,2.36,1.008,-48.2,26.39,98.33,96.88,51.34
P6c-N0-4pc,1,30,3.21,4.95,15.79,15.84,28.2,76.8,191.1,15.0,11.1,0.65,0.507,-50.4,2.86,87.25,76.68,51.34
P8-sell-2.5,2,30,0.08,0,0,0.08,0,0,0,-1,8.9,1.62,0.0,,0.06,,,
P6c-N0,2,30,0.6,1.13,4.81,4.82,17.6,51.5,77.7,18.0,11.54,2.16,0.511,-47.4,0.49,97.62,95.5,51.77
P6c-N3-F3,2,30,0.03,0.19,2.06,2.08,18.6,42.4,60.2,19.0,11.67,2.53,0.633,-46.9,26.71,99.62,99.29,51.77
P6c-N3-F1,2,30,0.61,1.16,5.15,5.16,21.3,54.3,78.0,18.0,11.5,2.12,0.602,-47.7,0.5,97.38,95.06,51.77
P6c-N3-F2,2,30,0.3,0.46,2.6,2.63,20.5,46.5,63.0,20.0,11.27,1.92,0.574,-47.5,0.21,97.38,95.07,51.77
P6c-N5-F3,2,30,0.03,0.39,3.21,3.24,22.1,50.7,66.8,18.0,11.59,2.35,0.685,-47.2,10.46,99.21,98.51,51.77
P6c-N0-r2.5,2,30,0.46,0.96,4.14,4.16,17.0,48.9,75.5,18.0,11.61,2.25,0.406,-47.2,0.39,98.25,96.66,51.77
P6c-N0-r3.5,2,30,0.67,1.26,5.48,5.5,18.3,54.0,78.2,17.0,11.46,2.06,0.627,-47.7,0.54,96.87,94.09,51.77
P6c-N0-noline,2,30,0.58,1.5,0.0,1.5,17.6,51.5,79.9,20.0,11.54,2.22,0.512,-47.4,0.47,97.67,95.56,51.77
P6c-N3-noline,2,30,0.03,0.29,0.0,0.29,18.6,42.4,62.4,20.0,11.67,2.54,0.634,-46.9,26.69,99.64,99.32,51.77
P6b-N0,2,30,0.8,2.63,0.0,2.63,19.8,60.1,81.0,19.0,11.33,1.98,0.787,-48.7,0.74,95.79,92.2,51.77
P6b-N3-F3,2,30,0.05,1.03,0.0,1.03,21.0,50.7,75.5,20.0,11.44,2.4,1.014,-48.4,27.2,98.41,97.04,51.77
P6c-N0-4pc,2,30,3.28,4.95,16.32,16.34,28.2,76.5,183.3,15.0,10.93,0.69,0.507,-50.7,3.06,87.22,76.86,51.77
P8-sell-2.5,0,40,0.23,0,0,0.23,0,0,0,-1,20.08,2.85,0.0,,0.22,,,
P6c-N0,0,40,0.66,1.02,5.39,5.39,18.0,53.9,77.1,20.0,27.63,4.44,0.714,-49.7,0.63,98.45,97.53,62.76
P6c-N3-F3,0,40,0.01,0.19,2.05,2.06,18.9,43.5,60.2,20.0,27.87,5.04,0.869,-49.3,40.27,99.9,99.84,62.76
P6c-N3-F1,0,40,0.69,1.09,5.74,5.74,21.7,55.8,77.8,19.0,27.58,4.39,0.812,-49.9,0.68,98.38,97.42,62.76
P6c-N3-F2,0,40,0.49,0.57,3.14,3.14,20.8,48.6,66.6,22.0,26.89,3.88,0.765,-49.8,0.48,98.53,97.66,62.76
P6c-N5-F3,0,40,0.07,0.37,3.27,3.28,22.5,51.8,67.0,20.0,27.74,4.84,0.911,-49.5,14.27,99.68,99.49,62.76
P6c-N0-r2.5,0,40,0.57,0.87,4.49,4.49,17.3,51.0,74.0,19.0,27.76,4.62,0.557,-49.4,0.57,98.81,98.1,62.76
P6c-N0-r3.5,0,40,0.76,1.37,6.32,6.34,18.9,56.5,79.2,20.0,27.47,4.19,0.892,-50.0,0.74,97.95,96.73,62.76
P6c-N0-noline,0,40,0.71,1.5,0.0,1.5,18.0,54.2,80.2,22.0,27.63,4.53,0.716,-49.7,0.67,98.42,97.48,62.76
P6c-N3-noline,0,40,0.02,0.38,0.0,0.38,18.9,43.5,61.0,21.5,27.87,5.08,0.869,-49.3,40.26,99.87,99.79,62.76
P6b-N0,0,40,0.99,2.97,0.0,2.97,20.5,62.6,91.2,22.0,27.18,3.87,1.156,-50.9,0.94,96.6,94.69,62.76
P6b-N3-F3,0,40,0.11,1.17,0.0,1.17,21.4,51.9,75.6,22.0,27.46,4.69,1.47,-50.6,40.56,99.06,98.53,62.76
P6c-N0-4pc,0,40,3.97,5.63,17.83,17.85,28.9,78.4,253.4,15.0,26.61,0.85,0.707,-52.8,3.79,90.81,85.76,62.76
P8-sell-2.5,1,40,0.31,0,0,0.31,0,0,0,-1,20.62,2.81,0.0,,0.28,,,
P6c-N0,1,40,0.77,1.37,5.13,5.13,17.8,53.0,79.3,20.0,28.34,4.3,0.714,-49.2,0.7,98.35,97.31,61.3
P6c-N3-F3,1,40,0.06,0.3,2.23,2.26,18.6,43.7,61.9,20.0,28.61,4.91,0.869,-48.8,39.61,99.86,99.77,61.3
P6c-N3-F1,1,40,0.83,1.43,5.56,5.56,21.4,55.3,80.1,19.0,28.29,4.26,0.812,-49.3,0.79,98.2,97.06,61.3
P6c-N3-F2,1,40,0.61,0.77,3.34,3.34,20.5,48.5,70.3,22.0,27.39,3.8,0.766,-49.2,0.56,98.51,97.57,61.3
P6c-N5-F3,1,40,0.09,0.52,3.51,3.55,22.2,51.6,68.6,20.0,28.46,4.71,0.91,-49.0,14.14,99.69,99.49,61.3
P6c-N0-r2.5,1,40,0.66,1.07,4.4,4.4,17.1,50.1,77.5,19.5,28.48,4.49,0.557,-49.0,0.65,98.72,97.91,61.3
P6c-N0-r3.5,1,40,0.88,1.57,6.12,6.13,18.6,55.4,80.9,20.0,28.18,4.08,0.893,-49.5,0.86,97.78,96.39,61.3
P6c-N0-noline,1,40,0.76,1.72,0.0,1.72,17.8,53.2,81.3,22.0,28.34,4.43,0.716,-49.2,0.74,98.35,97.31,61.3
P6c-N3-noline,1,40,0.06,0.48,0.0,0.48,18.6,43.7,63.9,22.5,28.61,4.97,0.87,-48.8,39.61,99.87,99.79,61.3
P6b-N0,1,40,1.04,3.07,0.0,3.07,20.3,62.8,100.6,22.0,27.81,3.89,1.161,-50.5,0.96,96.62,94.54,61.3
P6b-N3-F3,1,40,0.1,1.24,0.0,1.24,21.3,52.5,75.6,23.0,28.06,4.7,1.472,-50.2,39.98,99.13,98.61,61.3
P6c-N0-4pc,1,40,4.04,5.35,16.34,16.36,28.5,77.6,231.1,15.0,27.13,0.88,0.708,-52.1,3.91,91.01,85.77,61.3
