strategy,horizon,wiped_pct,forced_pct,peak_ltv_p95,nw_med,nw_p5,beats_sell_pct,crash_cond_pct,interest_over_spend,spend_fail_pct
P8-sell-2.5,30,0.63,0,0,5.16,0.66,,,0.0,0.49
P6-margin-N0,30,1.88,4.64,72.8,6.83,0.71,93.6,90.0,0.8,1.56
P6-margin-N3-F3,30,0.11,1.72,57.8,6.97,1.17,98.4,97.5,1.01,30.63
P6-const3-N0,30,0.83,1.9,57.3,7.07,1.12,98.0,96.6,0.43,0.71
P6-margin-N0-4pc,30,8.6,15.6,129.9,6.23,-0.0,75.5,65.9,0.76,7.82
P8-sell-2.5,40,1.69,0,0,9.86,0.76,,,0.0,1.47
P6-margin-N0,40,3.12,6.29,76.8,14.15,0.72,93.9,91.5,1.11,2.87
P6-margin-N3-F3,40,0.26,2.64,61.8,14.38,1.81,98.9,98.5,1.38,43.17
P6-const3-N0,40,1.83,2.91,62.4,14.59,1.74,97.6,96.4,0.56,1.71
P6-margin-N0-4pc,40,11.27,18.09,157.1,13.11,-0.0,79.2,73.1,1.04,10.82
