engine,bucket,fallback,wiped_pct,forced_pct,peak_ltv_med,peak_ltv_p95,nw_med,nw_p5,spend_med,sfabs20
TW1983,OFF,F1,0.56,4.87,17.6,52.7,11.48,2.03,0.76,0.47
TW1983,OFF,F2,0.18,0.34,11.7,25.1,10.35,1.6,0.76,0.13
TW1983,OFF,F3,0.0,0.46,12.4,29.7,11.93,2.65,0.361,100.0
TW1983,N2,F1,0.6,5.06,19.7,54.2,11.45,2.02,0.76,0.5
TW1983,N2,F2,0.32,2.15,18.4,43.4,11.11,1.78,0.76,0.24
TW1983,N2,F3,0.02,2.23,18.7,44.3,11.6,2.41,0.659,61.15
TW1983,N3,F1,0.62,5.24,21.2,55.6,11.44,2.0,0.76,0.52
TW1983,N3,F2,0.38,3.1,20.5,48.6,11.24,1.84,0.76,0.28
TW1983,N3,F3,0.02,3.19,20.7,48.7,11.53,2.31,0.704,40.98
TW1983,N5,F1,0.67,5.59,24.6,57.5,11.42,1.96,0.76,0.6
TW1983,N5,F2,0.53,4.52,24.5,55.8,11.38,1.87,0.76,0.44
TW1983,N5,F3,0.04,4.62,24.5,55.8,11.46,2.14,0.753,15.1
US1934,OFF,F1,1.88,4.64,23.4,72.8,6.83,0.71,0.743,1.57
US1934,OFF,F2,0.91,1.2,15.0,39.4,5.98,0.67,0.743,0.71
US1934,OFF,F3,0.03,0.35,15.4,37.9,7.31,1.43,0.34,100.0
US1934,N2,F1,2.0,4.77,25.5,73.9,6.81,0.67,0.743,1.6
US1934,N2,F2,1.44,2.72,23.6,61.5,6.55,0.68,0.743,1.14
US1934,N2,F3,0.13,1.96,23.7,58.9,6.96,1.13,0.652,61.33
US1934,N3,F1,2.04,4.89,27.2,74.5,6.79,0.66,0.743,1.66
US1934,N3,F2,1.66,3.28,26.1,65.2,6.63,0.68,0.743,1.31
US1934,N3,F3,0.24,2.62,26.1,63.1,6.89,1.03,0.698,44.72
US1934,N5,F1,2.19,5.18,30.8,75.2,6.77,0.61,0.743,1.74
US1934,N5,F2,1.92,3.95,30.5,70.0,6.71,0.63,0.743,1.56
US1934,N5,F3,0.46,3.65,30.4,68.9,6.8,0.9,0.737,22.52
