alloc,rate,floor_ratio,ruin_pct,sfabs20,sfabs25,spend_p5,spend_med
60/40,0.04,0.0,0.0,11.55,21.39,1.212,2.582
60/40,0.04,0.2,0.01,11.55,21.39,1.212,2.582
60/40,0.04,0.35,0.26,11.55,21.39,1.214,2.582
60/40,0.04,0.5,1.46,11.33,21.39,1.253,2.582
60/40,0.04,0.7,6.17,5.47,5.56,1.369,2.578
60/40,0.04,0.85,12.0,11.07,11.11,1.191,2.557
60/40,0.04,1.0,20.93,19.5,19.57,1.096,2.496
80/20,0.05,0.0,0.24,11.0,18.37,1.326,3.354
80/20,0.05,0.2,0.5,11.0,18.37,1.326,3.354
80/20,0.05,0.35,2.37,11.0,18.37,1.342,3.354
80/20,0.05,0.5,6.18,5.45,18.04,1.371,3.353
80/20,0.05,0.7,14.38,13.36,13.43,1.153,3.334
80/20,0.05,0.85,22.34,21.08,21.15,1.043,3.274
80/20,0.05,1.0,32.44,31.13,31.2,0.979,3.134
60/40,0.05,0.0,0.07,14.41,23.96,1.236,2.528
60/40,0.05,0.2,0.25,14.41,23.96,1.237,2.528
60/40,0.05,0.35,2.51,14.41,23.96,1.271,2.528
60/40,0.05,0.5,8.0,7.14,23.76,1.298,2.528
60/40,0.05,0.7,20.12,18.34,18.49,1.131,2.52
60/40,0.05,0.85,31.8,29.78,29.92,1.05,2.498
60/40,0.05,1.0,44.77,42.92,43.07,1.001,2.509
