engine,horizon,strategy,rate,ruin_pct,spend_p5,spend_med,endw_med,sfabs15,sfabs20,sfabs25,sfabs30,ce_g2,ce_g4,ce_g8
US1934,30,60/40 FIX2,0.02,0.01,0.586,0.591,3.04,0.0,100.0,100.0,100.0,0.0197,0.0197,0.0197
US1934,30,100/0 FIX2,0.02,0.17,0.586,0.591,5.66,0.11,100.0,100.0,100.0,0.0195,0.0085,0.0017
US1934,30,60/40 GK2,0.02,0.0,0.502,0.869,2.65,10.6,81.9,100.0,100.0,0.0251,0.0219,0.0176
US1934,30,80/19 GK2,0.02,0.0,0.512,1.014,3.65,11.4,73.98,100.0,100.0,0.0271,0.0225,0.0166
US1934,30,60/40 FIX2.25,0.0225,0.01,0.66,0.665,2.86,0.0,0.01,100.0,100.0,0.0221,0.019,0.0027
US1934,30,100/0 FIX2.25,0.0225,0.41,0.659,0.665,5.41,0.3,0.32,100.0,100.0,0.0216,0.0062,0.0015
US1934,30,60/40 GK2.25,0.0225,0.0,0.549,0.947,2.47,6.1,32.21,98.29,100.0,0.0276,0.0241,0.0192
US1934,30,80/19 GK2.25,0.0225,0.0,0.561,1.107,3.41,6.87,30.95,95.87,100.0,0.0298,0.0247,0.018
US1934,30,60/40 FIX2.5,0.025,0.08,0.733,0.738,2.69,0.02,0.03,100.0,100.0,0.0246,0.0148,0.0022
US1934,30,100/0 FIX2.5,0.025,0.63,0.733,0.738,5.16,0.49,0.51,100.0,100.0,0.0234,0.0049,0.0013
US1934,30,60/40 GK2.5,0.025,0.0,0.594,1.02,2.31,3.93,18.86,83.64,99.59,0.03,0.0262,0.0206
US1934,30,80/19 GK2.5,0.025,0.0,0.606,1.191,3.19,4.46,19.55,76.27,98.93,0.0324,0.0269,0.0193
US1934,30,60/40 FIX2.75,0.0275,0.37,0.806,0.812,2.52,0.17,0.19,0.21,100.0,0.0267,0.008,0.0016
US1934,30,100/0 FIX2.75,0.0275,1.07,0.806,0.812,4.91,0.81,0.85,0.88,100.0,0.0246,0.0041,0.0012
US1934,30,60/40 GK2.75,0.0275,0.0,0.636,1.087,2.15,2.72,13.02,40.18,95.79,0.0321,0.0281,0.0219
US1934,30,80/19 GK2.75,0.0275,0.0,0.648,1.271,2.97,3.22,13.24,37.6,91.77,0.0349,0.0289,0.0204
US1934,30,60/40 FIX3,0.03,0.79,0.879,0.886,2.34,0.45,0.47,0.48,100.0,0.0283,0.0056,0.0014
US1934,30,100/0 FIX3,0.03,1.71,0.879,0.886,4.65,1.27,1.28,1.31,100.0,0.0251,0.0035,0.0011
US1934,30,60/40 GK3,0.03,0.0,0.675,1.149,2.0,2.08,9.53,28.19,85.51,0.0342,0.0299,0.0231
US1934,30,80/19 GK3,0.03,0.0,0.688,1.344,2.77,2.39,9.66,26.6,77.9,0.0372,0.0307,0.0214
US1934,30,60/40 FIX3.25,0.0325,1.49,0.952,0.96,2.16,0.91,0.97,0.99,0.99,0.029,0.0042,0.0013
US1934,30,100/0 FIX3.25,0.0325,2.53,0.952,0.96,4.39,1.93,1.97,2.0,2.03,0.0246,0.003,0.0011
US1934,30,60/40 GK3.25,0.0325,0.0,0.71,1.206,1.86,1.6,7.37,21.63,46.55,0.0361,0.0316,0.0241
US1934,30,80/19 GK3.25,0.0325,0.0,0.725,1.41,2.58,1.97,7.55,20.42,42.87,0.0393,0.0324,0.0222
US1934,30,60/40 FIX3.5,0.035,2.51,1.025,1.034,1.99,1.58,1.62,1.66,1.75,0.0284,0.0034,0.0011
US1934,30,100/0 FIX3.5,0.035,3.58,1.024,1.034,4.14,2.75,2.78,2.83,2.86,0.0232,0.0026,0.001
US1934,30,60/40 GK3.5,0.035,0.0,0.746,1.258,1.73,1.24,6.19,17.08,37.09,0.0379,0.0331,0.0249
US1934,30,80/19 GK3.5,0.035,0.0,0.759,1.47,2.4,1.68,6.31,16.24,33.93,0.0413,0.034,0.0229
US1934,30,60/40 FIX3.75,0.0375,3.95,1.097,1.107,1.81,2.63,2.71,2.79,2.85,0.0265,0.0029,0.0011
US1934,30,100/0 FIX3.75,0.0375,4.84,1.094,1.107,3.87,3.86,3.92,3.96,4.01,0.0211,0.0023,0.001
US1934,30,60/40 GK3.75,0.0375,0.0,0.778,1.306,1.6,1.1,5.3,14.55,30.6,0.0395,0.0345,0.0256
US1934,30,80/19 GK3.75,0.0375,0.0,0.793,1.527,2.23,1.45,5.35,13.71,27.92,0.0431,0.0355,0.0235
US1934,30,60/40 FIX4,0.04,6.23,1.121,1.181,1.63,4.11,4.15,4.26,4.31,0.0233,0.0024,0.001
US1934,30,100/0 FIX4,0.04,6.45,1.065,1.181,3.6,5.12,5.17,5.24,5.35,0.0187,0.0021,0.0009
US1934,30,60/40 GK4,0.04,0.0,0.806,1.35,1.48,1.0,4.6,12.88,26.39,0.0411,0.0357,0.0263
US1934,30,80/19 GK4,0.04,0.0,0.822,1.578,2.06,1.38,4.75,11.91,23.44,0.0449,0.0368,0.0241
