engine,glide,horizon,c,k,draw_on_loss,coast_theta,p5,p25,p50,p75,p95,lt25_pct,lt33_pct,contrib_yrs_med,unemp_months_mean,coast_pct,resume_pct,coast_year_med
US1934,A1,20,0.5,0,1,,10.53,14.33,17.66,21.81,29.73,86.44,97.65,20.0,0.0,0.0,0.0,
US1934,A1,20,0.5,1,1,,10.11,13.85,17.2,21.25,29.2,88.11,97.98,20.0,3.55,0.0,0.0,
US1934,A1,20,0.5,2,1,,10.06,13.83,17.16,21.23,29.13,88.12,97.98,20.0,3.69,0.0,0.0,
US1934,A1,20,0.5,4,1,,9.99,13.79,17.12,21.22,29.1,88.18,98.0,20.0,3.98,0.0,0.0,
US1934,A1,20,0.5,4,0,,10.3,14.07,17.43,21.49,29.55,87.43,97.89,20.0,3.98,0.0,0.0,
US1934,A1,20,0.5,1,1,1.0,10.11,13.85,17.18,21.14,27.87,89.57,98.75,20.0,3.55,16.04,2.06,17.6
US1934,A1,20,0.5,1,1,1.25,10.11,13.85,17.2,21.25,29.0,88.19,98.26,20.0,3.55,4.21,0.0,18.5
US1934,A1,20,0.5,1,1,1.5,10.11,13.85,17.2,21.25,29.14,88.11,97.99,20.0,3.55,0.77,0.0,18.8
US1934,A1,20,0.5,1,1,2.0,10.11,13.85,17.2,21.25,29.2,88.11,97.98,20.0,3.55,0.03,0.0,19.8
US1934,A1,20,0.5,4,1,1.0,9.99,13.79,17.1,21.11,27.82,89.63,98.77,20.0,3.98,15.92,2.05,17.6
US1934,A1,20,0.5,4,1,1.25,9.99,13.79,17.12,21.21,28.95,88.25,98.28,20.0,3.98,4.17,0.0,18.5
US1934,A1,20,0.5,4,1,1.5,9.99,13.79,17.12,21.22,29.09,88.18,98.01,20.0,3.98,0.76,0.0,18.8
US1934,A1,20,0.5,4,1,2.0,9.99,13.79,17.12,21.22,29.1,88.18,98.0,20.0,3.98,0.03,0.0,19.8
US1934,A1,20,1.0,0,1,,21.06,28.65,35.33,43.63,59.46,13.72,41.14,20.0,0.0,0.0,0.0,
US1934,A1,20,1.0,1,1,,20.47,27.94,34.65,42.78,58.72,15.8,43.95,20.0,3.55,0.0,0.0,
US1934,A1,20,1.0,2,1,,20.4,27.9,34.59,42.75,58.67,15.86,44.11,20.0,3.69,0.0,0.0,
US1934,A1,20,1.0,4,1,,20.3,27.85,34.55,42.7,58.63,16.07,44.3,20.0,3.98,0.0,0.0,
US1934,A1,20,1.0,4,0,,20.59,28.13,34.87,42.98,59.1,15.17,43.35,20.0,3.98,0.0,0.0,
US1934,A1,20,1.0,1,1,1.0,18.58,22.94,26.59,31.79,42.34,38.9,78.78,13.0,3.55,93.35,32.31,11.6
US1934,A1,20,1.0,1,1,1.25,19.73,25.35,30.23,35.8,47.4,23.32,64.09,15.58,3.55,74.89,4.87,14.2
US1934,A1,20,1.0,1,1,1.5,20.36,27.25,32.88,39.09,51.15,17.07,50.51,18.67,3.55,51.07,0.31,15.8
US1934,A1,20,1.0,1,1,2.0,20.47,27.92,34.58,42.44,55.91,15.82,44.09,20.0,3.55,16.35,0.0,17.6
US1934,A1,20,1.0,4,1,1.0,18.46,22.9,26.57,31.78,42.24,39.02,78.84,13.08,3.98,93.12,32.15,11.7
US1934,A1,20,1.0,4,1,1.25,19.67,25.3,30.16,35.75,47.35,23.52,64.29,15.58,3.98,74.55,4.93,14.2
US1934,A1,20,1.0,4,1,1.5,20.2,27.2,32.79,39.04,51.15,17.3,50.86,18.67,3.98,50.72,0.31,15.8
US1934,A1,20,1.0,4,1,2.0,20.3,27.84,34.49,42.39,55.89,16.09,44.44,20.0,3.98,16.24,0.0,17.6
US1934,A2,20,0.5,0,1,,10.62,15.58,20.22,26.13,37.81,71.06,89.9,20.0,0.0,0.0,0.0,
US1934,A2,20,0.5,1,1,,10.18,15.05,19.61,25.46,37.05,73.67,90.89,20.0,3.55,0.0,0.0,
US1934,A2,20,0.5,2,1,,10.14,15.04,19.58,25.45,37.05,73.74,90.91,20.0,3.69,0.0,0.0,
US1934,A2,20,0.5,4,1,,10.08,15.01,19.56,25.41,36.99,73.87,90.99,20.0,3.98,0.0,0.0,
US1934,A2,20,0.5,4,0,,10.4,15.28,19.88,25.77,37.34,72.48,90.5,20.0,3.98,0.0,0.0,
US1934,A2,20,0.5,1,1,1.0,10.18,15.04,19.47,24.59,34.05,76.5,93.76,19.42,3.55,35.67,7.87,16.7
US1934,A2,20,0.5,1,1,1.25,10.18,15.05,19.59,25.29,35.56,74.09,92.07,20.0,3.55,15.6,0.71,17.7
US1934,A2,20,0.5,1,1,1.5,10.18,15.05,19.61,25.45,36.61,73.73,91.09,20.0,3.55,6.29,0.02,18.2
US1934,A2,20,0.5,1,1,2.0,10.18,15.05,19.61,25.46,37.05,73.67,90.89,20.0,3.55,0.84,0.0,18.9
US1934,A2,20,0.5,4,1,1.0,10.08,15.0,19.41,24.55,34.03,76.67,93.82,19.33,3.98,35.41,7.79,16.7
US1934,A2,20,0.5,4,1,1.25,10.08,15.0,19.53,25.26,35.5,74.28,92.14,20.0,3.98,15.51,0.7,17.7
US1934,A2,20,0.5,4,1,1.5,10.08,15.01,19.56,25.38,36.6,73.93,91.18,20.0,3.98,6.24,0.02,18.2
US1934,A2,20,0.5,4,1,2.0,10.08,15.01,19.56,25.41,36.99,73.87,90.99,20.0,3.98,0.84,0.0,18.9
US1934,A2,20,1.0,0,1,,21.24,31.16,40.44,52.25,75.61,11.23,30.02,20.0,0.0,0.0,0.0,
US1934,A2,20,1.0,1,1,,20.61,30.36,39.57,51.2,74.43,12.41,32.37,20.0,3.55,0.0,0.0,
US1934,A2,20,1.0,2,1,,20.57,30.33,39.53,51.15,74.43,12.47,32.43,20.0,3.69,0.0,0.0,
US1934,A2,20,1.0,4,1,,20.46,30.24,39.47,51.11,74.42,12.66,32.67,20.0,3.98,0.0,0.0,
US1934,A2,20,1.0,4,0,,20.81,30.56,39.76,51.54,74.69,12.03,31.76,20.0,3.98,0.0,0.0,
US1934,A2,20,1.0,1,1,1.0,18.23,24.17,29.59,37.35,53.33,29.07,63.22,12.0,3.55,95.9,36.62,10.6
US1934,A2,20,1.0,1,1,1.25,19.47,26.53,32.92,41.42,58.7,19.54,50.22,14.0,3.55,84.6,11.27,12.8
US1934,A2,20,1.0,1,1,1.5,20.19,28.51,35.85,44.76,63.21,14.74,40.51,16.42,3.55,68.57,2.1,14.6
US1934,A2,20,1.0,1,1,2.0,20.6,30.22,38.85,49.23,68.31,12.52,33.23,19.42,3.55,36.3,0.05,16.7
US1934,A2,20,1.0,4,1,1.0,18.16,24.11,29.57,37.35,53.33,29.32,63.37,12.0,3.98,95.74,36.58,10.6
US1934,A2,20,1.0,4,1,1.25,19.37,26.5,32.88,41.34,58.69,19.71,50.43,14.0,3.98,84.32,11.21,12.8
US1934,A2,20,1.0,4,1,1.5,20.1,28.43,35.77,44.69,63.13,14.96,40.82,16.42,3.98,68.29,2.11,14.6
US1934,A2,20,1.0,4,1,2.0,20.45,30.13,38.76,49.2,68.17,12.76,33.54,19.25,3.98,36.11,0.05,16.7
US1934,A3,20,0.5,0,1,,10.43,16.6,22.78,31.34,48.52,57.38,78.4,20.0,0.0,0.0,0.0,
US1934,A3,20,0.5,1,1,,10.04,16.03,22.17,30.44,47.47,59.84,80.21,20.0,3.55,0.0,0.0,
US1934,A3,20,0.5,2,1,,10.03,16.0,22.14,30.41,47.47,59.94,80.24,20.0,3.69,0.0,0.0,
US1934,A3,20,0.5,4,1,,9.94,15.97,22.1,30.36,47.47,60.1,80.3,20.0,3.98,0.0,0.0,
US1934,A3,20,0.5,4,0,,10.22,16.27,22.41,30.89,48.04,58.7,79.46,20.0,3.98,0.0,0.0,
US1934,A3,20,0.5,1,1,1.0,10.03,15.93,21.64,28.4,42.9,63.51,84.61,18.67,3.55,52.88,15.76,15.6
US1934,A3,20,0.5,1,1,1.25,10.04,16.01,21.97,29.68,44.59,60.81,82.13,19.5,3.55,32.0,3.3,16.8
US1934,A3,20,0.5,1,1,1.5,10.04,16.02,22.1,30.21,45.78,60.18,80.73,20.0,3.55,18.28,0.63,17.5
US1934,A3,20,0.5,1,1,2.0,10.04,16.03,22.17,30.43,47.22,59.84,80.24,20.0,3.55,5.37,0.01,18.2
US1934,A3,20,0.5,4,1,1.0,9.94,15.87,21.53,28.36,42.88,63.71,84.74,18.67,3.98,52.6,15.69,15.6
US1934,A3,20,0.5,4,1,1.25,9.94,15.96,21.91,29.61,44.59,61.01,82.22,19.42,3.98,31.77,3.26,16.8
US1934,A3,20,0.5,4,1,1.5,9.94,15.97,22.02,30.15,45.78,60.42,80.82,20.0,3.98,18.2,0.63,17.5
US1934,A3,20,0.5,4,1,2.0,9.94,15.97,22.1,30.36,47.22,60.1,80.33,20.0,3.98,5.34,0.01,18.2
US1934,A3,20,1.0,0,1,,20.85,33.19,45.57,62.68,97.04,10.59,24.63,20.0,0.0,0.0,0.0,
US1934,A3,20,1.0,1,1,,20.32,32.36,44.63,61.35,95.38,11.52,26.36,20.0,3.55,0.0,0.0,
US1934,A3,20,1.0,2,1,,20.31,32.31,44.57,61.31,95.38,11.59,26.47,20.0,3.69,0.0,0.0,
US1934,A3,20,1.0,4,1,,20.14,32.23,44.52,61.26,95.38,11.71,26.66,20.0,3.98,0.0,0.0,
US1934,A3,20,1.0,4,0,,20.45,32.55,44.82,61.78,96.08,11.26,25.94,20.0,3.98,0.0,0.0,
US1934,A3,20,1.0,1,1,1.0,17.75,25.3,33.0,44.31,68.96,23.83,49.99,11.17,3.55,96.83,40.79,9.8
US1934,A3,20,1.0,1,1,1.25,18.8,27.63,36.37,48.55,75.21,17.68,40.72,13.0,3.55,89.58,17.55,11.8
US1934,A3,20,1.0,1,1,1.5,19.46,29.5,39.06,51.98,79.67,14.32,34.0,14.75,3.55,77.86,6.47,13.4
US1934,A3,20,1.0,1,1,2.0,20.21,31.58,42.82,56.62,85.83,11.91,28.31,18.5,3.55,53.52,0.44,15.6
US1934,A3,20,1.0,4,1,1.0,17.67,25.27,32.95,44.28,68.9,23.97,50.12,11.17,3.98,96.74,40.71,9.8
US1934,A3,20,1.0,4,1,1.25,18.68,27.58,36.31,48.47,75.17,17.87,40.9,13.0,3.98,89.38,17.52,11.8
US1934,A3,20,1.0,4,1,1.5,19.42,29.42,38.98,51.93,79.67,14.56,34.26,14.83,3.98,77.58,6.45,13.4
US1934,A3,20,1.0,4,1,2.0,20.02,31.39,42.67,56.57,85.81,12.13,28.59,18.5,3.98,53.27,0.46,15.6
US1934,A4,20,0.5,0,1,,10.78,15.91,21.08,27.73,41.17,66.05,86.5,20.0,0.0,0.0,0.0,
US1934,A4,20,0.5,1,1,,10.35,15.38,20.45,26.99,40.21,68.63,87.77,20.0,3.55,0.0,0.0,
US1934,A4,20,0.5,2,1,,10.32,15.36,20.41,26.98,40.21,68.71,87.79,20.0,3.69,0.0,0.0,
US1934,A4,20,0.5,4,1,,10.26,15.31,20.38,26.94,40.12,68.88,87.83,20.0,3.98,0.0,0.0,
US1934,A4,20,0.5,4,0,,10.56,15.66,20.75,27.33,40.54,67.66,87.3,20.0,3.98,0.0,0.0,
US1934,A4,20,0.5,1,1,1.0,10.35,15.36,20.13,25.44,36.09,73.17,91.95,19.08,3.55,41.73,10.49,15.2
US1934,A4,20,0.5,1,1,1.25,10.35,15.38,20.41,26.54,37.74,69.57,89.74,20.0,3.55,21.18,1.14,16.3
US1934,A4,20,0.5,1,1,1.5,10.35,15.38,20.45,26.93,39.15,68.72,88.21,20.0,3.55,9.77,0.1,17.2
US1934,A4,20,0.5,1,1,2.0,10.35,15.38,20.45,26.99,40.16,68.63,87.79,20.0,3.55,2.15,0.0,17.9
US1934,A4,20,0.5,4,1,1.0,10.26,15.3,20.07,25.39,36.08,73.32,92.03,19.08,3.98,41.51,10.49,15.2
US1934,A4,20,0.5,4,1,1.25,10.26,15.31,20.34,26.51,37.72,69.79,89.82,20.0,3.98,21.04,1.13,16.3
US1934,A4,20,0.5,4,1,1.5,10.26,15.31,20.38,26.87,39.12,68.98,88.28,20.0,3.98,9.71,0.1,17.2
US1934,A4,20,0.5,4,1,2.0,10.26,15.31,20.38,26.94,40.07,68.88,87.85,20.0,3.98,2.14,0.0,17.9
US1934,A4,20,1.0,0,1,,21.56,31.83,42.17,55.47,82.34,10.24,27.57,20.0,0.0,0.0,0.0,
US1934,A4,20,1.0,1,1,,21.08,31.08,41.17,54.43,80.72,11.38,29.97,20.0,3.55,0.0,0.0,
US1934,A4,20,1.0,2,1,,21.02,31.05,41.14,54.36,80.69,11.45,30.06,20.0,3.69,0.0,0.0,
US1934,A4,20,1.0,4,1,,20.83,30.94,41.06,54.32,80.67,11.62,30.32,20.0,3.98,0.0,0.0,
US1934,A4,20,1.0,4,0,,21.11,31.32,41.5,54.67,81.08,11.19,29.5,20.0,3.98,0.0,0.0,
US1934,A4,20,1.0,1,1,1.0,18.69,24.42,30.07,38.75,57.46,27.81,59.93,11.17,3.55,95.72,36.91,9.7
US1934,A4,20,1.0,1,1,1.25,19.81,26.73,33.33,42.58,62.39,19.03,48.88,12.92,3.55,85.97,12.94,11.7
US1934,A4,20,1.0,1,1,1.5,20.53,28.66,36.25,45.84,66.72,14.49,39.35,15.0,3.55,71.45,3.09,13.2
US1934,A4,20,1.0,1,1,2.0,21.06,30.74,39.86,50.71,72.23,11.64,31.38,19.08,3.55,42.48,0.12,15.2
US1934,A4,20,1.0,4,1,1.0,18.61,24.37,30.04,38.71,57.37,28.07,60.05,11.17,3.98,95.58,36.75,9.7
US1934,A4,20,1.0,4,1,1.25,19.66,26.68,33.28,42.52,62.25,19.26,49.05,12.92,3.98,85.7,12.92,11.7
US1934,A4,20,1.0,4,1,1.5,20.33,28.58,36.19,45.75,66.67,14.7,39.57,15.08,3.98,71.18,3.07,13.2
US1934,A4,20,1.0,4,1,2.0,20.78,30.62,39.75,50.66,72.18,11.89,31.69,19.0,3.98,42.3,0.12,15.2
US1934,A5,20,0.5,0,1,,10.78,14.58,18.12,22.44,30.94,84.06,96.67,20.0,0.0,0.0,0.0,
US1934,A5,20,0.5,1,1,,10.31,14.04,17.57,21.9,30.33,85.98,97.12,20.0,3.55,0.0,0.0,
US1934,A5,20,0.5,2,1,,10.27,14.03,17.53,21.89,30.32,86.01,97.12,20.0,3.69,0.0,0.0,
US1934,A5,20,0.5,4,1,,10.2,13.97,17.49,21.86,30.28,86.04,97.16,20.0,3.98,0.0,0.0,
US1934,A5,20,0.5,4,0,,10.51,14.31,17.8,22.1,30.53,85.22,96.99,20.0,3.98,0.0,0.0,
US1934,A5,20,0.5,1,1,1.0,10.31,14.04,17.53,21.54,28.19,88.54,98.66,20.0,3.55,19.32,3.22,16.4
US1934,A5,20,0.5,1,1,1.25,10.31,14.04,17.57,21.9,29.94,86.18,97.83,20.0,3.55,5.92,0.05,17.6
US1934,A5,20,0.5,1,1,1.5,10.31,14.04,17.57,21.9,30.3,85.98,97.16,20.0,3.55,1.43,0.0,18.1
US1934,A5,20,0.5,1,1,2.0,10.31,14.04,17.57,21.9,30.33,85.98,97.12,20.0,3.55,0.08,0.0,19.1
US1934,A5,20,0.5,4,1,1.0,10.2,13.97,17.46,21.5,28.15,88.58,98.67,20.0,3.98,19.18,3.16,16.4
US1934,A5,20,0.5,4,1,1.25,10.2,13.97,17.49,21.85,29.86,86.25,97.85,20.0,3.98,5.83,0.05,17.6
US1934,A5,20,0.5,4,1,1.5,10.2,13.97,17.49,21.86,30.25,86.04,97.2,20.0,3.98,1.41,0.0,18.1
US1934,A5,20,0.5,4,1,2.0,10.2,13.97,17.49,21.86,30.28,86.04,97.16,20.0,3.98,0.08,0.0,19.1
US1934,A5,20,1.0,0,1,,21.55,29.16,36.25,44.88,61.87,12.38,38.28,20.0,0.0,0.0,0.0,
US1934,A5,20,1.0,1,1,,20.92,28.43,35.43,44.01,60.82,14.3,41.1,20.0,3.55,0.0,0.0,
US1934,A5,20,1.0,2,1,,20.86,28.39,35.36,43.99,60.82,14.37,41.27,20.0,3.69,0.0,0.0,
US1934,A5,20,1.0,4,1,,20.71,28.28,35.3,43.93,60.7,14.62,41.49,20.0,3.98,0.0,0.0,
US1934,A5,20,1.0,4,0,,21.02,28.62,35.6,44.2,61.06,13.71,40.48,20.0,3.98,0.0,0.0,
US1934,A5,20,1.0,1,1,1.0,18.88,22.77,26.23,31.48,42.72,41.42,79.76,12.08,3.55,93.69,33.4,10.5
US1934,A5,20,1.0,1,1,1.25,19.96,25.13,29.78,35.3,47.44,24.34,66.31,14.33,3.55,76.36,6.45,12.8
US1934,A5,20,1.0,1,1,1.5,20.67,27.34,32.95,38.79,51.15,16.33,50.28,18.25,3.55,54.08,0.55,14.5
US1934,A5,20,1.0,1,1,2.0,20.92,28.4,35.27,43.09,56.39,14.33,41.44,20.0,3.55,19.83,0.0,16.4
US1934,A5,20,1.0,4,1,1.0,18.79,22.75,26.21,31.45,42.64,41.56,79.9,12.08,3.98,93.46,33.3,10.5
US1934,A5,20,1.0,4,1,1.25,19.87,25.12,29.74,35.25,47.4,24.48,66.42,14.42,3.98,76.02,6.46,12.8
US1934,A5,20,1.0,4,1,1.5,20.52,27.26,32.88,38.75,51.14,16.64,50.56,18.17,3.98,53.72,0.56,14.4
US1934,A5,20,1.0,4,1,2.0,20.71,28.26,35.15,43.03,56.37,14.65,41.82,20.0,3.98,19.72,0.0,16.4
US1934,A1,30,0.5,0,1,,19.15,27.82,36.63,47.8,70.93,17.4,40.14,30.0,0.0,0.0,0.0,
