engine,acc_glide,acc_horizon,c,k,wT_p5,wT_med,wd_alloc,rule,wd_horizon,draw,ruin_pct,spend_p5,spend_med,sfabs50,sfabs80,ce_g4,endw_med
US1934,A1,30,1.0,1,36.74,71.36,60/40,FIX4,30,fresh,0.12,29.32,29.54,0.1,0.1,0.233,260.6
US1934,A1,30,1.0,1,36.74,71.36,60/40,GK4,30,fresh,0.0,26.57,47.4,0.57,12.15,1.148,230.8
US1934,A1,30,1.0,1,36.74,71.36,60/40,VPW3,30,fresh,0.0,62.73,155.25,0.04,0.3,2.897,0.2
US1934,A1,30,1.0,1,36.74,71.36,60/40,FIX4,30,continuous,0.02,29.32,29.54,0.0,0.0,0.607,258.7
US1934,A1,30,1.0,1,36.74,71.36,60/40,GK4,30,continuous,0.0,26.82,47.66,0.43,11.49,1.156,229.3
US1934,A1,30,1.0,1,36.74,71.36,60/40,VPW3,30,continuous,0.0,64.89,156.06,0.01,0.23,2.991,0.2
US1934,A3,30,1.0,1,39.75,107.76,60/40,FIX4,30,fresh,0.19,29.32,29.54,0.15,0.16,0.191,423.6
US1934,A3,30,1.0,1,39.75,107.76,60/40,GK4,30,fresh,0.0,27.64,49.82,0.39,10.25,1.181,388.4
US1934,A3,30,1.0,1,39.75,107.76,60/40,VPW3,30,fresh,0.0,73.74,233.07,0.04,0.28,3.287,0.4
US1934,A3,30,1.0,1,39.75,107.76,60/40,FIX4,30,continuous,0.11,29.32,29.54,0.07,0.09,0.221,423.1
US1934,A3,30,1.0,1,39.75,107.76,60/40,GK4,30,continuous,0.0,27.89,50.12,0.35,9.71,1.187,388.7
US1934,A3,30,1.0,1,39.75,107.76,60/40,VPW3,30,continuous,0.0,74.52,234.4,0.02,0.3,3.404,0.3
US1934,A5,30,1.0,1,38.59,82.26,60/40,FIX4,30,fresh,0.12,29.32,29.54,0.1,0.1,0.234,311.2
US1934,A5,30,1.0,1,38.59,82.26,60/40,GK4,30,fresh,0.0,27.09,48.46,0.42,11.4,1.163,278.2
US1934,A5,30,1.0,1,38.59,82.26,60/40,VPW3,30,fresh,0.0,67.85,179.46,0.04,0.25,3.118,0.3
US1934,A5,30,1.0,1,38.59,82.26,60/40,FIX4,30,continuous,0.0,29.32,29.54,0.0,0.0,0.971,311.5
US1934,A5,30,1.0,1,38.59,82.26,60/40,GK4,30,continuous,0.0,27.36,48.63,0.34,10.61,1.172,279.0
US1934,A5,30,1.0,1,38.59,82.26,60/40,VPW3,30,continuous,0.0,69.94,180.59,0.01,0.13,3.251,0.3
US1934,A1,30,1.0,4,36.64,71.17,60/40,FIX4,30,fresh,0.14,29.32,29.54,0.11,0.12,0.225,258.6
US1934,A1,30,1.0,4,36.64,71.17,60/40,GK4,30,fresh,0.0,26.53,47.36,0.59,12.18,1.147,229.3
US1934,A1,30,1.0,4,36.64,71.17,60/40,VPW3,30,fresh,0.0,62.62,154.93,0.04,0.31,2.884,0.2
US1934,A1,30,1.0,4,36.64,71.17,60/40,FIX4,30,continuous,0.02,29.32,29.54,0.0,0.0,0.607,257.8
US1934,A1,30,1.0,4,36.64,71.17,60/40,GK4,30,continuous,0.0,26.8,47.65,0.44,11.51,1.156,228.7
US1934,A1,30,1.0,4,36.64,71.17,60/40,VPW3,30,continuous,0.0,64.56,155.58,0.01,0.23,2.979,0.2
US1934,A3,30,1.0,4,39.48,107.46,60/40,FIX4,30,fresh,0.19,29.32,29.54,0.15,0.16,0.189,422.2
US1934,A3,30,1.0,4,39.48,107.46,60/40,GK4,30,fresh,0.0,27.62,49.81,0.4,10.29,1.18,386.1
US1934,A3,30,1.0,4,39.48,107.46,60/40,VPW3,30,fresh,0.0,73.36,232.29,0.04,0.34,3.268,0.4
US1934,A3,30,1.0,4,39.48,107.46,60/40,FIX4,30,continuous,0.11,29.32,29.54,0.07,0.09,0.22,421.9
US1934,A3,30,1.0,4,39.48,107.46,60/40,GK4,30,continuous,0.0,27.88,50.08,0.35,9.76,1.187,387.2
US1934,A3,30,1.0,4,39.48,107.46,60/40,VPW3,30,continuous,0.0,74.27,233.8,0.02,0.31,3.385,0.3
US1934,A5,30,1.0,4,38.46,82.12,60/40,FIX4,30,fresh,0.12,29.32,29.54,0.1,0.1,0.229,309.8
US1934,A5,30,1.0,4,38.46,82.12,60/40,GK4,30,fresh,0.0,27.06,48.42,0.42,11.43,1.162,277.5
US1934,A5,30,1.0,4,38.46,82.12,60/40,VPW3,30,fresh,0.0,67.72,179.09,0.04,0.27,3.101,0.3
US1934,A5,30,1.0,4,38.46,82.12,60/40,FIX4,30,continuous,0.01,29.32,29.54,0.0,0.01,0.605,310.2
US1934,A5,30,1.0,4,38.46,82.12,60/40,GK4,30,continuous,0.0,27.29,48.59,0.35,10.64,1.171,278.2
US1934,A5,30,1.0,4,38.46,82.12,60/40,VPW3,30,continuous,0.0,69.78,179.62,0.01,0.14,3.234,0.3
