engine,acc_glide,acc_horizon,c,k,wT_p5,wT_med,wd_alloc,rule,wd_horizon,draw,ruin_pct,spend_p5,spend_med,sfabs50,sfabs80,ce_g4,endw_med
US1934,A1,20,0.5,1,10.11,17.2,60/40,FIX4,30,fresh,38.88,12.08,29.44,36.66,37.19,0.024,7.6
US1934,A1,20,0.5,1,10.11,17.2,60/40,GK4,30,fresh,10.62,13.76,26.87,22.88,54.94,0.049,13.1
US1934,A1,20,0.5,1,10.11,17.2,60/40,VPW3,30,fresh,0.0,16.75,37.31,11.98,47.01,0.775,0.1
US1934,A1,20,0.5,1,10.11,17.2,80/19,FIX4,30,fresh,31.36,12.39,29.48,29.71,30.12,0.026,19.8
US1934,A1,20,0.5,1,10.11,17.2,80/19,GK4,30,fresh,8.59,14.24,31.3,19.31,46.49,0.051,19.7
US1934,A1,20,0.5,1,10.11,17.2,80/19,VPW3,30,fresh,0.0,18.0,45.22,11.36,43.96,0.792,0.1
US1934,A2,20,0.5,1,10.18,19.61,60/40,FIX4,30,fresh,30.28,12.53,29.48,28.18,28.63,0.026,18.3
US1934,A2,20,0.5,1,10.18,19.61,60/40,GK4,30,fresh,8.91,14.1,29.11,18.41,47.59,0.05,20.0
US1934,A2,20,0.5,1,10.18,19.61,60/40,VPW3,30,fresh,0.0,17.52,42.6,9.86,36.76,0.82,0.1
US1934,A2,20,0.5,1,10.18,19.61,80/19,FIX4,30,fresh,24.51,12.82,29.5,23.14,23.44,0.028,34.3
US1934,A2,20,0.5,1,10.18,19.61,80/19,GK4,30,fresh,7.28,14.7,34.04,15.84,41.22,0.053,29.0
US1934,A2,20,0.5,1,10.18,19.61,80/19,VPW3,30,fresh,0.0,18.97,51.56,9.39,34.6,0.838,0.1
US1934,A3,20,0.5,1,10.04,22.17,60/40,FIX4,30,fresh,24.82,12.5,29.5,23.52,23.78,0.028,30.0
US1934,A3,20,0.5,1,10.04,22.17,60/40,GK4,30,fresh,8.52,14.12,31.07,16.4,42.81,0.048,27.8
US1934,A3,20,0.5,1,10.04,22.17,60/40,VPW3,30,fresh,0.0,17.8,48.02,9.03,30.46,0.834,0.1
US1934,A3,20,0.5,1,10.04,22.17,80/19,FIX4,30,fresh,20.69,12.81,29.51,19.62,19.85,0.029,49.5
US1934,A3,20,0.5,1,10.04,22.17,80/19,GK4,30,fresh,7.21,14.78,36.32,14.15,37.77,0.051,39.2
US1934,A3,20,0.5,1,10.04,22.17,80/19,VPW3,30,fresh,0.0,19.69,58.27,8.77,28.72,0.853,0.1
US1934,A4,20,0.5,1,10.35,20.45,60/40,FIX4,30,fresh,27.94,12.75,29.49,25.95,26.36,0.027,22.0
US1934,A4,20,0.5,1,10.35,20.45,60/40,GK4,30,fresh,8.19,14.51,29.81,17.15,45.4,0.052,22.4
US1934,A4,20,0.5,1,10.35,20.45,60/40,VPW3,30,fresh,0.0,17.94,44.5,9.21,34.27,0.841,0.1
US1934,A4,20,0.5,1,10.35,20.45,80/19,FIX4,30,fresh,22.81,13.1,29.5,21.56,21.85,0.029,40.0
US1934,A4,20,0.5,1,10.35,20.45,80/19,GK4,30,fresh,6.6,15.1,34.75,15.03,39.45,0.054,32.3
US1934,A4,20,0.5,1,10.35,20.45,80/19,VPW3,30,fresh,0.0,19.38,53.89,8.79,32.32,0.859,0.1
US1934,A5,20,0.5,1,10.31,17.57,60/40,FIX4,30,fresh,37.02,12.46,29.46,34.74,35.32,0.025,9.3
US1934,A5,20,0.5,1,10.31,17.57,60/40,GK4,30,fresh,9.66,14.09,27.36,21.82,53.32,0.051,14.2
US1934,A5,20,0.5,1,10.31,17.57,60/40,VPW3,30,fresh,0.0,17.1,38.22,11.09,44.92,0.791,0.1
US1934,A5,20,0.5,1,10.31,17.57,80/19,FIX4,30,fresh,29.62,12.61,29.49,27.97,28.21,0.026,21.9
US1934,A5,20,0.5,1,10.31,17.57,80/19,GK4,30,fresh,7.68,14.58,31.78,18.17,44.87,0.053,21.3
US1934,A5,20,0.5,1,10.31,17.57,80/19,VPW3,30,fresh,0.0,18.39,46.4,10.56,41.97,0.808,0.1
US1934,A1,20,0.5,4,9.99,17.12,60/40,FIX4,30,fresh,39.14,12.03,29.44,36.97,37.51,0.024,7.3
US1934,A1,20,0.5,4,9.99,17.12,60/40,GK4,30,fresh,10.93,13.66,26.82,23.15,55.13,0.048,12.9
US1934,A1,20,0.5,4,9.99,17.12,60/40,VPW3,30,fresh,0.0,16.56,37.2,12.24,47.39,0.768,0.1
US1934,A1,20,0.5,4,9.99,17.12,80/19,FIX4,30,fresh,31.68,12.26,29.48,30.07,30.46,0.026,19.4
US1934,A1,20,0.5,4,9.99,17.12,80/19,GK4,30,fresh,8.83,14.1,31.22,19.57,46.74,0.05,19.5
US1934,A1,20,0.5,4,9.99,17.12,80/19,VPW3,30,fresh,0.0,17.91,45.02,11.65,44.36,0.783,0.1
US1934,A2,20,0.5,4,10.08,19.56,60/40,FIX4,30,fresh,30.6,12.45,29.48,28.51,28.96,0.026,17.9
US1934,A2,20,0.5,4,10.08,19.56,60/40,GK4,30,fresh,9.17,13.99,29.05,18.69,47.84,0.049,19.8
US1934,A2,20,0.5,4,10.08,19.56,60/40,VPW3,30,fresh,0.0,17.35,42.45,10.13,37.11,0.81,0.1
US1934,A2,20,0.5,4,10.08,19.56,80/19,FIX4,30,fresh,24.82,12.72,29.5,23.41,23.7,0.028,34.0
US1934,A2,20,0.5,4,10.08,19.56,80/19,GK4,30,fresh,7.55,14.47,33.94,16.16,41.42,0.052,28.7
US1934,A2,20,0.5,4,10.08,19.56,80/19,VPW3,30,fresh,0.0,18.86,51.45,9.62,34.87,0.826,0.1
US1934,A3,20,0.5,4,9.94,22.1,60/40,FIX4,30,fresh,25.17,12.38,29.5,23.82,24.08,0.027,29.6
US1934,A3,20,0.5,4,9.94,22.1,60/40,GK4,30,fresh,8.76,13.99,30.99,16.71,43.06,0.047,27.6
US1934,A3,20,0.5,4,9.94,22.1,60/40,VPW3,30,fresh,0.0,17.71,47.8,9.32,30.69,0.82,0.1
US1934,A3,20,0.5,4,9.94,22.1,80/19,FIX4,30,fresh,21.02,12.71,29.51,19.94,20.17,0.029,49.1
US1934,A3,20,0.5,4,9.94,22.1,80/19,GK4,30,fresh,7.42,14.71,36.25,14.41,37.96,0.05,38.9
US1934,A3,20,0.5,4,9.94,22.1,80/19,VPW3,30,fresh,0.0,19.52,58.12,8.98,29.01,0.835,0.1
US1934,A4,20,0.5,4,10.26,20.38,60/40,FIX4,30,fresh,28.25,12.65,29.49,26.3,26.7,0.027,21.6
US1934,A4,20,0.5,4,10.26,20.38,60/40,GK4,30,fresh,8.49,14.28,29.74,17.41,45.6,0.051,22.2
US1934,A4,20,0.5,4,10.26,20.38,60/40,VPW3,30,fresh,0.0,17.81,44.31,9.43,34.65,0.831,0.1
US1934,A4,20,0.5,4,10.26,20.38,80/19,FIX4,30,fresh,23.12,12.94,29.5,21.86,22.13,0.028,39.5
US1934,A4,20,0.5,4,10.26,20.38,80/19,GK4,30,fresh,6.82,14.91,34.63,15.28,39.61,0.053,32.0
US1934,A4,20,0.5,4,10.26,20.38,80/19,VPW3,30,fresh,0.0,19.29,53.58,9.01,32.67,0.847,0.1
US1934,A5,20,0.5,4,10.2,17.49,60/40,FIX4,30,fresh,37.39,12.3,29.45,35.1,35.68,0.025,9.0
US1934,A5,20,0.5,4,10.2,17.49,60/40,GK4,30,fresh,9.96,13.98,27.3,22.02,53.5,0.05,14.0
US1934,A5,20,0.5,4,10.2,17.49,60/40,VPW3,30,fresh,0.0,17.03,38.02,11.37,45.25,0.784,0.1
US1934,A5,20,0.5,4,10.2,17.49,80/19,FIX4,30,fresh,30.0,12.5,29.48,28.34,28.6,0.026,21.6
US1934,A5,20,0.5,4,10.2,17.49,80/19,GK4,30,fresh,7.95,14.46,31.69,18.4,45.08,0.052,21.1
US1934,A5,20,0.5,4,10.2,17.49,80/19,VPW3,30,fresh,0.0,18.28,46.24,10.78,42.34,0.8,0.1
US1934,A1,20,1.0,1,20.47,34.65,60/40,FIX4,30,fresh,2.93,29.26,29.54,2.46,2.58,0.07,87.6
US1934,A1,20,1.0,1,20.47,34.65,60/40,GK4,30,fresh,0.05,22.04,38.88,2.44,22.35,0.342,73.6
US1934,A1,20,1.0,1,20.47,34.65,60/40,VPW3,30,fresh,0.0,33.8,75.11,0.46,4.62,1.566,0.1
US1934,A1,20,1.0,1,20.47,34.65,80/19,FIX4,30,fresh,2.46,29.28,29.54,2.13,2.21,0.071,130.2
US1934,A1,20,1.0,1,20.47,34.65,80/19,GK4,30,fresh,0.04,22.66,46.15,2.79,21.45,0.409,103.9
US1934,A1,20,1.0,1,20.47,34.65,80/19,VPW3,30,fresh,0.0,36.23,91.13,0.62,4.76,1.6,0.2
US1934,A2,20,1.0,1,20.61,39.57,60/40,FIX4,30,fresh,2.55,29.27,29.54,2.14,2.2,0.071,110.5
US1934,A2,20,1.0,1,20.61,39.57,60/40,GK4,30,fresh,0.11,22.69,40.51,2.07,20.39,0.28,92.7
US1934,A2,20,1.0,1,20.61,39.57,60/40,VPW3,30,fresh,0.0,35.62,85.89,0.45,4.14,1.657,0.1
US1934,A2,20,1.0,1,20.61,39.57,80/19,FIX4,30,fresh,2.17,29.28,29.54,1.98,2.02,0.074,161.3
US1934,A2,20,1.0,1,20.61,39.57,80/19,GK4,30,fresh,0.07,23.33,48.04,2.35,19.96,0.316,130.1
US1934,A2,20,1.0,1,20.61,39.57,80/19,VPW3,30,fresh,0.0,38.38,103.83,0.5,4.09,1.693,0.2
US1934,A3,20,1.0,1,20.32,44.63,60/40,FIX4,30,fresh,2.83,29.26,29.54,2.44,2.52,0.066,132.9
US1934,A3,20,1.0,1,20.32,44.63,60/40,GK4,30,fresh,0.2,22.88,41.74,2.06,19.15,0.2,113.1
US1934,A3,20,1.0,1,20.32,44.63,60/40,VPW3,30,fresh,0.0,35.9,96.71,0.63,4.05,1.684,0.2
US1934,A3,20,1.0,1,20.32,44.63,80/19,FIX4,30,fresh,2.32,29.28,29.54,2.07,2.14,0.07,191.8
US1934,A3,20,1.0,1,20.32,44.63,80/19,GK4,30,fresh,0.15,23.63,49.39,2.27,18.99,0.222,156.5
US1934,A3,20,1.0,1,20.32,44.63,80/19,VPW3,30,fresh,0.0,39.67,117.4,0.65,4.03,1.723,0.2
US1934,A4,20,1.0,1,21.08,41.17,60/40,FIX4,30,fresh,2.23,29.28,29.54,1.97,1.99,0.075,117.8
US1934,A4,20,1.0,1,21.08,41.17,60/40,GK4,30,fresh,0.05,22.88,41.0,1.88,19.64,0.394,99.1
US1934,A4,20,1.0,1,21.08,41.17,60/40,VPW3,30,fresh,0.0,36.31,89.8,0.44,3.74,1.698,0.1
US1934,A4,20,1.0,1,21.08,41.17,80/19,FIX4,30,fresh,1.97,29.29,29.54,1.65,1.72,0.077,171.2
US1934,A4,20,1.0,1,21.08,41.17,80/19,GK4,30,fresh,0.05,23.63,48.6,2.2,19.53,0.36,138.8
US1934,A4,20,1.0,1,21.08,41.17,80/19,VPW3,30,fresh,0.0,39.28,108.49,0.48,3.77,1.735,0.2
US1934,A5,20,1.0,1,20.92,35.43,60/40,FIX4,30,fresh,2.68,29.27,29.54,2.21,2.33,0.073,90.8
US1934,A5,20,1.0,1,20.92,35.43,60/40,GK4,30,fresh,0.03,22.32,39.21,2.25,21.73,0.426,76.9
US1934,A5,20,1.0,1,20.92,35.43,60/40,VPW3,30,fresh,0.0,34.47,76.94,0.37,4.38,1.599,0.1
US1934,A5,20,1.0,1,20.92,35.43,80/19,FIX4,30,fresh,2.26,29.28,29.54,1.92,2.0,0.074,135.0
US1934,A5,20,1.0,1,20.92,35.43,80/19,GK4,30,fresh,0.03,22.77,46.59,2.68,20.93,0.447,107.7
US1934,A5,20,1.0,1,20.92,35.43,80/19,VPW3,30,fresh,0.0,37.18,93.56,0.54,4.5,1.632,0.2
US1934,A1,20,1.0,4,20.3,34.55,60/40,FIX4,30,fresh,3.0,29.26,29.54,2.51,2.65,0.069,87.1
US1934,A1,20,1.0,4,20.3,34.55,60/40,GK4,30,fresh,0.06,22.01,38.84,2.46,22.45,0.316,73.3
US1934,A1,20,1.0,4,20.3,34.55,60/40,VPW3,30,fresh,0.0,33.63,74.89,0.49,4.78,1.556,0.1
US1934,A1,20,1.0,4,20.3,34.55,80/19,FIX4,30,fresh,2.52,29.27,29.54,2.16,2.24,0.07,129.8
US1934,A1,20,1.0,4,20.3,34.55,80/19,GK4,30,fresh,0.05,22.63,46.06,2.81,21.55,0.36,103.5
US1934,A1,20,1.0,4,20.3,34.55,80/19,VPW3,30,fresh,0.0,36.09,90.97,0.65,4.88,1.588,0.2
US1934,A2,20,1.0,4,20.46,39.47,60/40,FIX4,30,fresh,2.62,29.27,29.54,2.22,2.29,0.07,110.2
US1934,A2,20,1.0,4,20.46,39.47,60/40,GK4,30,fresh,0.12,22.65,40.46,2.11,20.55,0.252,92.4
US1934,A2,20,1.0,4,20.46,39.47,60/40,VPW3,30,fresh,0.0,35.28,85.66,0.46,4.23,1.643,0.1
