engine,floor_ratio,alloc,rule,behavior,feasible_pct,invest0,ladder_cost,ann_prem,ruin_alive_pct,breach1_pct,breach3_pct,life_p5,life_med,avg_p5,avg_med,ce_g4,spend_vol,spend_dd_max,spend_dd_yrs,bequest_med,capit_pct
US1934,0.5,100/0,VPW,none,100.0,1.0,0.0,0.0,0.32,0.31,0.2,0.184,1.377,0.0347,0.0668,0.0066,0.172,0.428,5.0,5.598,0.0
US1934,0.5,100/0,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.67,0.64,0.44,0.183,1.346,0.0331,0.0657,0.0048,0.171,0.436,6.0,5.068,37.7
US1934,0.5,100/0,VPW,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,0.93,0.9,0.59,0.183,1.307,0.0317,0.0644,0.0044,0.17,0.445,6.0,4.572,60.1
US1934,0.5,100/0,VPW,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,1.27,1.2,0.82,0.182,1.275,0.0302,0.0634,0.0039,0.169,0.45,6.0,4.007,60.1
US1934,0.5,100/0,VPW,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,0.86,0.77,0.45,0.184,1.262,0.0314,0.0627,0.0046,0.167,0.445,7.0,4.037,91.0
US1934,0.5,80/20,VPW,none,100.0,1.0,0.0,0.0,0.15,0.12,0.05,0.185,1.269,0.0357,0.0609,0.0114,0.145,0.376,5.0,3.793,0.0
US1934,0.5,80/20,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.39,0.35,0.17,0.185,1.238,0.0341,0.06,0.0069,0.144,0.385,5.0,3.498,37.7
US1934,0.5,80/20,VPW,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,0.55,0.51,0.24,0.185,1.21,0.0331,0.0591,0.0059,0.143,0.395,5.0,3.207,60.1
US1934,0.5,80/20,VPW,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,0.81,0.75,0.39,0.185,1.18,0.0316,0.0583,0.0051,0.142,0.403,6.0,2.86,60.1
US1934,0.5,80/20,VPW,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,0.6,0.49,0.25,0.186,1.177,0.0322,0.0578,0.0058,0.14,0.401,6.0,2.864,91.0
US1934,0.5,60/40,VPW,none,100.0,1.0,0.0,0.0,0.09,0.06,0.02,0.185,1.153,0.0355,0.0548,0.0152,0.12,0.344,4.0,2.427,0.0
US1934,0.5,60/40,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.24,0.19,0.05,0.185,1.129,0.0343,0.0542,0.0108,0.119,0.353,5.0,2.261,37.7
US1934,0.5,60/40,VPW,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,0.36,0.31,0.09,0.185,1.111,0.0336,0.0536,0.008,0.118,0.362,5.0,2.087,60.1
US1934,0.5,60/40,VPW,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,0.52,0.46,0.23,0.185,1.091,0.0325,0.053,0.0065,0.117,0.371,5.0,1.911,60.1
US1934,0.5,60/40,VPW,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,0.38,0.31,0.15,0.185,1.082,0.0326,0.0526,0.0072,0.115,0.372,5.0,1.929,91.0
US1934,0.5,60/40,GK,none,100.0,1.0,0.0,0.0,0.01,0.01,0.0,0.16,0.862,0.0291,0.0415,0.0368,0.042,0.1,0.0,4.38,0.0
US1934,0.5,60/40,GK,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.04,0.04,0.01,0.16,0.851,0.0283,0.0412,0.0166,0.042,0.1,0.0,4.081,37.7
US1934,0.5,60/40,GK,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,0.08,0.07,0.03,0.16,0.84,0.0278,0.0409,0.0103,0.043,0.1,0.0,3.763,60.1
US1934,0.5,60/40,GK,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,0.22,0.19,0.1,0.16,0.827,0.0272,0.0406,0.0088,0.043,0.1,0.0,3.373,60.1
US1934,0.5,60/40,GK,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,0.13,0.11,0.07,0.16,0.823,0.0274,0.0404,0.0089,0.043,0.1,0.0,3.413,91.0
US1934,0.5,80/20,GK,none,100.0,1.0,0.0,0.0,0.07,0.06,0.03,0.16,0.908,0.0291,0.0447,0.0134,0.045,0.1,0.0,7.094,0.0
US1934,0.5,80/20,GK,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.21,0.18,0.08,0.16,0.893,0.0282,0.0442,0.0085,0.045,0.1,0.0,6.436,37.7
US1934,0.5,80/20,GK,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,0.28,0.26,0.1,0.16,0.878,0.0275,0.0437,0.0072,0.046,0.1,0.0,5.882,60.1
US1934,0.5,80/20,GK,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,0.42,0.41,0.26,0.16,0.864,0.0268,0.0433,0.0058,0.046,0.1,0.0,5.244,60.1
US1934,0.5,80/20,GK,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,0.27,0.26,0.14,0.16,0.862,0.027,0.043,0.0068,0.046,0.1,0.0,5.287,91.0
US1934,0.5,60/40,FIX,none,100.0,1.0,0.0,0.0,3.08,2.77,2.03,0.16,0.88,0.04,0.04,0.0027,0.0,0.0,0.0,4.562,0.0
US1934,0.5,60/40,FIX,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,3.76,3.43,2.63,0.16,0.88,0.04,0.04,0.0025,0.0,0.0,0.0,4.185,37.7
US1934,0.5,60/40,FIX,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,4.47,4.01,3.13,0.16,0.88,0.04,0.04,0.0023,0.0,0.0,0.0,3.809,60.1
US1934,0.5,60/40,FIX,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,5.59,5.04,3.77,0.16,0.871,0.039,0.04,0.0021,0.0,0.0,0.0,3.418,60.1
US1934,0.5,60/40,FIX,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,5.35,4.83,3.57,0.16,0.88,0.0395,0.04,0.0022,0.0,0.0,0.0,3.458,91.0
US1934,0.7,100/0,VPW,none,100.0,1.0,0.0,0.0,1.35,1.23,0.84,0.185,1.38,0.0353,0.0668,0.0038,0.169,0.406,5.0,5.585,0.0
US1934,0.7,100/0,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,1.96,1.86,1.39,0.185,1.347,0.0341,0.0657,0.0031,0.168,0.412,6.0,5.04,37.7
US1934,0.7,100/0,VPW,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,2.61,2.48,1.82,0.185,1.31,0.033,0.0644,0.0028,0.168,0.42,6.0,4.543,60.1
US1934,0.7,100/0,VPW,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,3.47,3.28,2.41,0.185,1.279,0.032,0.0634,0.0025,0.166,0.423,6.0,3.967,60.1
US1934,0.7,100/0,VPW,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,2.58,2.38,1.79,0.186,1.265,0.0327,0.0627,0.0029,0.164,0.417,7.0,4.008,91.0
US1934,0.7,80/20,VPW,none,100.0,1.0,0.0,0.0,0.91,0.8,0.53,0.185,1.27,0.0361,0.0609,0.0046,0.142,0.376,5.0,3.79,0.0
US1934,0.7,80/20,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,1.41,1.31,0.91,0.185,1.242,0.035,0.06,0.0037,0.142,0.385,5.0,3.49,37.7
US1934,0.7,80/20,VPW,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,1.79,1.7,1.26,0.185,1.213,0.0339,0.0591,0.0034,0.141,0.395,5.0,3.202,60.1
US1934,0.7,80/20,VPW,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,2.43,2.33,1.69,0.185,1.186,0.033,0.0583,0.003,0.139,0.398,6.0,2.844,60.1
US1934,0.7,80/20,VPW,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,1.87,1.76,1.26,0.186,1.182,0.0334,0.0579,0.0033,0.138,0.398,6.0,2.849,91.0
US1934,0.7,60/40,VPW,none,100.0,1.0,0.0,0.0,0.85,0.78,0.45,0.185,1.158,0.0359,0.0548,0.005,0.117,0.344,4.0,2.423,0.0
US1934,0.7,60/40,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,1.19,1.08,0.71,0.185,1.136,0.0351,0.0542,0.0043,0.116,0.353,5.0,2.254,37.7
US1934,0.7,60/40,VPW,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,1.45,1.34,0.89,0.185,1.117,0.0344,0.0536,0.0039,0.115,0.362,5.0,2.081,60.1
US1934,0.7,60/40,VPW,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,2.04,1.84,1.24,0.185,1.1,0.0336,0.053,0.0035,0.114,0.371,5.0,1.904,60.1
US1934,0.7,60/40,VPW,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,1.73,1.62,1.01,0.185,1.091,0.0336,0.0526,0.0037,0.113,0.372,5.0,1.922,91.0
US1934,0.7,60/40,GK,none,100.0,1.0,0.0,0.0,0.43,0.4,0.27,0.16,0.879,0.0309,0.0415,0.0059,0.04,0.1,0.0,4.36,0.0
US1934,0.7,60/40,GK,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.74,0.69,0.46,0.16,0.871,0.0307,0.0412,0.0049,0.04,0.1,0.0,4.065,37.7
US1934,0.7,60/40,GK,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,0.93,0.82,0.59,0.16,0.865,0.0306,0.0409,0.0045,0.04,0.1,0.0,3.734,60.1
US1934,0.7,60/40,GK,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,1.3,1.17,0.84,0.16,0.856,0.0304,0.0406,0.0039,0.04,0.1,0.0,3.349,60.1
US1934,0.7,60/40,GK,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,1.1,1.02,0.61,0.16,0.849,0.0304,0.0404,0.0042,0.04,0.1,0.0,3.388,91.0
US1934,0.7,80/20,GK,none,100.0,1.0,0.0,0.0,0.57,0.54,0.36,0.16,0.918,0.0309,0.0447,0.0051,0.043,0.1,0.0,7.058,0.0
US1934,0.7,80/20,GK,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,1.08,1.03,0.65,0.16,0.906,0.0306,0.0442,0.0041,0.043,0.1,0.0,6.414,37.7
US1934,0.7,80/20,GK,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,1.43,1.36,0.93,0.16,0.894,0.0303,0.0437,0.0037,0.044,0.1,0.0,5.831,60.1
US1934,0.7,80/20,GK,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,1.86,1.75,1.27,0.16,0.884,0.0301,0.0433,0.0033,0.043,0.1,0.0,5.2,60.1
US1934,0.7,80/20,GK,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,1.35,1.24,0.88,0.16,0.877,0.0302,0.043,0.0037,0.043,0.1,0.0,5.241,91.0
US1934,0.7,60/40,FIX,none,100.0,1.0,0.0,0.0,3.16,2.83,2.08,0.16,0.88,0.04,0.04,0.0027,0.0,0.0,0.0,4.562,0.0
US1934,0.7,60/40,FIX,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,3.81,3.52,2.69,0.16,0.88,0.04,0.04,0.0025,0.0,0.0,0.0,4.185,37.7
US1934,0.7,60/40,FIX,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,4.54,4.1,3.18,0.16,0.88,0.04,0.04,0.0023,0.0,0.0,0.0,3.809,60.1
US1934,0.7,60/40,FIX,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,5.65,5.15,3.85,0.16,0.871,0.039,0.04,0.0021,0.0,0.0,0.0,3.418,60.1
US1934,0.7,60/40,FIX,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,5.45,4.98,3.66,0.16,0.88,0.0395,0.04,0.0022,0.0,0.0,0.0,3.458,91.0
TW1983,0.5,100/0,VPW,none,100.0,1.0,0.0,0.0,0.02,0.02,0.01,0.195,1.686,0.0409,0.0799,0.0201,0.158,0.379,4.0,12.036,0.0
TW1983,0.5,100/0,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.07,0.06,0.02,0.194,1.655,0.0393,0.0786,0.0139,0.157,0.381,4.0,11.003,30.6
TW1983,0.5,100/0,VPW,X0.3 Y6 q0.6 m0.05,100.0,1.0,0.0,0.0,0.12,0.12,0.05,0.194,1.618,0.0376,0.0774,0.0096,0.157,0.384,4.0,10.102,52.1
TW1983,0.5,100/0,VPW,X0.3 Y6 q0.6 m0.02,100.0,1.0,0.0,0.0,0.32,0.32,0.18,0.193,1.573,0.0354,0.0764,0.0064,0.155,0.385,4.0,9.032,52.1
TW1983,0.5,100/0,VPW,X0.2 Y3 q0.6 m0.05,100.0,1.0,0.0,0.0,0.16,0.14,0.07,0.187,1.531,0.0355,0.074,0.0096,0.155,0.404,5.0,8.576,89.7
TW1983,0.5,80/20,VPW,none,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.193,1.596,0.0434,0.0737,0.0577,0.135,0.308,2.0,9.054,0.0
TW1983,0.5,80/20,VPW,X0.3 Y6 q0.3 m0.05,100.0,1.0,0.0,0.0,0.02,0.01,0.01,0.193,1.563,0.0423,0.0728,0.0201,0.135,0.312,3.0,8.354,30.6
