lambda_ret,lambda_rate,strategy,ruin_pct,forced_pct,nw_med,nw_p5,spend_med,sfabs20,beats_sell_pct,interest_over_spend
0.0,,P8 sell FIX2.5 100/0,0.11,,8.91,1.55,0.745,0.11,,
0.0,,sell FIX4 60/40,0.15,,3.99,0.91,1.192,0.12,,
0.0,,sell VPW3 80/20,0.0,,0.01,0.0,3.478,0.06,,
0.0,0.0,P6 pledge 2.5% N0,0.56,4.87,11.48,2.03,0.76,0.47,97.6,0.51
0.0,0.5,P6 pledge 2.5% N0,0.67,5.46,11.38,1.95,0.76,0.61,97.0,0.64
0.0,1.0,P6 pledge 2.5% N0,0.82,6.76,11.29,1.83,0.76,0.74,95.7,0.78
0.25,,P8 sell FIX2.5 100/0,0.13,,7.79,1.3,0.745,0.11,,
0.25,,sell FIX4 60/40,0.38,,3.19,0.63,1.192,0.26,,
0.25,,sell VPW3 80/20,0.0,,0.01,0.0,3.19,0.08,,
0.25,0.0,P6 pledge 2.5% N0,0.75,6.2,10.09,1.67,0.76,0.7,96.7,0.51
0.25,0.5,P6 pledge 2.5% N0,0.92,7.06,9.99,1.57,0.76,0.83,95.9,0.64
0.25,1.0,P6 pledge 2.5% N0,1.15,8.28,9.9,1.46,0.76,0.95,94.6,0.78
0.5,,P8 sell FIX2.5 100/0,0.21,,6.8,1.08,0.745,0.16,,
0.5,,sell FIX4 60/40,0.93,,2.52,0.38,1.192,0.61,,
0.5,,sell VPW3 80/20,0.0,,0.01,0.0,2.929,0.13,,
0.5,0.0,P6 pledge 2.5% N0,1.08,7.69,8.85,1.3,0.76,0.94,95.7,0.51
0.5,0.5,P6 pledge 2.5% N0,1.28,8.56,8.76,1.22,0.76,1.07,94.7,0.64
0.5,1.0,P6 pledge 2.5% N0,1.54,10.39,8.66,1.04,0.76,1.32,93.0,0.77
0.75,,P8 sell FIX2.5 100/0,0.24,,5.94,0.88,0.745,0.22,,
0.75,,sell FIX4 60/40,2.01,,1.97,0.19,1.192,1.42,,
0.75,,sell VPW3 80/20,0.0,,0.0,0.0,2.693,0.36,,
0.75,0.0,P6 pledge 2.5% N0,1.48,9.42,7.75,0.98,0.76,1.29,94.4,0.51
0.75,0.5,P6 pledge 2.5% N0,1.8,10.64,7.66,0.86,0.76,1.54,93.1,0.64
0.75,1.0,P6 pledge 2.5% N0,2.15,12.32,7.57,0.66,0.76,1.87,90.8,0.77
1.0,,P8 sell FIX2.5 100/0,0.4,,5.17,0.72,0.745,0.32,,
1.0,,sell FIX4 60/40,3.73,,1.51,0.03,1.191,2.79,,
1.0,,sell VPW3 80/20,0.0,,0.0,0.0,2.48,0.68,,
1.0,0.0,P6 pledge 2.5% N0,1.97,11.55,6.77,0.65,0.76,1.68,92.7,0.51
1.0,0.5,P6 pledge 2.5% N0,2.36,12.8,6.69,0.53,0.76,2.03,91.2,0.63
1.0,1.0,P6 pledge 2.5% N0,2.75,14.63,6.58,0.36,0.76,2.33,88.6,0.77
