engine,horizon,fee,strategy,ruin_pct,spend_p5,spend_med,sfabs20,sfabs25,ce_g4
US1934,50,0.0,FIX4 60/40,19.65,1.096,1.968,18.88,18.91,0.0013
US1934,50,0.0,FIX4 100/0,13.62,1.014,1.968,13.31,13.35,0.0013
US1934,50,0.0,GK4 60/40,0.0,1.212,2.582,11.55,21.4,0.0315
US1934,50,0.0,GK5 80/20,0.15,1.326,3.354,11.0,18.36,0.012
US1934,50,0.0,VPW3 60/40,0.0,1.515,3.369,5.68,13.28,0.0394
US1934,50,0.0,VPW3 80/20,0.0,1.674,4.601,5.63,12.42,0.0404
US1934,50,0.0,VPW3 100/0,0.0,1.762,6.09,7.26,14.57,0.0365
US1934,50,0.003,FIX4 60/40,24.06,1.038,1.967,23.09,23.16,0.0012
US1934,50,0.003,FIX4 100/0,15.68,0.965,1.968,15.35,15.38,0.0013
US1934,50,0.003,GK4 60/40,0.0,1.139,2.383,14.41,25.8,0.029
US1934,50,0.003,GK5 80/20,0.22,1.247,3.09,13.46,21.44,0.0105
US1934,50,0.003,VPW3 60/40,0.0,1.412,3.082,7.77,16.38,0.0365
US1934,50,0.003,VPW3 80/20,0.0,1.553,4.189,7.11,14.81,0.0376
US1934,50,0.003,VPW3 100/0,0.0,1.626,5.524,8.56,16.84,0.0336
US1934,50,0.007,FIX4 60/40,30.73,0.97,1.966,29.7,29.82,0.0011
US1934,50,0.007,FIX4 100/0,18.86,0.903,1.968,18.38,18.42,0.0012
US1934,50,0.007,GK4 60/40,0.0,1.057,2.153,19.31,32.3,0.0257
US1934,50,0.007,GK5 80/20,0.27,1.153,2.784,17.23,26.54,0.0095
US1934,50,0.007,VPW3 60/40,0.0,1.287,2.757,11.37,22.07,0.0328
US1934,50,0.007,VPW3 80/20,0.0,1.403,3.71,9.68,18.78,0.0338
US1934,50,0.007,VPW3 100/0,0.0,1.478,4.867,11.02,19.9,0.0299
US1934,50,0.012,FIX4 60/40,39.82,0.902,1.964,38.59,38.68,0.001
US1934,50,0.012,FIX4 100/0,23.27,0.839,1.967,22.66,22.7,0.0011
US1934,50,0.012,GK4 60/40,0.01,0.961,1.907,27.05,41.2,0.0209
US1934,50,0.012,GK5 80/20,0.47,1.054,2.46,23.1,33.27,0.0082
US1934,50,0.012,VPW3 60/40,0.0,1.149,2.406,17.54,30.29,0.0282
US1934,50,0.012,VPW3 80/20,0.0,1.25,3.208,13.72,24.26,0.0291
US1934,50,0.012,VPW3 100/0,0.0,1.306,4.173,14.46,24.01,0.0254
TW1983,50,0.0,FIX4 60/40,1.57,1.978,1.986,1.44,1.46,0.0033
TW1983,50,0.0,FIX4 100/0,4.5,1.974,1.986,4.44,4.44,0.0019
TW1983,50,0.0,GK4 60/40,0.0,2.192,4.728,0.17,1.23,0.053
TW1983,50,0.0,GK5 80/20,0.05,2.162,5.757,1.34,3.19,0.0195
TW1983,50,0.0,VPW3 60/40,0.0,2.909,6.464,0.03,0.34,0.0606
TW1983,50,0.0,VPW3 80/20,0.0,3.043,8.48,0.39,1.93,0.0599
TW1983,50,0.0,VPW3 100/0,0.0,2.948,10.744,2.07,5.4,0.0542
TW1983,50,0.003,FIX4 60/40,2.47,1.977,1.986,2.34,2.36,0.0028
TW1983,50,0.003,FIX4 100/0,5.46,1.762,1.986,5.36,5.37,0.0018
TW1983,50,0.003,GK4 60/40,0.0,2.029,4.307,0.42,1.9,0.0508
TW1983,50,0.003,GK5 80/20,0.09,2.011,5.245,1.79,4.17,0.0159
TW1983,50,0.003,VPW3 60/40,0.0,2.664,5.857,0.07,0.63,0.0585
TW1983,50,0.003,VPW3 80/20,0.0,2.792,7.656,0.63,2.55,0.0578
TW1983,50,0.003,VPW3 100/0,0.0,2.689,9.662,2.73,6.28,0.0518
TW1983,50,0.007,FIX4 60/40,4.15,1.975,1.986,4.05,4.07,0.0023
TW1983,50,0.007,FIX4 100/0,7.06,1.451,1.986,6.9,6.91,0.0017
TW1983,50,0.007,GK4 60/40,0.0,1.837,3.819,0.86,3.24,0.0477
TW1983,50,0.007,GK5 80/20,0.11,1.833,4.65,2.74,5.85,0.0145
TW1983,50,0.007,VPW3 60/40,0.0,2.384,5.146,0.15,1.23,0.0555
TW1983,50,0.007,VPW3 80/20,0.0,2.49,6.686,1.04,3.59,0.0547
TW1983,50,0.007,VPW3 100/0,0.0,2.404,8.431,3.48,7.59,0.0484
TW1983,50,0.012,FIX4 60/40,7.26,1.626,1.986,6.85,6.85,0.0019
TW1983,50,0.012,FIX4 100/0,9.62,1.219,1.985,9.32,9.34,0.0015
TW1983,50,0.012,GK4 60/40,0.0,1.634,3.309,1.86,5.95,0.0436
TW1983,50,0.012,GK5 80/20,0.18,1.629,4.016,4.6,8.59,0.0121
TW1983,50,0.012,VPW3 60/40,0.0,2.087,4.402,0.55,2.7,0.0515
TW1983,50,0.012,VPW3 80/20,0.0,2.175,5.669,1.81,5.4,0.0506
TW1983,50,0.012,VPW3 100/0,0.0,2.084,7.127,4.7,10.05,0.0439
