engine,age,rate,strategy,p_alive_50y,ruin_fixed50,ruin_alive,breach_alive,ce_alive,spend_y10_p10,spend_y20_p10,spend_y30_p10,spend_med_ratio,ruin_year_med,ruin_alive_ltc_1000萬,ruin_alive_ltc_3000萬,ruin_alive_ltc_5000萬
US1934,40,0.03,固定提領 60/40,34.5,5.05,3.57,3.15,0.0024,0.96,0.97,0.96,0.98,44.0,,,
US1934,40,0.03,固定提領 80/20,34.5,4.16,3.07,2.78,0.0023,0.96,0.97,0.96,0.98,40.0,,,
US1934,40,0.03,固定提領 100/0,34.5,4.6,3.79,3.44,0.0021,0.96,0.96,0.96,0.98,35.0,,,
US1934,40,0.03,GK 護欄 60/40,34.5,0.0,0.0,12.64,0.0295,0.76,0.74,0.79,1.27,,,,
US1934,40,0.03,VPW 60/40,34.5,0.0,0.0,7.16,0.0348,0.91,0.92,0.98,1.65,,,,
US1934,40,0.03,VPW 平滑 0.7 60/40,34.5,0.0,0.0,6.9,0.0351,0.91,0.9,0.96,1.58,,,,
US1934,40,0.03,VPW 平滑 0.7 80/20,34.5,0.0,0.0,6.64,0.0348,0.91,0.95,1.09,1.87,,,,
US1934,40,0.035,固定提領 60/40,34.5,10.77,8.24,7.28,0.0017,0.96,0.97,0.96,0.98,41.0,,,
US1934,40,0.035,固定提領 80/20,34.5,8.43,6.5,5.99,0.0018,0.96,0.96,0.96,0.98,37.0,,,
US1934,40,0.035,固定提領 100/0,34.5,8.1,6.38,6.02,0.0017,0.96,0.96,0.96,0.98,33.0,,,
US1934,40,0.035,GK 護欄 60/40,34.5,0.0,0.0,10.57,0.0308,0.74,0.68,0.68,1.19,,,,
US1934,40,0.035,VPW 60/40,34.5,0.0,0.0,7.16,0.0348,0.78,0.79,0.84,1.42,,,,
US1934,40,0.035,VPW 平滑 0.7 60/40,34.5,0.0,0.0,6.9,0.0351,0.78,0.77,0.82,1.36,,,,
US1934,40,0.035,VPW 平滑 0.7 80/20,34.5,0.0,0.0,6.64,0.0348,0.78,0.81,0.93,1.6,,,,
US1934,40,0.04,固定提領 60/40,34.5,19.13,15.11,13.76,0.0014,0.96,0.96,0.95,0.98,38.0,20.34,16.46,16.0
US1934,40,0.04,固定提領 80/20,34.5,13.86,11.21,10.28,0.0015,0.96,0.96,0.95,0.98,35.0,14.57,12.2,11.77
US1934,40,0.04,固定提領 100/0,34.5,12.53,10.52,9.71,0.0014,0.96,0.96,0.95,0.98,31.0,13.13,11.28,10.96
US1934,40,0.04,GK 護欄 60/40,34.5,0.0,0.0,10.42,0.0305,0.71,0.62,0.59,1.11,,5.08,0.27,0.04
US1934,40,0.04,VPW 60/40,34.5,0.0,0.0,7.16,0.0348,0.68,0.69,0.74,1.24,,10.82,1.01,0.29
US1934,40,0.04,VPW 平滑 0.7 60/40,34.5,0.0,0.0,6.9,0.0351,0.69,0.68,0.72,1.19,,27.56,5.46,1.86
US1934,40,0.04,VPW 平滑 0.7 80/20,34.5,0.0,0.0,6.64,0.0348,0.68,0.71,0.82,1.4,,18.15,3.33,1.33
US1934,50,0.03,固定提領 60/40,1.3,5.03,1.99,1.63,0.0031,0.97,0.97,0.96,0.98,43.0,,,
US1934,50,0.03,固定提領 80/20,1.3,4.0,1.92,1.63,0.0029,0.97,0.97,0.96,0.98,38.0,,,
US1934,50,0.03,固定提領 100/0,1.3,4.28,2.33,2.1,0.0025,0.97,0.96,0.96,0.98,35.0,,,
US1934,50,0.03,GK 護欄 60/40,1.3,0.0,0.0,11.28,0.0295,0.76,0.74,0.79,1.27,,,,
US1934,50,0.03,VPW 60/40,1.3,0.0,0.0,4.84,0.0375,0.98,1.0,1.05,1.78,,,,
US1934,50,0.03,VPW 平滑 0.7 60/40,1.3,0.0,0.0,4.28,0.0377,0.98,0.98,1.04,1.72,,,,
US1934,50,0.03,VPW 平滑 0.7 80/20,1.3,0.0,0.0,4.32,0.0388,0.97,1.03,1.18,2.03,,,,
US1934,50,0.035,固定提領 60/40,1.3,10.95,5.2,4.23,0.0021,0.97,0.97,0.96,0.98,39.0,,,
US1934,50,0.035,固定提領 80/20,1.3,8.17,4.1,3.62,0.0022,0.97,0.96,0.96,0.98,37.0,,,
US1934,50,0.035,固定提領 100/0,1.3,7.87,4.56,3.94,0.002,0.97,0.96,0.96,0.98,33.0,,,
US1934,50,0.035,GK 護欄 60/40,1.3,0.0,0.0,9.0,0.0317,0.73,0.68,0.68,1.19,,,,
US1934,50,0.035,VPW 60/40,1.3,0.0,0.0,4.84,0.0375,0.84,0.85,0.9,1.53,,,,
US1934,50,0.035,VPW 平滑 0.7 60/40,1.3,0.0,0.0,4.28,0.0377,0.84,0.84,0.89,1.47,,,,
US1934,50,0.035,VPW 平滑 0.7 80/20,1.3,0.0,0.0,4.32,0.0388,0.83,0.88,1.01,1.74,,,,
US1934,50,0.04,固定提領 60/40,1.3,19.53,9.79,8.51,0.0016,0.97,0.96,0.95,0.98,37.0,16.95,11.8,10.86
US1934,50,0.04,固定提領 80/20,1.3,14.04,7.77,6.83,0.0017,0.97,0.96,0.95,0.98,34.0,12.76,9.12,8.57
US1934,50,0.04,固定提領 100/0,1.3,12.85,7.58,6.87,0.0016,0.97,0.96,0.95,0.98,31.0,11.58,8.72,8.26
US1934,50,0.04,GK 護欄 60/40,1.3,0.0,0.0,8.5,0.0327,0.71,0.62,0.6,1.11,,5.34,0.1,0.0
US1934,50,0.04,VPW 60/40,1.3,0.0,0.0,4.84,0.0375,0.73,0.75,0.79,1.34,,12.96,0.85,0.15
US1934,50,0.04,VPW 平滑 0.7 60/40,1.3,0.0,0.0,4.28,0.0377,0.74,0.73,0.78,1.29,,31.04,6.49,2.17
US1934,50,0.04,VPW 平滑 0.7 80/20,1.3,0.0,0.0,4.32,0.0388,0.73,0.77,0.89,1.52,,22.89,4.42,1.32
US1934,65,0.03,固定提領 60/40,0.0,3.95,0.31,0.15,0.0063,0.96,0.97,0.96,0.98,35.0,,,
US1934,65,0.03,固定提領 80/20,0.0,3.68,0.41,0.25,0.0054,0.96,0.97,0.96,0.98,33.0,,,
US1934,65,0.03,固定提領 100/0,0.0,4.43,0.83,0.56,0.004,0.96,0.96,0.96,0.98,31.0,,,
US1934,65,0.03,GK 護欄 60/40,0.0,0.0,0.0,7.96,0.029,0.76,0.73,0.78,1.27,,,,
US1934,65,0.03,VPW 60/40,0.0,0.0,0.0,2.19,0.0418,1.18,1.17,0.71,1.94,,,,
US1934,65,0.03,VPW 平滑 0.7 60/40,0.0,0.0,0.0,1.75,0.0427,1.18,1.15,0.76,1.96,,,,
US1934,65,0.03,VPW 平滑 0.7 80/20,0.0,0.0,0.0,2.05,0.0417,1.17,1.22,0.86,2.3,,,,
US1934,65,0.035,固定提領 60/40,0.0,9.03,0.91,0.6,0.0041,0.96,0.97,0.96,0.98,34.0,,,
US1934,65,0.035,固定提領 80/20,0.0,7.49,1.3,0.91,0.0036,0.96,0.96,0.96,0.98,31.0,,,
US1934,65,0.035,固定提領 100/0,0.0,7.57,1.75,1.39,0.0029,0.96,0.96,0.96,0.98,29.0,,,
US1934,65,0.035,GK 護欄 60/40,0.0,0.0,0.0,5.46,0.0322,0.74,0.67,0.68,1.19,,,,
US1934,65,0.035,VPW 60/40,0.0,0.0,0.0,2.19,0.0418,1.01,1.0,0.61,1.66,,,,
US1934,65,0.035,VPW 平滑 0.7 60/40,0.0,0.0,0.0,1.75,0.0427,1.01,0.99,0.65,1.68,,,,
US1934,65,0.035,VPW 平滑 0.7 80/20,0.0,0.0,0.0,2.05,0.0417,1.0,1.04,0.74,1.97,,,,
US1934,65,0.04,固定提領 60/40,0.0,17.03,2.63,1.61,0.0029,0.96,0.96,0.95,0.98,32.0,10.25,4.22,3.45
US1934,65,0.04,固定提領 80/20,0.0,12.69,2.56,1.83,0.0027,0.96,0.96,0.95,0.98,30.0,8.4,3.83,3.25
US1934,65,0.04,固定提領 100/0,0.0,11.82,3.2,2.43,0.0024,0.96,0.96,0.95,0.98,27.0,8.44,4.38,3.86
US1934,65,0.04,GK 護欄 60/40,0.0,0.0,0.0,4.36,0.0347,0.71,0.62,0.59,1.11,,4.19,0.03,0.0
US1934,65,0.04,VPW 60/40,0.0,0.0,0.0,2.19,0.0418,0.88,0.88,0.53,1.45,,13.39,0.51,0.07
US1934,65,0.04,VPW 平滑 0.7 60/40,0.0,0.0,0.0,1.75,0.0427,0.88,0.86,0.57,1.47,,36.9,6.99,1.94
US1934,65,0.04,VPW 平滑 0.7 80/20,0.0,0.0,0.0,2.05,0.0417,0.88,0.91,0.64,1.73,,29.77,5.07,1.63
TW1983,40,0.03,固定提領 60/40,34.5,0.03,0.03,0.01,0.0159,0.98,0.98,0.98,0.99,53.0,,,
TW1983,40,0.03,固定提領 80/20,34.5,0.28,0.21,0.19,0.0066,0.98,0.98,0.98,0.99,39.0,,,
TW1983,40,0.03,固定提領 100/0,34.5,1.11,0.82,0.78,0.0035,0.98,0.98,0.98,0.99,37.0,,,
TW1983,40,0.03,GK 護欄 60/40,34.5,0.0,0.0,0.32,0.0424,0.96,1.15,1.53,1.71,,,,
TW1983,40,0.03,VPW 60/40,34.5,0.0,0.0,0.07,0.054,1.17,1.49,1.94,2.32,,,,
TW1983,40,0.03,VPW 平滑 0.7 60/40,34.5,0.0,0.0,0.05,0.0525,1.15,1.44,1.92,2.2,,,,
TW1983,40,0.03,VPW 平滑 0.7 80/20,34.5,0.0,0.0,0.51,0.0522,1.11,1.43,2.0,2.54,,,,
