sample,age,rate,alloc,strategy,ruin_fixed50,ruin_alive,breach_alive,life_spend_med
us_annual,40,0.03,60/40,固定提領,3.73,2.92,2.5,1.35
us_annual,40,0.03,80/20,固定提領,3.06,2.34,2.15,1.35
us_annual,40,0.03,100/0,固定提領,3.5,2.7,2.43,1.35
us_annual,40,0.035,60/40,固定提領,8.85,6.59,5.95,1.54
us_annual,40,0.035,80/20,固定提領,6.94,5.35,4.86,1.54
us_annual,40,0.035,100/0,固定提領,7.41,5.77,5.37,1.54
us_annual,40,0.04,60/40,固定提領,17.26,13.16,12.01,1.703
us_annual,40,0.04,60/40,VPW,0.0,0.0,5.69,2.504
us_annual,40,0.04,80/20,固定提領,13.3,10.44,9.55,1.72
us_annual,40,0.04,80/20,VPW,0.0,0.0,4.62,3.004
us_annual,40,0.04,100/0,固定提領,12.97,10.53,9.82,1.72
us_annual,40,0.04,100/0,VPW,0.0,0.0,6.49,3.488
us_annual,50,0.03,60/40,固定提領,4.02,1.65,1.38,1.08
us_annual,50,0.03,80/20,固定提領,3.36,1.44,1.2,1.08
us_annual,50,0.03,100/0,固定提領,4.01,1.93,1.67,1.066
us_annual,50,0.035,60/40,固定提領,9.49,4.47,3.6,1.225
us_annual,50,0.035,80/20,固定提領,7.61,3.92,3.35,1.225
us_annual,50,0.035,100/0,固定提領,7.83,4.33,3.76,1.225
us_annual,50,0.04,60/40,固定提領,17.44,8.77,7.74,1.36
us_annual,50,0.04,60/40,VPW,0.0,0.0,4.07,1.827
us_annual,50,0.04,80/20,固定提領,13.66,7.19,6.44,1.36
us_annual,50,0.04,80/20,VPW,0.0,0.0,3.64,2.098
us_annual,50,0.04,100/0,固定提領,13.37,7.78,6.89,1.36
us_annual,50,0.04,100/0,VPW,0.0,0.0,4.95,2.346
us_annual,65,0.03,60/40,固定提領,2.83,0.37,0.24,0.66
us_annual,65,0.03,80/20,固定提領,2.33,0.4,0.27,0.66
us_annual,65,0.03,100/0,固定提領,2.99,0.65,0.5,0.66
us_annual,65,0.035,60/40,固定提領,7.11,0.91,0.62,0.77
us_annual,65,0.035,80/20,固定提領,5.78,0.96,0.74,0.77
us_annual,65,0.035,100/0,固定提領,6.31,1.38,1.12,0.77
us_annual,65,0.04,60/40,固定提領,14.33,2.49,1.52,0.88
us_annual,65,0.04,60/40,VPW,0.0,0.0,1.19,1.075
us_annual,65,0.04,80/20,固定提領,11.64,2.26,1.63,0.88
us_annual,65,0.04,80/20,VPW,0.0,0.0,1.26,1.157
us_annual,65,0.04,100/0,固定提領,11.61,2.7,1.93,0.88
us_annual,65,0.04,100/0,VPW,0.0,0.0,1.94,1.228
global_rgdp,40,0.03,60/40,固定提領,6.29,4.62,4.01,1.35
global_rgdp,40,0.03,80/20,固定提領,3.24,2.43,2.09,1.35
global_rgdp,40,0.03,100/0,固定提領,2.25,1.84,1.65,1.35
global_rgdp,40,0.035,60/40,固定提領,13.91,10.52,9.54,1.505
global_rgdp,40,0.035,80/20,固定提領,7.79,5.87,5.21,1.54
global_rgdp,40,0.035,100/0,固定提領,5.38,4.15,3.8,1.575
