engine,age,floor_ratio,pension,pension_mult,pension_eff,strategy,family,feasible_pct,invest0,ladder_cost,ann_prem,ruin_alive_pct,breach1_pct,breach3_pct,life_p5,life_med,avg_p5,avg_med,ce_g4,spend_vol,spend_dd_max,spend_dd_yrs,bequest_med,capit_pct,p90_ruin_pct,p90_breach1_pct,p90_avg_p5,p90_avg_med
US1934,65,0.35,0.0,1.0,0.0,VPW3 60/40,dynamic,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.185,1.151,0.0353,0.0548,0.0431,0.121,0.344,4.0,2.427,0.0,0.0,0.0,0.0317,0.0561
US1934,65,0.35,0.0,1.0,0.0,VPW3 80/20,dynamic,100.0,1.0,0.0,0.0,0.02,0.02,0.01,0.185,1.268,0.0356,0.0609,0.0198,0.146,0.376,5.0,3.793,0.0,0.26,0.26,0.0324,0.0674
US1934,65,0.35,0.0,1.0,0.0,GK 60/40,dynamic,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.861,0.029,0.0415,0.0356,0.043,0.1,0.0,4.382,0.0,0.0,0.0,0.0266,0.0442
US1934,65,0.35,0.0,1.0,0.0,GK 80/20,dynamic,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.907,0.029,0.0447,0.0365,0.046,0.1,0.0,7.094,0.0,0.0,0.0,0.027,0.0491
US1934,65,0.35,0.0,1.0,0.0,FIX 60/40,fixed,100.0,1.0,0.0,0.0,3.01,2.75,2.0,0.16,0.88,0.04,0.04,0.0027,0.0,0.0,0.0,4.562,0.0,9.55,9.03,0.0337,0.04
US1934,65,0.35,0.0,1.0,0.0,S1 VPW3 100/0,floor,100.0,1.0,0.0,0.0,0.09,0.06,0.03,0.184,1.376,0.0346,0.0668,0.0121,0.174,0.428,5.0,5.601,0.0,0.65,0.52,0.0322,0.0797
US1934,65,0.35,0.0,1.0,0.0,S2 ladder10r + VPW3 100/0,floor,100.0,0.867,0.133,0.0,0.13,0.12,0.05,0.22,1.334,0.0374,0.0663,0.0101,0.16,0.438,6.0,4.858,0.0,0.92,0.79,0.0322,0.0733
US1934,65,0.35,0.0,1.0,0.0,S2 ladder15r + VPW3 100/0,floor,100.0,0.806,0.194,0.0,0.16,0.15,0.07,0.208,1.319,0.0381,0.0646,0.0092,0.15,0.401,5.0,4.515,0.0,1.05,1.05,0.0324,0.0705
US1934,65,0.35,0.0,1.0,0.0,S2 ladder20r + VPW3 100/0,floor,100.0,0.747,0.253,0.0,0.16,0.16,0.08,0.197,1.298,0.0381,0.0625,0.0092,0.141,0.37,5.0,4.187,0.0,1.05,1.05,0.0328,0.0679
US1934,65,0.35,0.0,1.0,0.0,S2 ladder15r + VPW3 80/20,floor,100.0,0.806,0.194,0.0,0.08,0.05,0.03,0.208,1.231,0.0383,0.0598,0.014,0.128,0.376,5.0,3.057,0.0,0.52,0.39,0.0328,0.0607
US1934,65,0.35,0.0,1.0,0.0,S2 ladder15r(0%) + VPW3 100/0,floor,100.0,0.79,0.21,0.0,0.17,0.16,0.07,0.205,1.297,0.0375,0.0635,0.009,0.15,0.4,5.0,4.426,0.0,1.05,1.05,0.0319,0.0692
US1934,65,0.35,0.0,1.0,0.0,S2 ladder15n + VPW3 100/0,floor,100.0,0.815,0.185,0.0,0.17,0.15,0.07,0.208,1.328,0.0375,0.0651,0.0092,0.151,0.407,5.0,4.53,0.0,1.05,0.92,0.0327,0.0711
US1934,65,0.35,0.0,1.0,0.0,S3 ann80n load10 + VPW3 100/0,floor,100.0,0.895,0.0,0.105,0.02,0.02,0.01,0.165,1.289,0.0322,0.0614,0.0416,0.172,0.417,5.0,5.014,0.0,0.26,0.26,0.0313,0.0746
US1934,65,0.35,0.0,1.0,0.0,S3 ann80n load20 + VPW3 100/0,floor,100.0,0.886,0.0,0.114,0.03,0.02,0.02,0.163,1.276,0.0319,0.0608,0.0412,0.172,0.417,5.0,4.96,0.0,0.26,0.26,0.031,0.0738
US1934,65,0.35,0.0,1.0,0.0,S3 ann80n load30 + VPW3 100/0,floor,100.0,0.876,0.0,0.124,0.03,0.02,0.02,0.161,1.263,0.0316,0.0602,0.0408,0.172,0.417,5.0,4.907,0.0,0.26,0.26,0.0307,0.0731
US1934,65,0.35,0.0,1.0,0.0,S3 ann85n load20 + VPW3 100/0,floor,100.0,0.932,0.0,0.068,0.03,0.03,0.02,0.172,1.307,0.0328,0.063,0.042,0.173,0.423,5.0,5.221,0.0,0.26,0.26,0.0316,0.0763
US1934,65,0.35,0.0,1.0,0.0,S3 ann80r load20 + VPW3 100/0 (假設性),floor,100.0,0.866,0.0,0.134,0.0,0.0,0.0,0.159,1.308,0.0329,0.0613,0.0431,0.172,0.405,5.0,4.848,0.0,0.0,0.0,0.0354,0.0767
US1934,65,0.35,0.0,1.0,0.0,S4 ladder15r + ann85n + VPW3 100/0,floor,100.0,0.738,0.194,0.068,0.07,0.05,0.03,0.195,1.249,0.0365,0.0607,0.0424,0.149,0.393,5.0,4.135,0.0,0.52,0.39,0.0318,0.0674
US1934,65,0.35,0.01,1.0,0.01,VPW3 60/40,dynamic,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.226,1.372,0.0451,0.0646,0.056,0.101,0.299,3.0,2.427,0.0,0.0,0.0,0.0413,0.0659
US1934,65,0.35,0.01,1.0,0.01,VPW3 80/20,dynamic,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.226,1.486,0.0455,0.0707,0.0579,0.123,0.333,4.0,3.793,0.0,0.0,0.0,0.0421,0.0772
US1934,65,0.35,0.01,1.0,0.01,GK 60/40,dynamic,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.921,0.0336,0.0433,0.0408,0.032,0.015,0.0,5.476,0.0,0.0,0.0,0.0326,0.0468
US1934,65,0.35,0.01,1.0,0.01,GK 80/20,dynamic,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.949,0.0336,0.0455,0.0416,0.034,0.018,0.0,8.793,0.0,0.0,0.0,0.033,0.0488
US1934,65,0.35,0.01,1.0,0.01,FIX 60/40,fixed,100.0,1.0,0.0,0.0,0.37,0.35,0.25,0.16,0.88,0.0399,0.04,0.0394,0.005,0.011,0.0,5.772,0.0,1.96,1.83,0.04,0.04
US1934,65,0.35,0.01,1.0,0.01,S1 VPW3 100/0,floor,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.226,1.604,0.0444,0.0766,0.0578,0.148,0.381,5.0,5.603,0.0,0.0,0.0,0.042,0.0895
US1934,65,0.35,0.01,1.0,0.01,S2 ladder10r + VPW3 100/0,floor,100.0,0.962,0.038,0.0,0.0,0.0,0.0,0.235,1.593,0.0453,0.0765,0.0581,0.144,0.378,5.0,5.391,0.0,0.0,0.0,0.042,0.0877
US1934,65,0.35,0.01,1.0,0.01,S2 ladder15r + VPW3 100/0,floor,100.0,0.945,0.055,0.0,0.0,0.0,0.0,0.232,1.588,0.0455,0.0761,0.0583,0.142,0.371,5.0,5.292,0.0,0.0,0.0,0.0421,0.0869
US1934,65,0.35,0.01,1.0,0.01,S2 ladder20r + VPW3 100/0,floor,100.0,0.928,0.072,0.0,0.0,0.0,0.0,0.229,1.58,0.0453,0.0754,0.0583,0.14,0.366,4.0,5.198,0.0,0.0,0.0,0.0422,0.0861
US1934,65,0.35,0.01,1.0,0.01,S2 ladder15r + VPW3 80/20,floor,100.0,0.945,0.055,0.0,0.0,0.0,0.0,0.233,1.477,0.0463,0.0704,0.0581,0.118,0.329,4.0,3.583,0.0,0.0,0.0,0.0421,0.0753
