sample,horizon,alloc,strategy,rate,ruin_pct,spend_p5,spend_med,endw_med,sfabs20,sfabs25,ce_g2,ce_g4,ce_g8
pooled16_mb10,30,60/40,FIX3,0.03,11.24,0.58,0.9,1.59,10.26,10.38,0.0093,0.0015,0.0008
pooled16_mb10,30,60/40,FIX4,0.04,21.14,0.608,1.2,0.97,18.93,19.17,0.0063,0.0012,0.0007
pooled16_mb10,30,60/40,GK4,0.04,0.32,0.507,1.231,1.07,22.68,32.38,0.0234,0.0038,0.0013
pooled16_mb10,30,60/40,GK5,0.05,1.08,0.584,1.379,0.7,20.55,28.1,0.0245,0.0034,0.0012
pooled16_mb10,30,60/40,VPW3,,0.0,0.745,1.834,0.0,14.88,19.79,0.0381,0.0065,0.0016
pooled16_mb10,30,60/40,VPW5,,0.0,0.763,1.715,0.0,19.53,26.72,0.0339,0.0057,0.0015
pooled16_mb10,30,80/20,FIX3,0.03,11.21,0.582,0.9,1.88,10.29,10.41,0.0094,0.0015,0.0008
pooled16_mb10,30,80/20,FIX4,0.04,20.75,0.609,1.2,1.17,18.9,19.03,0.0063,0.0012,0.0007
pooled16_mb10,30,80/20,GK4,0.04,0.75,0.509,1.296,1.22,22.56,31.73,0.0232,0.0034,0.0012
pooled16_mb10,30,80/20,GK5,0.05,2.14,0.585,1.441,0.8,20.43,27.89,0.0232,0.0029,0.0011
pooled16_mb10,30,80/20,VPW3,,0.0,0.763,1.96,0.0,14.8,19.63,0.039,0.0063,0.0016
pooled16_mb10,30,80/20,VPW5,,0.0,0.776,1.826,0.0,19.17,25.99,0.0348,0.0055,0.0015
pooled16_mb10,30,100/0,FIX3,0.03,12.29,0.553,0.9,2.03,11.34,11.45,0.0088,0.0015,0.0008
pooled16_mb10,30,100/0,FIX4,0.04,22.07,0.582,1.2,1.3,20.5,20.64,0.0058,0.0012,0.0007
pooled16_mb10,30,100/0,GK4,0.04,1.5,0.496,1.34,1.3,23.69,33.32,0.0216,0.0029,0.0011
pooled16_mb10,30,100/0,GK5,0.05,4.17,0.57,1.485,0.87,22.12,29.61,0.0199,0.0024,0.001
pooled16_mb10,30,100/0,VPW3,,0.0,0.739,2.07,0.0,16.03,21.36,0.0377,0.0055,0.0015
pooled16_mb10,30,100/0,VPW5,,0.0,0.753,1.917,0.0,20.52,27.27,0.0337,0.0049,0.0014
pooled16_mb10,30,100/0,S1-fl2+VPW3,,0.0,1.339,2.67,0.0,0.0,3.3,0.0747,0.0578,0.0396
pooled16_mb10,30,100/0,S2L15-fl2+VPW3,,0.0,0.834,1.796,0.0,21.16,28.31,0.0344,0.0049,0.0014
pooled16_mb10,50,60/40,FIX3,0.03,24.65,0.575,1.5,2.24,23.97,24.07,0.0044,0.0011,0.0007
pooled16_mb10,50,60/40,FIX4,0.04,41.93,0.621,2.0,0.59,40.86,40.95,0.0027,0.0009,0.0006
pooled16_mb10,50,60/40,GK4,0.04,0.21,0.682,2.065,1.07,37.77,47.55,0.0179,0.0031,0.0012
pooled16_mb10,50,60/40,GK5,0.05,1.22,0.745,2.046,0.55,41.3,50.21,0.0162,0.0027,0.0011
pooled16_mb10,50,60/40,VPW3,,0.0,0.813,2.621,0.0,30.41,38.94,0.0257,0.0047,0.0014
pooled16_mb10,50,60/40,VPW5,,0.0,0.821,2.213,0.0,42.64,51.83,0.0198,0.0036,0.0013
pooled16_mb10,50,80/20,FIX3,0.03,23.08,0.579,1.5,3.0,22.56,22.66,0.0045,0.0011,0.0007
pooled16_mb10,50,80/20,FIX4,0.04,38.7,0.611,2.0,1.02,38.01,38.08,0.0028,0.0009,0.0006
pooled16_mb10,50,80/20,GK4,0.04,0.74,0.691,2.265,1.34,36.38,45.56,0.018,0.0029,0.0011
