sample,horizon,mean_block,n_country_years,n_countries,req_mean,req_med,req_geo,rb_mean,rb_med,rbl_mean,rbl_med,infl_p50,infl_p95,infl_max,eq_nom_max,req_min,path_req_mean,path_req_geo_med,path_req_geo_p5,path_infl_mean
pooled16_mb10,30,10,2167,16,0.0695,0.0628,0.046,0.0228,0.0247,0.0074,0.0147,0.0226,0.1692,10.2371,20.6944,-0.9035,0.0686,0.0497,-0.0247,0.0539
pooled16_mb10,50,10,2167,16,0.0695,0.0628,0.046,0.0228,0.0247,0.0074,0.0147,0.0226,0.1692,10.2371,20.6944,-0.9035,0.0684,0.0479,-0.0087,0.0538
pooled16_mb5,50,5,2167,16,0.0695,0.0628,0.046,0.0228,0.0247,0.0074,0.0147,0.0226,0.1692,10.2371,20.6944,-0.9035,0.0683,0.0474,-0.007,0.0523
global_rgdp,30,10,150,1,0.0744,0.0786,0.0651,0.0228,0.0235,0.0102,0.0184,0.0213,0.1608,1.2647,2.1575,-0.4008,0.0745,0.0658,0.0266,0.0494
global_rgdp,50,10,150,1,0.0744,0.0786,0.0651,0.0228,0.0235,0.0102,0.0184,0.0213,0.1608,1.2647,2.1575,-0.4008,0.0744,0.0655,0.0354,0.0499
us_annual,30,10,149,1,0.0844,0.098,0.0682,0.0281,0.0296,0.0209,0.022,0.0171,0.1032,0.1797,0.5264,-0.4102,0.0847,0.069,0.0246,0.0211
us_annual,50,10,149,1,0.0844,0.098,0.0682,0.0281,0.0296,0.0209,0.022,0.0171,0.1032,0.1797,0.5264,-0.4102,0.0843,0.0687,0.035,0.0212
pooled_exUSA_mb10,30,10,2018,15,0.0684,0.0607,0.0444,0.0224,0.0246,0.0064,0.0141,0.0231,0.1746,10.2371,20.6944,-0.9035,0.0668,0.047,-0.0294,0.0552
pooled_exUSA_mb10,50,10,2018,15,0.0684,0.0607,0.0444,0.0224,0.0246,0.0064,0.0141,0.0231,0.1746,10.2371,20.6944,-0.9035,0.0668,0.0461,-0.0124,0.0568
pooled16_exHyper_mb10,30,10,2146,16,0.0733,0.0638,0.0522,0.0279,0.0258,0.0123,0.0152,0.0222,0.1566,0.4922,1.6704,-0.5795,0.0716,0.0533,-0.0069,0.0343
pooled16_exHyper_mb10,50,10,2146,16,0.0733,0.0638,0.0522,0.0279,0.0258,0.0123,0.0152,0.0222,0.1566,0.4922,1.6704,-0.5795,0.0716,0.0526,0.0058,0.0343
