sample,horizon,alloc,rate,ruin_pct,sfabs20,spend_p5,spend_med
pooled16_mb10,30,60/40,0.02,5.68,60.47,0.548,0.6
pooled16_mb10,30,60/40,0.0225,6.86,6.36,0.556,0.675
pooled16_mb10,30,60/40,0.025,8.13,7.52,0.568,0.75
pooled16_mb10,30,60/40,0.0275,9.54,8.96,0.575,0.825
pooled16_mb10,30,60/40,0.03,11.24,10.26,0.58,0.9
pooled16_mb10,30,60/40,0.0325,13.11,12.04,0.589,0.975
pooled16_mb10,30,60/40,0.035,15.31,13.88,0.593,1.05
pooled16_mb10,30,60/40,0.0375,17.87,16.09,0.599,1.125
pooled16_mb10,30,60/40,0.04,21.14,18.93,0.608,1.2
pooled16_mb10,30,60/40,0.0425,24.42,22.17,0.616,1.275
pooled16_mb10,30,60/40,0.045,28.36,25.54,0.622,1.35
pooled16_mb10,30,60/40,0.0475,32.44,29.49,0.627,1.425
pooled16_mb10,30,60/40,0.05,37.05,33.77,0.634,1.5
pooled16_mb10,30,80/20,0.02,5.34,60.45,0.558,0.6
pooled16_mb10,30,80/20,0.0225,6.51,6.15,0.561,0.675
pooled16_mb10,30,80/20,0.025,7.83,7.34,0.564,0.75
pooled16_mb10,30,80/20,0.0275,9.47,8.74,0.575,0.825
pooled16_mb10,30,80/20,0.03,11.21,10.29,0.582,0.9
pooled16_mb10,30,80/20,0.0325,13.1,12.07,0.585,0.975
pooled16_mb10,30,80/20,0.035,15.24,13.9,0.591,1.05
pooled16_mb10,30,80/20,0.0375,17.93,16.36,0.598,1.125
pooled16_mb10,30,80/20,0.04,20.75,18.9,0.609,1.2
pooled16_mb10,30,80/20,0.0425,23.81,21.86,0.617,1.275
pooled16_mb10,30,80/20,0.045,27.23,24.78,0.626,1.35
pooled16_mb10,30,80/20,0.0475,30.96,28.36,0.632,1.425
pooled16_mb10,30,80/20,0.05,35.37,32.09,0.638,1.5
pooled16_mb10,30,100/0,0.02,5.84,60.64,0.532,0.6
pooled16_mb10,30,100/0,0.0225,7.16,6.7,0.529,0.675
pooled16_mb10,30,100/0,0.025,8.67,8.04,0.54,0.75
