sample,horizon,alloc,expected_real,label,first_year_rate,ruin_pct,spend_p5,spend_med,endw_med,sfabs20,sfabs25,ce_g2,ce_g4,ce_g8
pooled16_mb10,30,60/40,0.03,3%,0.051,0.0,0.745,1.834,0.0,14.88,19.79,0.0381,0.0065,0.0016
pooled16_mb10,30,60/40,0.04,4%,0.0578,0.0,0.755,1.772,0.0,16.88,22.53,0.0362,0.0061,0.0016
pooled16_mb10,30,60/40,0.05,5% (VPW default),0.0651,0.0,0.763,1.715,0.0,19.53,26.72,0.0339,0.0057,0.0015
pooled16_mb10,30,60/40,0.046,pooled geometric mean,0.0621,0.0,0.759,1.738,0.0,18.34,24.91,0.0348,0.0059,0.0015
pooled16_mb10,30,60/40,0.0628,pooled median (arithmetic),0.0748,0.0,0.772,1.649,0.0,25.76,34.41,0.0303,0.0051,0.0015
pooled16_mb10,30,80/20,0.03,3%,0.051,0.0,0.763,1.96,0.0,14.8,19.63,0.039,0.0063,0.0016
pooled16_mb10,30,80/20,0.04,4%,0.0578,0.0,0.771,1.892,0.0,16.49,22.05,0.0371,0.0059,0.0015
pooled16_mb10,30,80/20,0.05,5% (VPW default),0.0651,0.0,0.776,1.826,0.0,19.17,25.99,0.0348,0.0055,0.0015
pooled16_mb10,30,80/20,0.046,pooled geometric mean,0.0621,0.0,0.772,1.853,0.0,18.11,24.02,0.0358,0.0057,0.0015
pooled16_mb10,30,80/20,0.0628,pooled median (arithmetic),0.0748,0.0,0.785,1.747,0.0,24.67,32.5,0.0313,0.005,0.0014
pooled16_mb10,30,100/0,0.03,3%,0.051,0.0,0.739,2.07,0.0,16.03,21.36,0.0377,0.0055,0.0015
pooled16_mb10,30,100/0,0.04,4%,0.0578,0.0,0.748,1.996,0.0,17.7,23.76,0.0359,0.0052,0.0015
pooled16_mb10,30,100/0,0.05,5% (VPW default),0.0651,0.0,0.753,1.917,0.0,20.52,27.27,0.0337,0.0049,0.0014
pooled16_mb10,30,100/0,0.046,pooled geometric mean,0.0621,0.0,0.751,1.947,0.0,19.29,25.69,0.0346,0.005,0.0014
pooled16_mb10,30,100/0,0.0628,pooled median (arithmetic),0.0748,0.0,0.754,1.832,0.0,25.68,33.19,0.0303,0.0045,0.0014
pooled16_mb10,50,60/40,0.03,3%,0.0389,0.0,0.813,2.621,0.0,30.41,38.94,0.0257,0.0047,0.0014
pooled16_mb10,50,60/40,0.04,4%,0.0466,0.0,0.82,2.404,0.0,34.88,43.78,0.023,0.0041,0.0013
pooled16_mb10,50,60/40,0.05,5% (VPW default),0.0548,0.0,0.821,2.213,0.0,42.64,51.83,0.0198,0.0036,0.0013
pooled16_mb10,50,60/40,0.046,pooled geometric mean,0.0514,0.0,0.819,2.288,0.0,39.27,47.99,0.0211,0.0038,0.0013
pooled16_mb10,50,60/40,0.0628,pooled median (arithmetic),0.0659,0.0,0.818,2.012,0.0,56.61,65.65,0.0156,0.003,0.0011
pooled16_mb10,50,80/20,0.03,3%,0.0389,0.0,0.84,2.93,0.0,29.47,38.3,0.0272,0.0047,0.0014
pooled16_mb10,50,80/20,0.04,4%,0.0466,0.0,0.839,2.663,0.0,33.14,41.4,0.0244,0.0042,0.0013
pooled16_mb10,50,80/20,0.05,5% (VPW default),0.0548,0.0,0.838,2.432,0.0,39.33,48.1,0.0211,0.0036,0.0013
pooled16_mb10,50,80/20,0.046,pooled geometric mean,0.0514,0.0,0.841,2.52,0.0,36.74,44.77,0.0224,0.0039,0.0013
pooled16_mb10,50,80/20,0.0628,pooled median (arithmetic),0.0659,0.0,0.832,2.182,0.0,51.8,60.22,0.0167,0.003,0.0012
pooled16_mb10,50,100/0,0.03,3%,0.0389,0.0,0.822,3.171,0.0,31.24,40.42,0.0264,0.0042,0.0013
pooled16_mb10,50,100/0,0.04,4%,0.0466,0.0,0.821,2.87,0.0,34.15,42.45,0.0237,0.0038,0.0013
pooled16_mb10,50,100/0,0.05,5% (VPW default),0.0548,0.0,0.818,2.621,0.0,39.82,48.06,0.0206,0.0034,0.0012
pooled16_mb10,50,100/0,0.046,pooled geometric mean,0.0514,0.0,0.822,2.722,0.0,37.03,45.51,0.0219,0.0036,0.0012
pooled16_mb10,50,100/0,0.0628,pooled median (arithmetic),0.0659,0.0,0.811,2.343,0.0,50.09,58.57,0.0164,0.0029,0.0011
us_annual,30,60/40,0.03,3%,0.051,0.0,1.21,2.228,0.0,0.72,2.1,0.0634,0.0526,0.0303
us_annual,30,60/40,0.04,4%,0.0578,0.0,1.187,2.131,0.0,1.24,3.47,0.0619,0.0505,0.0272
us_annual,30,60/40,0.05,5% (VPW default),0.0651,0.0,1.162,2.039,0.0,2.48,6.22,0.0594,0.0468,0.0236
us_annual,30,60/40,0.0682,pooled geometric mean,0.0791,0.0,1.127,1.892,0.0,8.22,16.87,0.0526,0.0372,0.0168
us_annual,30,60/40,0.098,pooled median (arithmetic),0.1043,0.0,1.07,1.682,0.0,36.43,52.2,0.0381,0.0212,0.0082
us_annual,30,80/20,0.03,3%,0.051,0.0,1.256,2.519,0.0,0.74,2.13,0.0679,0.0537,0.0274
