engine,pension_mult,alloc,rule,lr_mode,feasible_pct,invest0,ladder_cost,ann_prem,ruin_alive_pct,breach1_pct,breach3_pct,life_p5,life_med,avg_p5,avg_med,ce_g4,spend_vol,spend_dd_max,spend_dd_yrs,bequest_med,capit_pct
US1934,1.0,80/20,VPW,lump_sum_invested,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.386,2.401,0.0848,0.11,0.104,0.078,0.229,1.0,3.793,0.0
US1934,1.0,80/20,VPW,monthly_term,100.0,0.8,0.0,0.0,0.0,0.0,0.0,0.393,2.311,0.0842,0.1057,0.1012,0.066,0.218,1.0,3.035,0.0
US1934,1.0,80/20,VPW,monthly_lifetime(舊模型),100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.427,2.646,0.0951,0.1203,0.1153,0.071,0.211,1.0,3.793,0.0
US1934,1.0,80/20,GK,lump_sum_invested,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.239,1.367,0.0585,0.0625,0.0621,0.023,0.047,0.0,12.551,0.0
US1934,1.0,80/20,GK,monthly_term,100.0,0.8,0.0,0.0,0.0,0.0,0.0,0.241,1.275,0.0552,0.058,0.0568,0.019,0.163,0.0,11.552,0.0
US1934,1.0,80/20,GK,monthly_lifetime(舊模型),100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,1.317,0.0596,0.0599,0.0599,0.017,0.041,0.0,14.588,0.0
US1934,1.0,80/20,FIX,lump_sum_invested,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.239,1.319,0.0597,0.06,0.06,0.018,0.037,0.0,12.828,0.0
US1934,1.0,80/20,FIX,monthly_term,100.0,0.8,0.0,0.0,0.0,0.0,0.0,0.241,1.32,0.0598,0.06,0.06,0.017,0.04,0.0,11.277,0.0
US1934,1.0,80/20,FIX,monthly_lifetime(舊模型),100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,1.323,0.0598,0.0601,0.0601,0.02,0.043,0.0,14.562,0.0
US1934,1.0,60/40,VPW,lump_sum_invested,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.384,2.285,0.0843,0.1038,0.1004,0.061,0.195,0.0,2.427,0.0
US1934,1.0,60/40,VPW,monthly_term,100.0,0.8,0.0,0.0,0.0,0.0,0.0,0.389,2.216,0.0836,0.1011,0.0975,0.052,0.195,0.0,1.942,0.0
US1934,1.0,60/40,VPW,monthly_lifetime(舊模型),100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.426,2.528,0.0947,0.1141,0.1114,0.056,0.179,0.0,2.427,0.0
US1934,0.7,80/20,VPW,lump_sum_invested,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.327,2.06,0.07,0.0953,0.0875,0.09,0.26,2.0,3.793,0.0
US1934,0.7,80/20,VPW,monthly_term,100.0,0.8,0.0,0.0,0.0,0.0,0.0,0.334,1.966,0.0695,0.091,0.0849,0.077,0.249,2.0,3.035,0.0
US1934,0.7,80/20,VPW,monthly_lifetime(舊模型),100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.327,2.06,0.07,0.0953,0.0876,0.09,0.26,2.0,3.793,0.0
US1934,0.7,80/20,GK,lump_sum_invested,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.239,1.402,0.0551,0.065,0.0632,0.024,0.04,0.0,9.616,0.0
US1934,0.7,80/20,GK,monthly_term,100.0,0.8,0.0,0.0,0.0,0.0,0.0,0.238,1.34,0.0539,0.0616,0.0607,0.021,0.05,0.0,8.57,0.0
US1934,0.7,80/20,GK,monthly_lifetime(舊模型),100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.239,1.402,0.0552,0.065,0.0632,0.024,0.04,0.0,9.618,0.0
US1934,0.7,80/20,FIX,lump_sum_invested,100.0,1.0,0.0,0.0,0.17,0.15,0.06,0.239,1.32,0.0598,0.06,0.06,0.012,0.026,0.0,10.138,0.0
US1934,0.7,80/20,FIX,monthly_term,100.0,0.8,0.0,0.0,0.17,0.16,0.06,0.239,1.317,0.0596,0.0599,0.0598,0.013,0.027,0.0,8.679,0.0
US1934,0.7,80/20,FIX,monthly_lifetime(舊模型),100.0,1.0,0.0,0.0,0.17,0.15,0.06,0.239,1.32,0.0598,0.06,0.06,0.012,0.026,0.0,10.139,0.0
US1934,0.7,60/40,VPW,lump_sum_invested,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.325,1.947,0.0696,0.0891,0.0844,0.072,0.224,1.0,2.427,0.0
US1934,0.7,60/40,VPW,monthly_term,100.0,0.8,0.0,0.0,0.0,0.0,0.0,0.331,1.877,0.0689,0.0864,0.0816,0.061,0.224,1.0,1.942,0.0
