engine,tier,cost,dur,cond,strategy,ruin_alive_pct,ruin_shocked_pct,ruin_unshocked_pct,breach_alive_pct,life_spend_med,ce_g4_alive
US1934,W10M,0.06,3,end_of_life,FIX4 60/40,4.0,5.18,2.83,1.61,0.937,0.0028
US1934,W10M,0.06,3,end_of_life,GK4 60/40,0.01,0.02,0.0,3.86,0.939,0.0357
US1934,W10M,0.06,3,end_of_life,VPW3 60/40,0.38,0.76,0.0,1.74,1.23,0.0145
US1934,W10M,0.06,3,end_of_life,VPW3 80/20,0.4,0.8,0.0,1.86,1.353,0.0127
US1934,W10M,0.06,3,end_of_life,VPW3 100/0,0.6,1.2,0.0,2.54,1.467,0.0109
US1934,W10M,0.06,3,end_of_life,BYSQ-3y FIX4,4.43,5.28,3.59,2.36,0.93,0.0024
US1934,W10M,0.06,3,end_of_life,BYSQ-3y GK4,0.1,0.2,0.0,4.65,1.02,0.0192
US1934,W10M,0.06,3,end_of_life,BYSQ-5y FIX4,5.25,6.52,3.99,2.71,0.93,0.0023
US1934,W10M,0.06,3,in_crash,FIX4 60/40,4.61,6.4,2.83,3.06,0.906,0.0023
US1934,W10M,0.06,3,in_crash,GK4 60/40,0.01,0.02,0.0,6.37,0.897,0.0164
US1934,W10M,0.06,3,in_crash,VPW3 60/40,0.05,0.1,0.0,4.34,1.174,0.0115
US1934,W10M,0.06,3,in_crash,VPW3 80/20,0.05,0.1,0.0,4.22,1.289,0.0101
US1934,W10M,0.06,3,in_crash,VPW3 100/0,0.08,0.16,0.0,4.84,1.403,0.0076
US1934,W10M,0.06,3,in_crash,BYSQ-3y FIX4,5.39,7.2,3.59,3.99,0.901,0.002
US1934,W10M,0.06,3,in_crash,BYSQ-3y GK4,0.06,0.12,0.0,6.95,0.977,0.0077
US1934,W10M,0.06,3,in_crash,BYSQ-5y FIX4,6.09,8.21,3.99,4.4,0.901,0.002
US1934,W10M,0.06,5,end_of_life,FIX4 60/40,5.33,7.85,2.83,2.31,0.981,0.0026
US1934,W10M,0.06,5,end_of_life,GK4 60/40,0.24,0.48,0.0,3.53,0.993,0.0142
US1934,W10M,0.06,5,end_of_life,VPW3 60/40,2.26,4.54,0.0,1.52,1.271,0.0058
US1934,W10M,0.06,5,end_of_life,VPW3 80/20,1.76,3.53,0.0,1.71,1.393,0.006
US1934,W10M,0.06,5,end_of_life,VPW3 100/0,1.89,3.79,0.0,2.39,1.505,0.0054
US1934,W10M,0.06,5,end_of_life,BYSQ-3y FIX4,5.6,7.63,3.59,2.99,0.973,0.0023
US1934,W10M,0.06,5,end_of_life,BYSQ-3y GK4,0.56,1.12,0.0,4.26,1.082,0.009
