engine,age,mortality,shift,strategy,e_years,ruin_alive_pct,breach_alive_pct,breach1_alive_pct,life_spend_p5,life_spend_med,ce_g4_alive,yrs_med,p90_ruin_pct
US1934,40,single,0,FIX4 60/40,42.1,15.11,13.76,14.85,0.63,1.657,0.0014,45.0,23.27
US1934,40,joint,0,FIX4 60/40,49.4,18.76,17.55,18.5,1.02,1.928,0.0013,51.0,24.08
US1934,40,single,3,FIX4 60/40,45.0,16.24,15.13,15.98,0.714,1.77,0.0013,49.0,23.1
US1934,40,joint,3,FIX4 60/40,52.3,20.02,18.81,19.79,1.041,2.039,0.0012,54.0,22.18
US1934,40,single,6,FIX4 60/40,47.8,17.72,16.42,17.42,0.785,1.861,0.0013,51.0,22.16
US1934,40,joint,6,FIX4 60/40,55.3,21.3,20.34,21.14,1.058,2.135,0.0012,57.0,23.28
US1934,40,fixed50,0,FIX4 60/40,50.0,19.54,18.38,19.34,1.092,1.968,0.0013,50.0,
US1934,40,single,0,FIX4 100/0,42.1,10.52,9.71,10.35,0.6,1.696,0.0014,45.0,14.56
US1934,40,joint,0,FIX4 100/0,49.4,12.25,11.9,12.2,0.952,1.964,0.0014,51.0,14.55
US1934,40,single,3,FIX4 100/0,45.0,11.04,10.51,10.97,0.672,1.812,0.0014,49.0,13.39
US1934,40,joint,3,FIX4 100/0,52.3,12.85,12.41,12.79,0.985,2.074,0.0013,54.0,13.08
US1934,40,single,6,FIX4 100/0,47.8,11.65,11.08,11.53,0.713,1.929,0.0014,51.0,13.27
US1934,40,joint,6,FIX4 100/0,55.3,13.19,12.83,13.11,0.996,2.197,0.0013,57.0,13.44
US1934,40,fixed50,0,FIX4 100/0,50.0,12.73,12.34,12.62,1.042,1.968,0.0014,50.0,
US1934,40,single,0,FIX3 60/40,42.1,3.57,3.15,3.54,0.473,1.326,0.0024,45.0,6.48
US1934,40,joint,0,FIX3 60/40,49.4,5.02,4.51,4.95,0.972,1.484,0.0021,51.0,6.95
US1934,40,single,3,FIX3 60/40,45.0,4.34,3.91,4.28,0.559,1.414,0.0022,49.0,6.41
US1934,40,joint,3,FIX3 60/40,52.3,5.68,5.22,5.62,1.031,1.569,0.002,54.0,6.55
US1934,40,single,6,FIX3 60/40,47.8,4.63,4.19,4.56,0.617,1.485,0.0021,51.0,6.42
US1934,40,joint,6,FIX3 60/40,55.3,6.23,5.75,6.18,1.082,1.658,0.0019,57.0,6.85
US1934,40,fixed50,0,FIX3 60/40,50.0,5.27,4.82,5.22,1.435,1.477,0.0022,50.0,
US1934,40,single,0,GK4 60/40,42.1,0.0,10.42,11.45,0.601,2.012,0.0305,45.0,0.0
US1934,40,joint,0,GK4 60/40,49.4,0.0,12.19,13.19,1.087,2.538,0.029,51.0,0.0
US1934,40,single,3,GK4 60/40,45.0,0.0,10.91,11.84,0.69,2.217,0.0297,49.0,0.0
US1934,40,joint,3,GK4 60/40,52.3,0.0,12.73,13.6,1.166,2.731,0.0283,54.0,0.0
US1934,40,single,6,GK4 60/40,47.8,0.0,11.61,12.59,0.756,2.414,0.0291,51.0,0.0
US1934,40,joint,6,GK4 60/40,55.3,0.0,13.09,14.03,1.252,2.953,0.0278,57.0,0.0
US1934,40,fixed50,0,GK4 60/40,50.0,0.0,12.47,13.37,1.229,2.606,0.0295,50.0,
US1934,40,single,0,GK5 80/20,42.1,0.0,10.64,11.52,0.711,2.507,0.0254,45.0,0.0
US1934,40,joint,0,GK5 80/20,49.4,0.0,12.46,13.32,1.197,3.257,0.0232,51.0,0.0
US1934,40,single,3,GK5 80/20,45.0,0.0,11.2,11.99,0.812,2.791,0.0234,49.0,0.0
US1934,40,joint,3,GK5 80/20,52.3,0.0,12.83,13.72,1.282,3.512,0.0219,54.0,0.0
US1934,40,single,6,GK5 80/20,47.8,0.0,12.01,12.85,0.875,3.04,0.0235,51.0,0.0
US1934,40,joint,6,GK5 80/20,55.3,0.0,13.34,14.13,1.362,3.79,0.021,57.0,0.0
US1934,40,fixed50,0,GK5 80/20,50.0,0.0,12.7,13.58,1.327,3.341,0.0244,50.0,
US1934,40,single,0,GK4-fl70 60/40,42.1,4.06,3.48,3.97,0.621,2.009,0.0023,45.0,7.97
US1934,40,joint,0,GK4-fl70 60/40,49.4,5.44,4.91,5.34,1.134,2.533,0.0021,51.0,8.09
US1934,40,single,3,GK4-fl70 60/40,45.0,4.85,4.28,4.78,0.713,2.213,0.0022,49.0,7.73
US1934,40,joint,3,GK4-fl70 60/40,52.3,6.42,5.73,6.3,1.189,2.725,0.002,54.0,7.89
US1934,40,single,6,GK4-fl70 60/40,47.8,5.31,4.78,5.23,0.792,2.41,0.0021,51.0,7.78
US1934,40,joint,6,GK4-fl70 60/40,55.3,7.1,6.53,7.04,1.244,2.943,0.0019,57.0,8.18
US1934,40,fixed50,0,GK4-fl70 60/40,50.0,5.75,5.2,5.68,1.398,2.599,0.0022,50.0,
US1934,40,single,0,VPW3 60/40,42.1,0.0,7.16,12.03,0.615,2.359,0.0348,45.0,0.0
US1934,40,joint,0,VPW3 60/40,49.4,0.0,8.69,14.36,1.218,3.002,0.0327,51.0,0.0
US1934,40,single,3,VPW3 60/40,45.0,0.0,8.09,13.38,0.72,2.596,0.0338,49.0,0.0
US1934,40,joint,3,VPW3 60/40,52.3,0.0,10.15,15.91,1.327,3.205,0.0319,54.0,0.0
US1934,40,single,6,VPW3 60/40,47.8,0.0,9.45,15.09,0.794,2.812,0.0304,51.0,0.0
US1934,40,joint,6,VPW3 60/40,55.3,0.0,12.04,18.32,1.421,3.398,0.0291,57.0,0.0
US1934,40,fixed50,0,VPW3 60/40,50.0,0.0,7.33,11.76,1.438,3.169,0.0363,50.0,
US1934,40,single,0,VPW3 80/20,42.1,0.0,6.66,12.26,0.648,2.999,0.0351,45.0,0.0
US1934,40,joint,0,VPW3 80/20,49.4,0.0,7.54,13.41,1.334,4.031,0.0331,51.0,0.0
US1934,40,single,3,VPW3 80/20,45.0,0.0,7.07,12.74,0.761,3.379,0.0338,49.0,0.0
US1934,40,joint,3,VPW3 80/20,52.3,0.0,8.2,14.33,1.464,4.377,0.0328,54.0,0.0
US1934,40,single,6,VPW3 80/20,47.8,0.0,7.74,13.81,0.834,3.713,0.0316,51.0,0.0
US1934,40,joint,6,VPW3 80/20,55.3,0.0,9.1,15.46,1.578,4.709,0.0305,57.0,0.0
US1934,40,fixed50,0,VPW3 80/20,50.0,0.0,6.95,12.47,1.581,4.298,0.0368,50.0,
US1934,40,single,0,VPW3 100/0,42.1,0.0,8.13,16.02,0.656,3.752,0.029,45.0,0.0
US1934,40,joint,0,VPW3 100/0,49.4,0.0,8.92,17.09,1.378,5.345,0.0278,51.0,0.0
US1934,40,single,3,VPW3 100/0,45.0,0.0,8.45,16.33,0.776,4.298,0.0275,49.0,0.0
US1934,40,joint,3,VPW3 100/0,52.3,0.0,9.36,17.51,1.543,5.897,0.0279,54.0,0.0
US1934,40,single,6,VPW3 100/0,47.8,0.0,8.96,16.98,0.871,4.762,0.0278,51.0,0.0
US1934,40,joint,6,VPW3 100/0,55.3,0.0,9.84,18.13,1.665,6.417,0.0262,57.0,0.0
US1934,40,fixed50,0,VPW3 100/0,50.0,0.0,8.5,16.36,1.678,5.736,0.0323,50.0,
US1934,40,single,0,RMD 60/40,42.1,0.0,95.23,99.84,0.318,2.153,0.0222,45.0,0.0
US1934,40,joint,0,RMD 60/40,49.4,0.0,95.67,100.0,0.934,3.137,0.0232,51.0,0.0
US1934,40,single,3,RMD 60/40,45.0,0.0,95.3,99.87,0.389,2.557,0.0226,49.0,0.0
US1934,40,joint,3,RMD 60/40,52.3,0.0,95.67,100.0,1.107,3.656,0.0236,54.0,0.0
US1934,40,single,6,RMD 60/40,47.8,0.0,95.39,99.89,0.455,3.031,0.0231,51.0,0.0
US1934,40,joint,6,RMD 60/40,55.3,0.01,95.67,100.0,1.239,4.319,0.024,57.0,0.02
US1934,40,fixed50,0,RMD 60/40,50.0,0.0,95.67,100.0,1.295,3.218,0.0232,50.0,
