engine,sample_end,horizon,n_months,strategy,ruin_pct,spend_p5,spend_med,sfabs20,sfabs25,ce_g4
US1934,2023-07,30,1074,FIX4 60/40,5.4,1.121,1.181,4.15,4.26,0.0024
US1934,2023-07,30,1074,FIX4 100/0,5.96,1.065,1.181,5.17,5.24,0.0021
US1934,2023-07,30,1074,GK4 60/40,0.0,0.806,1.35,4.6,12.88,0.0357
US1934,2023-07,30,1074,GK5 80/20,0.09,0.922,1.739,3.56,8.61,0.0126
US1934,2023-07,30,1074,VPW3 60/40,0.0,1.165,2.104,0.9,2.85,0.051
US1934,2023-07,30,1074,VPW3 80/20,0.0,1.21,2.52,1.29,3.22,0.0515
US1934,2023-07,30,1074,VPW3 100/0,0.0,1.201,2.973,2.16,4.95,0.0474
US1934,2023-07,30,1074,RMD 60/40,0.0,1.226,2.371,0.35,2.35,0.0469
US1934,2023-07,50,1074,FIX4 60/40,19.65,1.096,1.968,18.88,18.91,0.0013
US1934,2023-07,50,1074,FIX4 100/0,13.62,1.014,1.968,13.31,13.35,0.0013
US1934,2023-07,50,1074,GK4 60/40,0.0,1.212,2.582,11.55,21.4,0.0315
US1934,2023-07,50,1074,GK5 80/20,0.15,1.326,3.354,11.0,18.36,0.012
US1934,2023-07,50,1074,VPW3 60/40,0.0,1.515,3.369,5.68,13.28,0.0394
US1934,2023-07,50,1074,VPW3 80/20,0.0,1.674,4.601,5.63,12.42,0.0404
US1934,2023-07,50,1074,VPW3 100/0,0.0,1.762,6.09,7.26,14.57,0.0365
US1934,2023-07,50,1074,RMD 60/40,0.0,1.797,4.571,31.01,84.26,0.0325
TW1983,2023-07,30,477,FIX4 60/40,0.15,1.186,1.192,0.12,0.12,0.0085
TW1983,2023-07,30,477,FIX4 100/0,1.96,1.185,1.192,1.78,1.78,0.0031
TW1983,2023-07,30,477,GK4 60/40,0.0,1.13,1.809,0.06,0.31,0.0475
TW1983,2023-07,30,477,GK5 80/20,0.04,1.23,2.26,0.18,0.78,0.0154
TW1983,2023-07,30,477,VPW3 60/40,0.0,1.701,2.983,0.0,0.02,0.0688
TW1983,2023-07,30,477,VPW3 80/20,0.0,1.676,3.478,0.06,0.19,0.0681
TW1983,2023-07,30,477,VPW3 100/0,0.0,1.578,3.982,0.48,1.44,0.0626
TW1983,2023-07,30,477,RMD 60/40,0.0,1.886,3.524,0.0,0.07,0.0556
TW1983,2023-07,50,477,FIX4 60/40,1.57,1.978,1.986,1.44,1.46,0.0033
TW1983,2023-07,50,477,FIX4 100/0,4.5,1.974,1.986,4.44,4.44,0.0019
TW1983,2023-07,50,477,GK4 60/40,0.0,2.192,4.728,0.17,1.23,0.053
TW1983,2023-07,50,477,GK5 80/20,0.05,2.162,5.757,1.34,3.19,0.0195
TW1983,2023-07,50,477,VPW3 60/40,0.0,2.909,6.464,0.03,0.34,0.0606
TW1983,2023-07,50,477,VPW3 80/20,0.0,3.043,8.48,0.39,1.93,0.0599
TW1983,2023-07,50,477,VPW3 100/0,0.0,2.948,10.744,2.07,5.4,0.0542
TW1983,2023-07,50,477,RMD 60/40,0.0,3.984,9.795,11.47,78.58,0.0394
US1934,2026-07,30,1110,FIX4 60/40,4.78,1.153,1.181,3.83,3.92,0.0025
US1934,2026-07,30,1110,FIX4 100/0,5.41,1.099,1.181,4.8,4.83,0.0022
US1934,2026-07,30,1110,GK4 60/40,0.0,0.818,1.372,3.99,11.5,0.0363
US1934,2026-07,30,1110,GK5 80/20,0.1,0.931,1.787,3.07,7.99,0.0118
US1934,2026-07,30,1110,VPW3 60/40,0.0,1.192,2.157,0.71,2.3,0.0522
US1934,2026-07,30,1110,VPW3 80/20,0.0,1.231,2.608,0.95,2.79,0.0532
US1934,2026-07,30,1110,VPW3 100/0,0.0,1.251,3.114,1.68,4.13,0.0502
US1934,2026-07,30,1110,RMD 60/40,0.0,1.26,2.434,0.21,2.03,0.0475
US1934,2026-07,50,1110,FIX4 60/40,17.52,1.139,1.968,16.83,16.91,0.0013
US1934,2026-07,50,1110,FIX4 100/0,11.26,1.087,1.968,11.07,11.08,0.0014
US1934,2026-07,50,1110,GK4 60/40,0.0,1.28,2.713,9.64,18.44,0.0332
US1934,2026-07,50,1110,GK5 80/20,0.1,1.409,3.599,9.12,15.38,0.0149
US1934,2026-07,50,1110,VPW3 60/40,0.0,1.604,3.555,4.48,11.08,0.0412
US1934,2026-07,50,1110,VPW3 80/20,0.0,1.814,4.96,4.4,10.4,0.0429
US1934,2026-07,50,1110,VPW3 100/0,0.0,1.955,6.853,6.06,12.22,0.0393
US1934,2026-07,50,1110,RMD 60/40,0.0,1.919,4.871,30.16,83.8,0.0331
TW1983,2026-07,30,513,FIX4 60/40,0.12,1.186,1.191,0.09,0.09,0.0089
TW1983,2026-07,30,513,FIX4 100/0,1.33,1.185,1.191,1.19,1.21,0.0034
TW1983,2026-07,30,513,GK4 60/40,0.0,1.165,1.897,0.06,0.38,0.0486
TW1983,2026-07,30,513,GK5 80/20,0.06,1.273,2.444,0.21,0.71,0.0142
TW1983,2026-07,30,513,VPW3 60/40,0.0,1.782,3.142,0.0,0.03,0.0705
TW1983,2026-07,30,513,VPW3 80/20,0.0,1.805,3.823,0.07,0.19,0.0705
TW1983,2026-07,30,513,VPW3 100/0,0.0,1.728,4.55,0.31,1.0,0.0658
TW1983,2026-07,30,513,RMD 60/40,0.0,2.002,3.725,0.0,0.08,0.0563
TW1983,2026-07,50,513,FIX4 60/40,1.04,1.978,1.986,0.98,0.99,0.0037
TW1983,2026-07,50,513,FIX4 100/0,3.15,1.977,1.985,3.05,3.05,0.0022
TW1983,2026-07,50,513,GK4 60/40,0.0,2.372,5.142,0.18,1.03,0.0547
TW1983,2026-07,50,513,GK5 80/20,0.05,2.396,6.648,0.87,2.09,0.0204
TW1983,2026-07,50,513,VPW3 60/40,0.0,3.221,7.039,0.03,0.32,0.0623
TW1983,2026-07,50,513,VPW3 80/20,0.0,3.488,9.867,0.23,1.41,0.0623
TW1983,2026-07,50,513,VPW3 100/0,0.0,3.494,13.344,1.54,4.34,0.0574
TW1983,2026-07,50,513,RMD 60/40,0.0,4.498,10.762,10.92,78.74,0.0398
