engine,floor_ratio,alloc,rule,smile,feasible_pct,invest0,ladder_cost,ann_prem,ruin_alive_pct,breach1_pct,breach3_pct,life_p5,life_med,avg_p5,avg_med,ce_g4,spend_vol,spend_dd_max,spend_dd_yrs,bequest_med,capit_pct
US1934,0.5,60/40,FIX,flat,100.0,1.0,0.0,0.0,3.08,2.77,2.03,0.16,0.88,0.04,0.04,0.0027,0.0,0.0,0.0,4.562,0.0
US1934,0.5,60/40,FIX,-1%/75/+2%,100.0,1.0,0.0,0.0,3.44,3.11,2.16,0.158,0.868,0.038,0.0394,0.0027,0.014,0.096,0.0,4.631,0.0
US1934,0.5,60/40,FIX,-1%/80/+2%,100.0,1.0,0.0,0.0,2.18,1.99,1.42,0.158,0.816,0.0369,0.0377,0.0031,0.014,0.14,0.0,4.841,0.0
US1934,0.5,60/40,FIX,-2%/75/+3%,100.0,1.0,0.0,0.0,3.04,2.63,1.8,0.155,0.83,0.0359,0.0381,0.0029,0.024,0.183,0.0,4.82,0.0
US1934,0.5,60/40,FIX,0%/75/+2%,100.0,1.0,0.0,0.0,5.25,4.71,3.44,0.16,0.936,0.04,0.0422,0.0023,0.01,0.0,0.0,4.323,0.0
US1934,0.5,60/40,GK,flat,100.0,1.0,0.0,0.0,0.01,0.01,0.0,0.16,0.862,0.0291,0.0415,0.0368,0.042,0.1,0.0,4.38,0.0
US1934,0.5,60/40,GK,-1%/75/+2%,100.0,1.0,0.0,0.0,0.09,0.06,0.03,0.158,0.872,0.0297,0.0417,0.0151,0.043,0.127,0.0,4.333,0.0
US1934,0.5,60/40,GK,-1%/80/+2%,100.0,1.0,0.0,0.0,0.02,0.0,0.0,0.158,0.848,0.029,0.0411,0.0366,0.042,0.118,0.0,4.461,0.0
US1934,0.5,60/40,GK,-2%/75/+3%,100.0,1.0,0.0,0.0,0.07,0.05,0.01,0.155,0.868,0.0296,0.0416,0.0178,0.044,0.149,0.0,4.365,0.0
US1934,0.5,60/40,GK,0%/75/+2%,100.0,1.0,0.0,0.0,0.21,0.2,0.07,0.16,0.891,0.0303,0.0423,0.0096,0.043,0.1,0.0,4.217,0.0
US1934,0.5,60/40,VPW,flat,100.0,1.0,0.0,0.0,0.09,0.06,0.02,0.185,1.153,0.0355,0.0548,0.0152,0.12,0.344,4.0,2.427,0.0
