engine,alloc,strategy,rule,ruin_pct,planned_dep_pct,spend_p5,spend_med,endw_med,sfabs15,sfabs20,sfabs25,spend_y1,spend_y30_med,spend_y30_p10,ce_g2,ce_g4,ce_g8,spend_vol,spend_dd_max,spend_dd_yrs,m65_ruin_alive_pct,m65_breach_alive_pct,m65_life_spend_med,m65_ce_g4_alive
US1934,60/40,GK4,GK4,0.0,0.0,1.212,2.582,1.88,4.63,11.55,21.4,0.0395,0.0516,0.0234,0.0424,0.0315,0.017,0.0522,0.277,8.0,0.0,4.51,0.846,0.0347
US1934,60/40,GK5,GK5,0.04,0.03,1.236,2.529,1.06,6.9,14.41,23.97,0.0493,0.0487,0.0214,0.042,0.0186,0.0025,0.0512,0.373,18.0,0.0,4.27,0.969,0.0375
US1934,60/40,VPW3,VPW3,0.0,22.44,1.515,3.369,0.0,1.75,5.68,13.28,0.0383,0.0682,0.0312,0.0524,0.0394,0.0207,0.1141,0.416,13.0,0.0,2.14,0.968,0.0385
US1934,60/40,VPW5,VPW5,0.0,22.44,1.363,2.748,0.0,7.29,15.24,24.89,0.054,0.0532,0.0243,0.0452,0.0298,0.0114,0.1126,0.571,28.0,0.0,2.85,1.096,0.0412
US1934,60/40,V-cap 5/2.5,VPW3-cap5/2.5,1.21,2.73,1.415,3.034,0.58,3.05,6.67,12.94,0.0383,0.0622,0.0297,0.0416,0.0043,0.0013,0.0306,0.184,0.0,0.0,1.86,0.89,0.0381
US1934,60/40,V-cap 5/5,VPW3-cap5/5,0.16,1.91,1.434,3.023,0.68,2.07,5.99,12.93,0.0383,0.0618,0.03,0.0474,0.0097,0.0018,0.0338,0.206,1.0,0.0,2.18,0.876,0.0372
US1934,60/40,V-cap 10/5,VPW3-cap10/5,0.56,12.59,1.487,3.358,0.01,2.4,6.57,13.93,0.0383,0.068,0.0307,0.0496,0.007,0.0016,0.0641,0.364,9.0,0.0,2.13,0.953,0.0388
US1934,60/40,V-yale 0.5,VPW3-yale0.5,0.0,10.81,1.513,3.429,0.01,1.99,6.2,13.69,0.0383,0.0687,0.0312,0.0523,0.0391,0.019,0.0698,0.342,8.0,0.0,2.29,0.948,0.0384
US1934,60/40,V-yale 0.7,VPW3-yale0.7,0.02,5.51,1.504,3.508,0.03,2.07,6.21,13.28,0.0383,0.0689,0.0309,0.052,0.0254,0.0029,0.0554,0.272,5.0,0.0,2.3,0.927,0.038
US1934,60/40,V-yale 0.8,VPW3-yale0.8,0.09,2.88,1.494,3.568,0.08,2.05,5.93,12.59,0.0383,0.0684,0.0305,0.051,0.0116,0.002,0.0491,0.204,1.0,0.0,2.09,0.9,0.0377
