engine,sample_end,horizon,portfolio,strategy,spread,haircut,trend_src,ruin_pct,spend_p5,spend_med,endw_med,sfabs15,sfabs20,sfabs25,sfabs30,ce_g2,ce_g4,ce_g8,spend_vol,spend_dd_max,spend_dd_yrs
US1934,2026-07,30,100/0 VT,FIX4,0.0,1.0,spliced,5.57,1.085,1.181,3.92,4.89,4.95,4.99,5.06,0.0196,0.0021,0.0009,0.0151,-0.055,0.0
US1934,2026-07,30,100/0 VT,VPW3,0.0,1.0,spliced,0.0,1.239,3.076,0.01,0.56,1.84,4.35,8.51,0.0726,0.0497,0.0213,0.1731,-0.4673,8.0
US1934,2026-07,30,100/0 VT,VPW5,0.0,1.0,spliced,0.0,1.172,2.748,0.0,1.34,3.36,6.73,11.35,0.0699,0.0437,0.0152,0.1705,-0.532,12.0
US1934,2026-07,30,80/20,FIX4,0.0,1.0,spliced,4.84,1.159,1.181,2.72,4.03,4.13,4.17,4.24,0.0228,0.0024,0.001,0.015,-0.055,0.0
US1934,2026-07,30,80/20,GK4,0.0,1.0,spliced,0.01,0.828,1.606,2.15,1.09,4.6,11.17,21.87,0.0456,0.0216,0.0026,0.0538,-0.1674,0.0
US1934,2026-07,30,80/20,VPW3,0.0,1.0,spliced,0.0,1.221,2.581,0.01,0.23,1.01,2.9,6.54,0.0683,0.0528,0.0285,0.1418,-0.3956,7.0
US1934,2026-07,30,80/20,VPW5,0.0,1.0,spliced,0.0,1.175,2.344,0.0,0.92,2.6,5.73,10.62,0.0653,0.0475,0.0204,0.1397,-0.4848,12.0
US1934,2026-07,30,60/40,FIX4,0.0,1.0,spliced,5.01,1.137,1.181,1.72,3.93,4.0,4.07,4.14,0.024,0.0025,0.001,0.015,-0.055,0.0
US1934,2026-07,30,60/40,GK4,0.0,1.0,spliced,0.0,0.814,1.361,1.53,0.85,4.17,11.94,24.6,0.0414,0.0361,0.0261,0.049,-0.1758,0.0
US1934,2026-07,30,60/40,VPW3,0.0,1.0,spliced,0.0,1.183,2.137,0.0,0.12,0.78,2.46,6.21,0.0619,0.0518,0.0331,0.1133,-0.343,6.0
