window,portfolio,cum_real,max_dd_real,months
1966-1982,100/0 VT,-0.0299,-0.5013,204
1966-1982,80/20,-0.0225,-0.4339,204
1966-1982,60/40,-0.0351,-0.3634,204
1966-1982,RSST,1.4681,-0.2923,204
1966-1982,RSSB,-0.3003,-0.5952,204
1966-1982,5050 RSSB+RSST,0.4262,-0.4041,204
1966-1982,leg:stock,2.0128,-0.3916,204
1966-1982,leg:bond_minus_bill,-0.2021,-0.4088,204
1966-1982,leg:trend,1.7411,-0.3295,204
1966-1982,leg:bill,2.1644,0.0,204
1966-1982,leg:cpi,2.0692,-0.0061,204
1973-1974,100/0 VT,-0.4976,-0.5013,24
1973-1974,80/20,-0.431,-0.4339,24
1973-1974,60/40,-0.3604,-0.3634,24
1973-1974,RSST,-0.2295,-0.2434,24
1973-1974,RSSB,-0.5392,-0.5461,24
1973-1974,5050 RSSB+RSST,-0.3983,-0.4041,24
1973-1974,leg:stock,-0.3855,-0.3916,24
1973-1974,leg:bond_minus_bill,-0.0724,-0.111,24
1973-1974,leg:trend,0.4967,-0.0983,24
1973-1974,leg:bill,0.1522,0.0,24
1973-1974,leg:cpi,0.2212,0.0,24
2000-2002,100/0 VT,-0.3912,-0.4356,36
2000-2002,80/20,-0.2802,-0.3266,36
2000-2002,60/40,-0.1572,-0.2062,36
2000-2002,RSST,0.0457,-0.1632,36
2000-2002,RSSB,-0.239,-0.3189,36
2000-2002,5050 RSSB+RSST,-0.1034,-0.2427,36
2000-2002,leg:stock,-0.3442,-0.4069,36
2000-2002,leg:bond_minus_bill,0.2454,-0.0417,36
2000-2002,leg:trend,0.6961,-0.0977,36
2000-2002,leg:bill,0.1151,0.0,36
2000-2002,leg:cpi,0.0749,-0.009,36
2008-2009Q1,100/0 VT,-0.4783,-0.4783,15
2008-2009Q1,80/20,-0.3631,-0.3631,15
2008-2009Q1,60/40,-0.2432,-0.2432,15
2008-2009Q1,RSST,-0.3355,-0.3355,15
2008-2009Q1,RSSB,-0.4053,-0.4053,15
2008-2009Q1,5050 RSSB+RSST,-0.3673,-0.3673,15
2008-2009Q1,leg:stock,-0.4712,-0.4712,15
2008-2009Q1,leg:bond_minus_bill,0.1412,-0.0418,15
2008-2009Q1,leg:trend,0.2531,-0.0828,15
2008-2009Q1,leg:bill,0.0165,0.0,15
2008-2009Q1,leg:cpi,0.0127,-0.0443,15
2022,100/0 VT,-0.202,-0.2451,12
2022,80/20,-0.2018,-0.2426,12
2022,60/40,-0.2017,-0.2401,12
2022,RSST,-0.0073,-0.1746,12
2022,RSSB,-0.3404,-0.3937,12
2022,5050 RSSB+RSST,-0.1847,-0.2197,12
2022,leg:stock,-0.1499,-0.1926,12
2022,leg:bond_minus_bill,-0.1635,-0.1878,12
2022,leg:trend,0.2474,-0.085,12
2022,leg:bill,0.0166,0.0,12
2022,leg:cpi,0.0645,-0.0041,12
