portfolio,strategy,spread,haircut,ruin_pct,spend_p5,spend_med,endw_med,sfabs15,sfabs20,sfabs25,sfabs30,ce_g2,ce_g4,ce_g8,spend_vol,spend_dd_max,spend_dd_yrs,d_ce_g2,d_ce_g4,d_ce_g8,d_sfabs20,d_spend_med,d_spend_p5
80/20,FIX4,0.0,1.0,12.88,1.126,1.968,7.2,12.43,12.47,12.51,12.53,0.0088,0.0014,0.0008,0.0159,-0.0658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80/20,VPW3,0.0,1.0,0.0,1.787,4.864,0.01,1.43,4.66,10.7,21.08,0.063,0.0423,0.0193,0.1411,-0.456,14.0,0.0,0.0,0.0,0.0,0.0,0.0
RSST,FIX4,0.0,1.0,0.04,1.958,1.969,1535.34,0.04,0.04,0.04,0.04,0.0388,0.0089,0.0017,0.0153,-0.0638,0.0,0.03,0.0075,0.0009,-12.43,0.001,0.832
RSST,VPW3,0.0,1.0,0.0,20.922,181.976,1.19,0.0,0.13,0.97,2.75,0.1896,0.0794,0.0476,0.2597,-0.3504,5.0,0.1266,0.0371,0.0283,-4.53,177.112,19.135
RSSB,FIX4,0.0,1.0,9.88,1.07,1.969,25.27,9.74,9.74,9.74,9.75,0.0093,0.0014,0.0008,0.0157,-0.0655,0.0,0.0005,0.0,0.0,-2.73,0.001,-0.056
RSSB,VPW3,0.0,1.0,0.0,2.169,9.605,0.02,2.72,6.61,12.81,21.65,0.0772,0.0376,0.0109,0.1983,-0.5348,15.0,0.0142,-0.0047,-0.0084,1.95,4.741,0.382
5050 RSSB+RSST,FIX4,0.0,1.0,0.6,1.958,1.969,248.77,0.58,0.59,0.59,0.59,0.0335,0.0038,0.0012,0.0153,-0.0639,0.0,0.0247,0.0024,0.0004,-11.88,0.001,0.832
5050 RSSB+RSST,VPW3,0.0,1.0,0.0,7.344,42.666,0.17,0.03,0.34,1.82,5.58,0.1389,0.069,0.0418,0.2142,-0.3847,8.0,0.0759,0.0267,0.0225,-4.32,37.802,5.557
RSST,FIX4,0.0,0.5,0.87,1.957,1.969,142.27,0.87,0.87,0.87,0.87,0.0314,0.0034,0.0011,0.0153,-0.0639,0.0,0.0226,0.002,0.0003,-11.6,0.001,0.831
RSST,VPW3,0.0,0.5,0.0,5.693,28.196,0.1,0.05,0.51,2.13,6.61,0.1257,0.0663,0.0402,0.2014,-0.3998,8.0,0.0627,0.024,0.0209,-4.15,23.332,3.906
RSSB,FIX4,0.0,0.5,9.88,1.07,1.969,25.27,9.74,9.74,9.74,9.75,0.0093,0.0014,0.0008,0.0157,-0.0655,0.0,0.0005,0.0,0.0,-2.73,0.001,-0.056
RSSB,VPW3,0.0,0.5,0.0,2.169,9.605,0.02,2.72,6.61,12.81,21.65,0.0772,0.0376,0.0109,0.1983,-0.5348,15.0,0.0142,-0.0047,-0.0084,1.95,4.741,0.382
5050 RSSB+RSST,FIX4,0.0,0.5,3.26,1.955,1.969,65.31,3.17,3.19,3.2,3.22,0.02,0.0022,0.0009,0.0154,-0.0642,0.0,0.0112,0.0008,0.0001,-9.28,0.001,0.829
5050 RSSB+RSST,VPW3,0.0,0.5,0.0,3.642,16.783,0.05,0.38,1.59,4.92,11.16,0.1034,0.0569,0.0304,0.1939,-0.4458,11.0,0.0404,0.0146,0.0111,-3.07,11.919,1.855
RSST,FIX4,0.0,0.25,4.9,1.947,1.969,36.06,4.78,4.79,4.81,4.83,0.016,0.0019,0.0009,0.0155,-0.0644,0.0,0.0072,0.0005,0.0001,-7.68,0.001,0.821
RSST,VPW3,0.0,0.25,0.0,2.897,11.485,0.03,0.65,2.19,6.32,13.89,0.0908,0.0526,0.0251,0.1822,-0.4612,12.0,0.0278,0.0103,0.0058,-2.47,6.621,1.11
RSSB,FIX4,0.0,0.25,9.88,1.07,1.969,25.27,9.74,9.74,9.74,9.75,0.0093,0.0014,0.0008,0.0157,-0.0655,0.0,0.0005,0.0,0.0,-2.73,0.001,-0.056
RSSB,VPW3,0.0,0.25,0.0,2.169,9.605,0.02,2.72,6.61,12.81,21.65,0.0772,0.0376,0.0109,0.1983,-0.5348,15.0,0.0142,-0.0047,-0.0084,1.95,4.741,0.382
5050 RSSB+RSST,FIX4,0.0,0.25,6.69,1.396,1.969,31.51,6.52,6.53,6.53,6.56,0.0128,0.0017,0.0008,0.0155,-0.0647,0.0,0.004,0.0003,0.0,-5.94,0.001,0.27
