sample,age,alloc,rule,rate,ruin_alive,breach_alive,bequest_p10,bequest_p50,bequest_p90,avg_spend_p10,avg_spend_med,spend_y20_p10,spend_y20_med
global_usd_fx,40,80/20,FIX,0.03,1.64,1.48,1.338,7.809,38.818,0.03,0.03,0.03,0.03
global_usd_fx,40,80/20,FIX,0.035,3.9,3.6,0.968,6.499,34.745,0.035,0.035,0.035,0.035
global_usd_fx,40,80/20,FIX,0.04,7.51,6.9,0.445,5.208,30.657,0.04,0.04,0.04,0.04
global_usd_fx,40,80/20,VPW,0.04,0.0,3.49,0.654,1.765,4.816,0.0399,0.0779,0.0338,0.0699
global_usd_fx,40,100/0,FIX,0.03,1.43,1.29,1.547,10.637,61.586,0.03,0.03,0.03,0.03
global_usd_fx,40,100/0,FIX,0.035,3.42,3.14,1.109,9.001,55.658,0.035,0.035,0.035,0.035
global_usd_fx,40,100/0,FIX,0.04,6.83,6.3,0.61,7.468,49.89,0.04,0.04,0.04,0.04
global_usd_fx,40,100/0,VPW,0.04,0.0,3.35,0.763,2.229,7.104,0.0423,0.092,0.0355,0.0774
global_usd_fx,45,80/20,FIX,0.03,1.34,1.14,1.17,6.009,27.06,0.03,0.03,0.03,0.03
global_usd_fx,45,80/20,FIX,0.035,3.22,2.88,0.88,5.039,24.434,0.035,0.035,0.035,0.035
global_usd_fx,45,80/20,FIX,0.04,6.45,5.77,0.429,4.045,21.708,0.04,0.04,0.04,0.04
global_usd_fx,45,80/20,VPW,0.04,0.0,3.2,0.587,1.548,3.994,0.0393,0.0738,0.0347,0.0719
global_usd_fx,45,100/0,FIX,0.03,1.32,1.15,1.307,7.827,41.621,0.03,0.03,0.03,0.03
global_usd_fx,45,100/0,FIX,0.035,2.86,2.54,1.003,6.694,38.121,0.035,0.035,0.035,0.035
global_usd_fx,45,100/0,FIX,0.04,5.58,5.07,0.634,5.554,34.436,0.04,0.04,0.04,0.04
global_usd_fx,45,100/0,VPW,0.04,0.0,3.0,0.685,1.916,5.734,0.0411,0.085,0.0365,0.0802
global_usd_fx,50,80/20,FIX,0.03,1.18,1.06,1.021,4.531,19.324,0.03,0.03,0.03,0.03
global_usd_fx,50,80/20,FIX,0.035,2.77,2.37,0.818,3.839,17.378,0.035,0.035,0.035,0.035
global_usd_fx,50,80/20,FIX,0.04,5.44,4.73,0.521,3.177,15.583,0.04,0.04,0.04,0.04
global_usd_fx,50,80/20,VPW,0.04,0.0,2.69,0.553,1.366,3.262,0.0389,0.0692,0.0361,0.0746
global_usd_fx,50,100/0,FIX,0.03,1.17,1.11,1.101,5.837,27.896,0.03,0.03,0.03,0.03
global_usd_fx,50,100/0,FIX,0.035,2.51,2.31,0.905,5.004,25.413,0.035,0.035,0.035,0.035
global_usd_fx,50,100/0,FIX,0.04,4.88,4.29,0.631,4.239,22.939,0.04,0.04,0.04,0.04
global_usd_fx,50,100/0,VPW,0.04,0.0,2.55,0.626,1.635,4.482,0.0399,0.0781,0.0377,0.0833
global_usd_fx,55,80/20,FIX,0.03,0.58,0.47,1.0,3.553,13.998,0.03,0.03,0.03,0.03
global_usd_fx,55,80/20,FIX,0.035,1.72,1.38,0.81,3.04,12.704,0.035,0.035,0.035,0.035
global_usd_fx,55,80/20,FIX,0.04,3.78,3.12,0.555,2.578,11.425,0.04,0.04,0.04,0.04
