engine,horizon,strategy,ruin_pct,planned_depletion_pct,exhausted_any_pct,spend_p5,spend_med,sfabs15,sfabs20,sfabs25,ce_g2,ce_g4,ce_g8
US1934,30,60/40 FIX4,5.4,0.83,6.23,1.121,1.181,4.11,4.15,4.26,0.0233,0.0024,0.001
US1934,30,60/40 GK4,0.0,0.0,0.0,0.806,1.35,1.0,4.6,12.88,0.0411,0.0357,0.0263
US1934,30,80/19 GK5,0.09,0.06,0.15,0.922,1.739,1.11,3.56,8.61,0.05,0.0126,0.002
US1934,30,60/40 VPW3,0.0,20.88,20.88,1.165,2.104,0.11,0.9,2.85,0.0611,0.051,0.0325
US1934,30,80/19 VPW3,0.0,23.16,23.16,1.21,2.52,0.32,1.29,3.22,0.067,0.0515,0.0229
US1934,30,60/40 RMD,0.0,20.88,20.88,1.226,2.371,0.0,0.35,2.35,0.0587,0.0469,0.0369
US1934,30,80/19 RMD,0.0,23.16,23.16,1.285,2.89,0.1,0.84,3.74,0.0633,0.0472,0.0329
US1934,50,60/40 FIX4,19.65,0.37,20.02,1.096,1.968,18.83,18.88,18.91,0.0069,0.0013,0.0007
US1934,50,60/40 GK4,0.0,0.0,0.0,1.212,2.582,4.63,11.55,21.4,0.0424,0.0315,0.017
US1934,50,80/19 GK5,0.15,0.09,0.24,1.326,3.354,5.45,11.0,18.36,0.0494,0.012,0.002
US1934,50,60/40 VPW3,0.0,22.44,22.44,1.515,3.369,1.75,5.68,13.28,0.0524,0.0394,0.0207
US1934,50,80/19 VPW3,0.0,24.81,24.81,1.674,4.601,1.87,5.63,12.42,0.0604,0.0404,0.016
US1934,50,60/40 RMD,0.0,22.44,22.44,1.797,4.571,2.71,31.01,84.26,0.0477,0.0325,0.0235
US1934,50,80/19 RMD,0.0,24.81,24.81,2.043,6.554,4.42,30.01,75.78,0.0529,0.0328,0.0215
TW1983,30,60/40 FIX4,0.15,0.03,0.18,1.186,1.192,0.12,0.12,0.12,0.0391,0.0085,0.0017
TW1983,30,60/40 GK4,0.0,0.0,0.0,1.13,1.809,0.0,0.06,0.31,0.0533,0.0475,0.0414
TW1983,30,80/19 GK5,0.04,0.02,0.06,1.23,2.26,0.06,0.18,0.78,0.0639,0.0154,0.0022
TW1983,30,60/40 VPW3,0.0,17.2,17.2,1.701,2.983,0.0,0.0,0.02,0.0816,0.0688,0.0565
TW1983,30,80/19 VPW3,0.0,17.69,17.69,1.676,3.478,0.0,0.06,0.19,0.0861,0.0681,0.0496
TW1983,30,60/40 RMD,0.0,17.2,17.2,1.886,3.524,0.0,0.0,0.07,0.0746,0.0556,0.0437
TW1983,30,80/19 RMD,0.0,17.69,17.69,1.86,4.157,0.0,0.04,0.42,0.078,0.0553,0.0416
TW1983,50,60/40 FIX4,1.57,0.08,1.65,1.978,1.986,1.43,1.44,1.46,0.0313,0.0033,0.0011
TW1983,50,60/40 GK4,0.0,0.0,0.0,2.192,4.728,0.02,0.17,1.23,0.0671,0.053,0.0411
TW1983,50,80/19 GK5,0.05,0.03,0.08,2.162,5.757,0.42,1.34,3.19,0.0766,0.0195,0.0024
TW1983,50,60/40 VPW3,0.0,17.34,17.34,2.909,6.464,0.0,0.03,0.34,0.0821,0.0606,0.0465
TW1983,50,80/19 VPW3,0.0,17.99,17.99,3.043,8.48,0.05,0.39,1.93,0.0888,0.0599,0.0404
TW1983,50,60/40 RMD,0.0,17.34,17.34,3.984,9.795,0.08,11.47,78.58,0.0663,0.0394,0.0282
TW1983,50,80/19 RMD,0.0,17.99,17.99,4.211,13.29,0.62,14.95,71.38,0.0702,0.0391,0.0269
